epoch,loss,cross_mse,loss_itself
1,1.866704e+03,1.911269e+03,7.097967e-02
2,3.318839e+02,3.452962e+02,7.219468e-02
3,1.491870e+02,1.459763e+02,7.040792e-02
4,1.477687e+02,1.427592e+02,7.065526e-02
5,1.258593e+02,1.299305e+02,6.924403e-02
6,8.119894e+01,8.275803e+01,6.810576e-02
7,5.021919e+01,5.158033e+01,6.618969e-02
8,3.167689e+01,3.127600e+01,6.415311e-02
9,2.510496e+01,2.491710e+01,6.561239e-02
10,2.023616e+01,2.054528e+01,6.537082e-02
11,1.740558e+01,1.709168e+01,6.504706e-02
12,1.603284e+01,1.557581e+01,6.280243e-02
13,1.296023e+01,1.300203e+01,6.286012e-02
14,1.097073e+01,1.110975e+01,6.220721e-02
15,1.016694e+01,1.016864e+01,6.371202e-02
16,9.520511e+00,9.259371e+00,6.309561e-02
17,1.164037e+01,1.149506e+01,6.485187e-02
18,8.462757e+00,8.428896e+00,6.384923e-02
19,7.017964e+00,6.968623e+00,6.209438e-02
20,6.239572e+00,6.169405e+00,6.303223e-02
21,5.728391e+00,5.659829e+00,6.173745e-02
22,5.340757e+00,5.322492e+00,6.251528e-02
23,4.903146e+00,4.883407e+00,6.102054e-02
24,4.467514e+00,4.369832e+00,6.191078e-02
25,4.033528e+00,4.023223e+00,6.106477e-02
26,3.995102e+00,3.948629e+00,6.077635e-02
27,4.057746e+00,4.007235e+00,6.200178e-02
28,4.210437e+00,4.161774e+00,6.145801e-02
29,4.414020e+00,4.363595e+00,6.277104e-02
30,4.174681e+00,4.051982e+00,6.093224e-02
31,3.825352e+00,3.823034e+00,6.175560e-02
32,3.879635e+00,3.814886e+00,5.996636e-02
33,3.675859e+00,3.634269e+00,6.132043e-02
34,3.235693e+00,3.173106e+00,6.109940e-02
35,3.007236e+00,2.952060e+00,6.324121e-02
36,2.868869e+00,2.757220e+00,6.145968e-02
37,2.664110e+00,2.572572e+00,6.029056e-02
38,2.584621e+00,2.524218e+00,6.010285e-02
39,2.438739e+00,2.392754e+00,6.155409e-02
40,2.367696e+00,2.312265e+00,6.033219e-02
41,2.288739e+00,2.248648e+00,6.179254e-02
42,2.196065e+00,2.148627e+00,5.960793e-02
43,2.138163e+00,2.065546e+00,5.995245e-02
44,2.078641e+00,2.007470e+00,6.098487e-02
45,2.025929e+00,1.986732e+00,6.138385e-02
46,1.972934e+00,1.910961e+00,5.878173e-02
47,1.913006e+00,1.868899e+00,5.969845e-02
48,1.929023e+00,1.874274e+00,6.040837e-02
49,1.755551e+00,1.695894e+00,5.978655e-02
50,2.484713e+04,2.451881e+04,2.604421e-01
51,5.731929e+04,5.796705e+04,6.368417e-01
52,1.051069e+05,1.046518e+05,9.230729e-01
