epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,5.503775e+04,33.00000,12.00000,1082
1,1,2.563239e+04,26.00000,16.00000,495
1,2,3.355314e+03,23.00000,16.00000,435
1,3,2.483842e+03,19.00000,20.00000,428
1,4,1.547349e+03,20.00000,16.00000,418
1,5,1.670602e+03,23.00000,16.00000,431
1,6,2.370834e+03,19.00000,20.00000,429
1,7,1.374037e+03,18.00000,20.00000,427
1,8,1.602585e+03,17.00000,20.00000,442
1,9,1.588459e+03,18.00000,20.00000,479
1,10,1.413083e+03,26.00000,16.00000,451
1,11,1.250416e+03,25.00000,16.00000,445
1,12,1.557976e+03,21.00000,16.00000,425
1,13,1.233007e+03,21.00000,16.00000,425
1,14,2.239229e+03,27.00000,16.00000,457
1,15,1.129634e+03,21.00000,16.00000,426
1,16,1.712827e+03,18.00000,20.00000,447
1,17,1.688220e+03,26.00000,16.00000,451
1,18,1.149567e+03,18.00000,16.00000,409
1,19,1.497878e+03,21.00000,16.00000,427
1,20,8.448887e+02,25.00000,16.00000,447
1,21,2.194432e+03,25.00000,16.00000,447
1,22,1.280094e+03,22.00000,16.00000,431
1,23,1.017155e+03,24.00000,16.00000,443
1,24,1.513744e+03,20.00000,20.00000,437
1,25,1.917811e+03,14.00000,20.00000,408
1,26,1.599287e+03,19.00000,20.00000,433
1,27,1.712277e+03,20.00000,20.00000,436
1,28,1.886087e+03,16.00000,20.00000,414
1,29,1.738168e+03,24.00000,16.00000,444
1,30,1.371218e+03,13.00000,20.00000,417
1,31,1.835882e+03,21.00000,16.00000,428
1,32,2.502860e+03,23.00000,20.00000,452
1,33,1.742385e+03,17.00000,20.00000,423
1,34,2.149927e+03,17.00000,20.00000,424
1,35,1.169573e+03,26.00000,16.00000,454
1,36,1.582360e+03,25.00000,16.00000,446
1,37,1.571174e+03,12.00000,20.00000,409
1,38,1.609766e+03,20.00000,16.00000,419
1,39,1.646331e+03,33.00000,12.00000,475
1,40,1.179727e+03,27.00000,16.00000,462
1,41,1.328761e+03,25.00000,16.00000,449
1,42,1.654083e+03,17.00000,20.00000,424
1,43,1.489098e+03,26.00000,16.00000,453
1,44,9.033960e+02,17.00000,20.00000,425
1,45,9.721957e+02,24.00000,16.00000,446
1,46,7.190490e+02,14.00000,20.00000,433
1,47,1.431871e+03,33.00000,12.00000,483
1,48,1.311425e+03,20.00000,16.00000,422
1,49,1.372971e+03,34.00000,12.00000,480
1,50,1.533105e+03,18.00000,20.00000,430
1,51,1.546721e+03,15.00000,20.00000,414
1,52,1.515123e+03,20.00000,20.00000,439
1,53,1.338628e+03,14.00000,20.00000,407
1,54,1.673782e+03,23.00000,16.00000,437
1,55,1.267839e+03,18.00000,20.00000,430
1,56,8.863307e+02,20.00000,20.00000,440
1,57,1.434872e+03,21.00000,16.00000,430
1,58,1.034523e+03,25.00000,16.00000,451
1,59,1.226407e+03,21.00000,16.00000,428
1,60,1.097583e+03,33.00000,12.00000,479
1,61,1.517339e+03,33.00000,12.00000,476
1,62,1.769582e+03,13.00000,20.00000,404
1,63,1.320223e+03,17.00000,20.00000,424
1,64,1.088055e+03,33.00000,12.00000,476
1,65,7.610101e+02,17.00000,20.00000,425
1,66,8.209187e+02,21.00000,16.00000,431
1,67,1.034598e+03,18.00000,20.00000,437
1,68,1.607321e+03,24.00000,16.00000,446
1,69,1.450010e+03,12.00000,20.00000,401
1,70,9.579308e+02,20.00000,16.00000,454
1,71,9.181316e+02,21.00000,16.00000,432
1,72,9.286446e+02,21.00000,16.00000,432
1,73,8.134918e+02,27.00000,16.00000,465
1,74,1.295817e+03,14.00000,20.00000,411
1,75,1.571699e+03,16.00000,20.00000,417
1,76,1.010020e+03,21.00000,16.00000,470
1,77,1.355671e+03,26.00000,16.00000,457
1,78,1.224479e+03,21.00000,16.00000,430
1,79,8.674440e+02,21.00000,16.00000,434
1,80,9.370422e+02,20.00000,20.00000,441
1,81,1.575168e+03,8.00000,20.00000,380
1,82,1.243802e+03,26.00000,16.00000,457
1,83,6.369174e+02,16.00000,20.00000,419
1,84,8.531366e+02,19.00000,20.00000,438
1,85,4.897206e+02,18.00000,20.00000,432
1,86,7.069971e+02,19.00000,20.00000,437
1,87,9.848508e+02,34.00000,12.00000,486
1,88,5.478237e+02,18.00000,20.00000,432
1,89,5.133831e+02,16.00000,20.00000,418
1,90,4.549229e+02,23.00000,16.00000,446
1,91,5.176354e+02,23.00000,16.00000,441
1,92,4.620462e+02,17.00000,20.00000,429
1,93,5.746387e+02,26.00000,16.00000,459
1,94,6.762642e+02,26.00000,16.00000,457
1,95,6.275131e+02,29.00000,16.00000,472
1,96,4.452002e+02,18.00000,20.00000,433
1,97,5.583290e+02,24.00000,16.00000,447
1,98,5.383134e+02,24.00000,16.00000,449
1,99,6.715006e+02,20.00000,16.00000,432
1,100,4.048141e+02,27.00000,16.00000,465
1,101,7.481331e+02,26.00000,16.00000,457
1,102,5.726866e+02,35.00000,12.00000,563
1,103,3.924387e+02,19.00000,20.00000,438
1,104,5.095575e+02,18.00000,20.00000,433
1,105,5.634421e+02,26.00000,16.00000,459
1,106,4.216218e+02,22.00000,16.00000,439
1,107,2.710174e+02,19.00000,20.00000,441
1,108,5.246249e+02,20.00000,20.00000,444
1,109,6.149952e+02,26.00000,16.00000,459
1,110,3.221064e+02,18.00000,20.00000,442
1,111,3.497141e+02,17.00000,20.00000,431
1,112,1.288010e+03,36.00000,12.00000,499
1,113,4.235615e+02,25.00000,16.00000,455
1,114,5.751616e+02,13.00000,20.00000,407
1,115,8.902749e+02,27.00000,16.00000,466
2,0,3.737555e+02,21.00000,16.00000,452
2,1,5.869457e+02,24.00000,16.00000,475
2,2,3.313314e+02,24.00000,16.00000,444
2,3,7.156653e+02,34.00000,12.00000,479
2,4,3.702430e+02,21.00000,16.00000,430
2,5,4.361698e+02,26.00000,16.00000,453
2,6,5.446470e+02,24.00000,16.00000,449
2,7,9.250868e+02,34.00000,12.00000,480
2,8,3.640742e+02,25.00000,16.00000,451
2,9,7.479407e+02,16.00000,20.00000,417
2,10,5.402961e+02,26.00000,16.00000,454
2,11,5.063362e+02,23.00000,16.00000,440
2,12,3.861087e+02,26.00000,16.00000,453
2,13,8.179513e+02,17.00000,20.00000,425
2,14,4.923021e+02,24.00000,16.00000,446
2,15,3.536665e+02,17.00000,20.00000,425
2,16,3.512813e+02,23.00000,16.00000,438
2,17,8.388406e+02,35.00000,12.00000,488
2,18,5.249908e+02,12.00000,20.00000,498
2,19,3.145441e+02,18.00000,20.00000,456
2,20,3.825289e+02,26.00000,16.00000,457
2,21,4.526634e+02,16.00000,20.00000,417
2,22,4.459686e+02,14.00000,20.00000,409
2,23,6.045940e+02,21.00000,20.00000,456
2,24,4.607123e+02,26.00000,16.00000,454
2,25,3.018329e+02,16.00000,20.00000,416
2,26,2.964488e+02,20.00000,20.00000,442
2,27,4.391087e+02,19.00000,20.00000,435
2,28,3.910107e+02,13.00000,20.00000,406
2,29,4.397375e+02,21.00000,16.00000,431
2,30,3.886373e+02,23.00000,16.00000,441
2,31,4.057344e+02,16.00000,20.00000,419
2,32,5.276305e+02,22.00000,16.00000,435
2,33,4.738211e+02,20.00000,20.00000,443
2,34,2.288383e+02,18.00000,20.00000,431
2,35,3.912029e+02,33.00000,12.00000,487
2,36,3.242649e+02,14.00000,20.00000,412
2,37,4.512930e+02,16.00000,20.00000,418
2,38,3.353463e+02,11.00000,20.00000,396
2,39,2.277119e+02,19.00000,20.00000,438
2,40,4.457765e+02,25.00000,16.00000,453
2,41,3.816384e+02,21.00000,16.00000,432
2,42,2.995247e+02,18.00000,20.00000,433
2,43,2.435397e+02,19.00000,20.00000,438
2,44,3.134718e+02,25.00000,16.00000,454
2,45,5.176664e+02,17.00000,20.00000,427
2,46,3.514736e+02,21.00000,16.00000,433
2,47,2.871385e+02,26.00000,16.00000,457
2,48,2.808860e+02,24.00000,16.00000,448
2,49,3.126036e+02,25.00000,16.00000,453
2,50,5.823854e+02,25.00000,16.00000,455
2,51,4.257348e+02,19.00000,20.00000,438
2,52,2.621197e+02,34.00000,12.00000,491
2,53,3.927512e+02,25.00000,16.00000,455
2,54,3.722665e+02,26.00000,16.00000,458
2,55,2.599017e+02,26.00000,16.00000,459
2,56,4.368589e+02,29.00000,16.00000,476
2,57,3.563249e+02,18.00000,20.00000,433
2,58,2.968878e+02,18.00000,20.00000,433
2,59,3.763191e+02,23.00000,16.00000,442
2,60,2.428989e+02,27.00000,16.00000,467
