pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,2.37210e-01,2.91000e-01,1.39392e-02,1.81
100,2,3.02408e-01,3.39667e-01,1.36932e-02,1.55
100,3,3.07539e-01,3.24667e-01,1.35739e-02,1.56
100,4,3.15662e-01,3.13333e-01,1.34763e-02,1.57
100,5,3.21434e-01,3.41000e-01,1.34091e-02,1.56
100,6,3.24783e-01,3.45667e-01,1.33606e-02,1.55
100,7,3.30982e-01,3.18667e-01,1.33237e-02,1.57
100,8,3.27490e-01,3.10000e-01,1.33548e-02,1.56
100,9,3.38749e-01,3.42667e-01,1.32776e-02,1.56
100,10,3.49010e-01,3.52000e-01,1.32404e-02,1.62
100,11,3.50791e-01,3.38000e-01,1.32214e-02,1.55
100,12,3.43950e-01,3.46333e-01,1.32145e-02,1.56
100,13,3.52002e-01,3.80333e-01,1.31963e-02,1.62
100,14,3.51931e-01,3.27000e-01,1.31859e-02,1.55
100,15,3.49580e-01,3.52333e-01,1.31885e-02,1.58
100,16,3.53285e-01,3.76667e-01,1.31734e-02,1.56
100,17,3.56135e-01,3.40333e-01,1.31507e-02,1.62
100,18,3.56420e-01,3.53000e-01,1.31421e-02,1.56
100,19,3.56491e-01,3.48333e-01,1.31348e-02,1.57
100,20,3.58558e-01,3.59333e-01,1.31351e-02,1.56
100,21,3.63617e-01,3.64667e-01,1.31089e-02,1.56
100,22,3.63189e-01,3.62667e-01,1.31079e-02,1.55
100,23,3.58344e-01,3.39000e-01,1.31190e-02,1.56
100,24,3.65683e-01,3.50333e-01,1.30844e-02,1.58
100,25,3.65755e-01,3.46333e-01,1.30992e-02,1.55
100,26,3.58985e-01,3.49667e-01,1.31278e-02,1.54
100,27,3.63047e-01,3.63667e-01,1.30873e-02,1.55
100,28,3.62121e-01,3.63333e-01,1.30747e-02,1.55
100,29,3.62334e-01,3.50333e-01,1.30925e-02,1.56
100,30,3.68890e-01,3.81333e-01,1.30570e-02,1.55
100,31,3.65042e-01,3.85333e-01,1.30657e-02,1.56
100,32,3.70172e-01,3.79667e-01,1.30477e-02,1.56
100,33,3.64329e-01,3.69333e-01,1.30588e-02,1.56
100,34,3.69959e-01,3.76333e-01,1.30479e-02,1.56
100,35,3.76443e-01,3.68000e-01,1.30325e-02,1.56
100,36,3.68391e-01,3.82333e-01,1.30414e-02,1.55
100,37,3.69674e-01,3.86667e-01,1.30313e-02,1.55
100,38,3.73806e-01,3.89333e-01,1.30325e-02,1.55
