epoch,loss,loss_L2,loss_PKT,cross_mse
1,6.690034e-02,0.000000e+00,0.000000e+00,0.000000e+00
2,4.498717e-02,0.000000e+00,0.000000e+00,0.000000e+00
3,2.663928e-02,0.000000e+00,0.000000e+00,0.000000e+00
4,1.991654e-02,0.000000e+00,0.000000e+00,0.000000e+00
5,1.754069e-02,0.000000e+00,0.000000e+00,0.000000e+00
6,1.649803e-02,0.000000e+00,0.000000e+00,0.000000e+00
7,1.393771e-02,0.000000e+00,0.000000e+00,0.000000e+00
8,1.265007e-02,0.000000e+00,0.000000e+00,0.000000e+00
9,9.824250e-03,0.000000e+00,0.000000e+00,0.000000e+00
10,8.049498e-03,0.000000e+00,0.000000e+00,0.000000e+00
11,5.925945e-03,0.000000e+00,0.000000e+00,0.000000e+00
12,5.493270e-03,0.000000e+00,0.000000e+00,0.000000e+00
13,4.335204e-03,0.000000e+00,0.000000e+00,0.000000e+00
14,3.770546e-03,0.000000e+00,0.000000e+00,0.000000e+00
15,3.519901e-03,0.000000e+00,0.000000e+00,0.000000e+00
16,2.840383e-03,0.000000e+00,0.000000e+00,0.000000e+00
17,2.548263e-03,0.000000e+00,0.000000e+00,0.000000e+00
18,2.270422e-03,0.000000e+00,0.000000e+00,0.000000e+00
19,2.314576e-03,0.000000e+00,0.000000e+00,0.000000e+00
20,2.433391e-03,0.000000e+00,0.000000e+00,0.000000e+00
21,2.421078e-03,0.000000e+00,0.000000e+00,0.000000e+00
22,2.494270e-03,0.000000e+00,0.000000e+00,0.000000e+00
23,2.569831e-03,0.000000e+00,0.000000e+00,0.000000e+00
24,2.585731e-03,0.000000e+00,0.000000e+00,0.000000e+00
25,2.421730e-03,0.000000e+00,0.000000e+00,0.000000e+00
26,2.080136e-03,0.000000e+00,0.000000e+00,0.000000e+00
27,2.140860e-03,0.000000e+00,0.000000e+00,0.000000e+00
28,2.103920e-03,0.000000e+00,0.000000e+00,0.000000e+00
29,2.353663e-03,0.000000e+00,0.000000e+00,0.000000e+00
30,2.234345e-03,0.000000e+00,0.000000e+00,0.000000e+00
31,2.601422e-03,0.000000e+00,0.000000e+00,0.000000e+00
32,2.372760e-03,0.000000e+00,0.000000e+00,0.000000e+00
33,2.398862e-03,0.000000e+00,0.000000e+00,0.000000e+00
34,2.238972e-03,0.000000e+00,0.000000e+00,0.000000e+00
35,2.239750e-03,0.000000e+00,0.000000e+00,0.000000e+00
36,2.436835e-03,0.000000e+00,0.000000e+00,0.000000e+00
37,2.308188e-03,0.000000e+00,0.000000e+00,0.000000e+00
38,2.259746e-03,0.000000e+00,0.000000e+00,0.000000e+00
39,2.113317e-03,0.000000e+00,0.000000e+00,0.000000e+00
40,2.401896e-03,0.000000e+00,0.000000e+00,0.000000e+00
41,2.979034e-03,0.000000e+00,0.000000e+00,0.000000e+00
42,5.563033e-03,0.000000e+00,0.000000e+00,0.000000e+00
43,5.413802e-03,0.000000e+00,0.000000e+00,0.000000e+00
44,4.380879e-03,0.000000e+00,0.000000e+00,0.000000e+00
45,3.327721e-03,0.000000e+00,0.000000e+00,0.000000e+00
46,2.873435e-03,0.000000e+00,0.000000e+00,0.000000e+00
47,2.453514e-03,0.000000e+00,0.000000e+00,0.000000e+00
48,1.890939e-03,0.000000e+00,0.000000e+00,0.000000e+00
49,1.620049e-03,0.000000e+00,0.000000e+00,0.000000e+00
50,1.597275e-03,0.000000e+00,0.000000e+00,0.000000e+00
51,1.531159e-03,0.000000e+00,0.000000e+00,0.000000e+00
52,1.585277e-03,0.000000e+00,0.000000e+00,0.000000e+00
53,1.638819e-03,0.000000e+00,0.000000e+00,0.000000e+00
54,2.327292e-03,0.000000e+00,0.000000e+00,0.000000e+00
55,4.481645e-03,0.000000e+00,0.000000e+00,0.000000e+00
56,5.242737e-03,0.000000e+00,0.000000e+00,0.000000e+00
57,8.079116e-03,0.000000e+00,0.000000e+00,0.000000e+00
58,1.441710e-02,0.000000e+00,0.000000e+00,0.000000e+00
59,2.028114e-02,0.000000e+00,0.000000e+00,0.000000e+00
60,2.112607e-02,0.000000e+00,0.000000e+00,0.000000e+00
