epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,1.119424e+00,16.00000,20.00000,1008
1,1,4.679118e-01,16.00000,20.00000,435
1,2,3.070983e-01,23.00000,16.00000,432
1,3,2.323211e-01,19.00000,20.00000,427
1,4,1.793377e-01,20.00000,16.00000,473
1,5,1.571169e-01,35.00000,12.00000,479
1,6,1.224873e-01,25.00000,16.00000,444
1,7,1.009924e-01,23.00000,16.00000,435
1,8,8.903563e-02,17.00000,20.00000,440
1,9,8.215176e-02,18.00000,20.00000,436
1,10,7.431587e-02,26.00000,16.00000,450
1,11,7.481082e-02,25.00000,16.00000,443
1,12,6.690693e-02,21.00000,16.00000,423
1,13,6.998916e-02,21.00000,16.00000,425
1,14,5.943562e-02,27.00000,16.00000,454
1,15,5.807583e-02,21.00000,16.00000,425
1,16,5.524100e-02,25.00000,16.00000,448
1,17,4.968433e-02,26.00000,16.00000,449
1,18,5.030032e-02,19.00000,20.00000,431
1,19,4.765233e-02,21.00000,16.00000,424
1,20,4.836456e-02,25.00000,16.00000,445
1,21,4.173110e-02,25.00000,16.00000,446
1,22,3.890631e-02,22.00000,16.00000,430
1,23,4.351756e-02,24.00000,16.00000,442
1,24,3.580747e-02,20.00000,20.00000,437
1,25,3.636798e-02,14.00000,20.00000,406
1,26,3.295224e-02,19.00000,20.00000,433
1,27,3.091384e-02,20.00000,20.00000,435
1,28,3.083674e-02,16.00000,20.00000,416
1,29,2.679252e-02,24.00000,16.00000,442
1,30,2.614003e-02,13.00000,20.00000,417
1,31,2.493615e-02,21.00000,16.00000,426
1,32,2.991958e-02,23.00000,20.00000,451
1,33,2.686657e-02,17.00000,20.00000,425
1,34,2.993375e-02,17.00000,20.00000,421
1,35,2.206055e-02,26.00000,16.00000,450
1,36,2.069989e-02,25.00000,16.00000,446
1,37,2.818268e-02,12.00000,20.00000,410
1,38,3.315247e-02,20.00000,16.00000,418
1,39,2.445285e-02,33.00000,12.00000,474
1,40,2.637850e-02,27.00000,16.00000,457
1,41,2.670371e-02,25.00000,16.00000,447
1,42,2.523052e-02,17.00000,20.00000,422
1,43,2.669284e-02,26.00000,16.00000,453
1,44,2.818715e-02,17.00000,20.00000,424
1,45,2.633097e-02,24.00000,16.00000,445
1,46,3.003219e-02,14.00000,20.00000,432
1,47,2.712252e-02,33.00000,12.00000,481
1,48,2.650710e-02,20.00000,16.00000,421
1,49,2.837642e-02,34.00000,12.00000,477
1,50,2.738603e-02,18.00000,20.00000,429
1,51,3.655452e-02,15.00000,20.00000,411
