pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,3.60553e-01,3.95333e-01,1.31271e-02,1.56
100,2,4.05016e-01,3.96667e-01,1.27780e-02,1.62
100,3,4.07510e-01,4.03000e-01,1.27438e-02,1.55
100,4,4.10717e-01,4.05000e-01,1.27035e-02,1.61
100,5,4.14280e-01,4.11667e-01,1.26852e-02,1.55
100,6,4.15420e-01,4.11000e-01,1.26499e-02,1.55
100,7,4.18555e-01,4.11333e-01,1.26350e-02,1.55
100,8,4.22617e-01,4.07000e-01,1.26131e-02,1.56
100,9,4.16702e-01,4.14333e-01,1.26345e-02,1.55
100,10,4.22973e-01,4.13000e-01,1.26001e-02,1.55
100,11,4.21191e-01,3.79000e-01,1.26116e-02,1.55
100,12,4.20479e-01,4.11667e-01,1.26035e-02,1.55
100,13,4.18982e-01,4.05667e-01,1.25950e-02,1.56
100,14,4.19909e-01,4.25333e-01,1.25965e-02,1.55
100,15,4.26037e-01,4.13000e-01,1.25748e-02,1.61
100,16,4.24255e-01,4.17667e-01,1.25686e-02,1.54
100,17,4.29172e-01,4.11667e-01,1.25509e-02,1.55
100,18,4.26892e-01,4.18667e-01,1.25522e-02,1.55
100,19,4.29029e-01,4.18333e-01,1.25456e-02,1.55
100,20,4.30383e-01,4.10000e-01,1.25383e-02,1.55
100,21,4.29671e-01,4.27333e-01,1.25334e-02,1.55
100,22,4.34659e-01,4.19000e-01,1.25230e-02,1.55
100,23,4.29243e-01,4.33333e-01,1.25214e-02,1.55
100,24,4.35300e-01,4.23333e-01,1.25069e-02,1.54
100,25,4.37295e-01,4.36667e-01,1.24948e-02,1.54
100,26,4.37509e-01,4.33333e-01,1.24854e-02,1.54
100,27,4.42639e-01,4.30667e-01,1.24773e-02,1.54
100,28,4.41570e-01,4.43333e-01,1.24743e-02,1.54
100,29,4.42711e-01,4.31333e-01,1.24861e-02,1.54
100,30,4.44919e-01,4.39667e-01,1.24739e-02,1.54
100,31,4.44349e-01,4.41333e-01,1.24546e-02,1.54
100,32,4.45561e-01,4.26667e-01,1.24546e-02,1.54
100,33,4.45846e-01,4.32667e-01,1.24588e-02,1.55
100,34,4.44136e-01,4.40333e-01,1.24373e-02,1.54
