epoch,train_accuracy,val_accuracy,loss,time
1,3.77227e-01,5.80000e-01,1.30388e-02,1.52
2,5.40402e-01,5.97667e-01,1.18945e-02,1.55
3,5.96908e-01,6.48000e-01,1.14721e-02,1.51
4,6.35172e-01,6.56000e-01,1.12000e-02,1.52
5,6.53271e-01,6.63000e-01,1.10505e-02,1.51
6,6.58615e-01,6.67000e-01,1.09765e-02,1.51
7,6.63318e-01,6.73000e-01,1.09176e-02,1.50
8,6.72438e-01,6.78333e-01,1.08700e-02,1.51
9,6.81060e-01,6.85333e-01,1.08070e-02,1.51
10,6.82557e-01,6.87667e-01,1.07883e-02,1.50
11,6.81559e-01,6.91667e-01,1.07602e-02,1.51
12,6.86404e-01,6.90000e-01,1.07321e-02,1.51
13,6.90466e-01,6.91333e-01,1.07054e-02,1.50
14,6.93601e-01,6.99667e-01,1.06848e-02,1.51
15,6.94100e-01,6.99667e-01,1.06723e-02,1.50
16,6.95668e-01,6.89667e-01,1.06565e-02,1.51
17,6.96309e-01,7.01000e-01,1.06422e-02,1.49
18,6.98090e-01,7.00333e-01,1.06293e-02,1.51
19,6.99017e-01,6.96333e-01,1.06202e-02,1.52
20,7.02294e-01,6.98667e-01,1.06065e-02,1.50
21,6.97235e-01,7.04000e-01,1.06124e-02,1.52
22,7.02081e-01,7.03667e-01,1.05910e-02,1.52
23,7.00371e-01,7.06000e-01,1.05964e-02,1.52
24,7.02366e-01,7.03000e-01,1.05668e-02,1.51
25,7.04432e-01,7.07333e-01,1.05638e-02,1.50
26,7.03007e-01,7.02333e-01,1.05660e-02,1.51
27,7.04575e-01,7.03333e-01,1.05651e-02,1.50
28,7.09420e-01,7.06333e-01,1.05381e-02,1.51
29,7.06570e-01,7.12000e-01,1.05342e-02,1.51
30,7.09634e-01,7.08667e-01,1.05262e-02,1.49
31,7.08280e-01,7.12667e-01,1.05314e-02,1.51
32,7.08565e-01,7.12000e-01,1.05268e-02,1.52
33,7.08707e-01,7.09667e-01,1.05262e-02,1.50
34,7.12484e-01,7.10333e-01,1.05054e-02,1.51
35,7.06071e-01,7.13667e-01,1.05256e-02,1.51
36,7.09064e-01,7.07000e-01,1.05001e-02,1.51
37,7.12128e-01,7.14667e-01,1.04940e-02,1.50
38,7.10061e-01,7.14667e-01,1.05037e-02,1.52
39,7.07710e-01,7.19667e-01,1.05025e-02,1.51
40,7.11558e-01,7.14000e-01,1.04978e-02,1.50
41,7.09420e-01,7.16000e-01,1.04915e-02,1.50
42,7.11700e-01,7.16000e-01,1.04838e-02,1.51
43,7.09634e-01,7.14000e-01,1.04877e-02,1.50
44,7.12128e-01,7.14667e-01,1.04866e-02,1.51
45,7.12413e-01,7.17333e-01,1.04767e-02,1.51
46,7.12840e-01,7.16000e-01,1.04705e-02,1.52
47,7.13410e-01,7.15333e-01,1.04661e-02,1.51
48,7.15762e-01,7.17667e-01,1.04620e-02,1.51
49,7.18683e-01,7.14000e-01,1.04453e-02,1.51
50,7.16189e-01,7.16000e-01,1.04620e-02,1.50
51,7.15049e-01,7.12333e-01,1.04591e-02,1.50
52,7.13838e-01,7.17000e-01,1.04739e-02,1.52
