epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.873704e-01,16.00000,20.00000,1123
1,1,3.944739e-01,16.00000,20.00000,531
1,2,3.525575e-01,23.00000,16.00000,524
1,3,3.281012e-01,21.00000,16.00000,495
1,4,3.087042e-01,9.00000,20.00000,468
1,5,2.974283e-01,21.00000,20.00000,495
1,6,2.806301e-01,19.00000,20.00000,496
1,7,2.672712e-01,33.00000,12.00000,531
1,8,2.541891e-01,26.00000,16.00000,500
1,9,2.463900e-01,25.00000,16.00000,519
1,10,2.358057e-01,26.00000,16.00000,509
1,11,2.342094e-01,25.00000,16.00000,498
1,12,2.217047e-01,21.00000,16.00000,483
1,13,2.205533e-01,21.00000,16.00000,489
1,14,2.091030e-01,27.00000,16.00000,514
1,15,2.046826e-01,20.00000,20.00000,500
1,16,1.989890e-01,25.00000,16.00000,519
1,17,1.904442e-01,26.00000,16.00000,502
1,18,1.916095e-01,18.00000,16.00000,483
1,19,1.840824e-01,21.00000,16.00000,478
1,20,1.872684e-01,25.00000,16.00000,502
1,21,1.726857e-01,25.00000,16.00000,498
1,22,1.709177e-01,22.00000,16.00000,498
1,23,1.763256e-01,24.00000,16.00000,493
1,24,1.633828e-01,20.00000,20.00000,512
1,25,1.598003e-01,14.00000,20.00000,484
1,26,1.625403e-01,19.00000,20.00000,508
1,27,1.531237e-01,20.00000,20.00000,510
1,28,1.594104e-01,16.00000,20.00000,473
1,29,1.437777e-01,24.00000,16.00000,509
1,30,1.385971e-01,13.00000,20.00000,488
1,31,1.527564e-01,21.00000,16.00000,491
1,32,1.459267e-01,23.00000,20.00000,574
1,33,1.518195e-01,17.00000,20.00000,501
1,34,1.513361e-01,17.00000,20.00000,497
1,35,1.286975e-01,26.00000,16.00000,516
1,36,1.243964e-01,25.00000,16.00000,505
1,37,1.435172e-01,12.00000,20.00000,487
1,38,1.551964e-01,20.00000,16.00000,473
1,39,1.379547e-01,33.00000,12.00000,529
1,40,1.478361e-01,27.00000,16.00000,510
1,41,1.438480e-01,25.00000,16.00000,519
1,42,1.383967e-01,17.00000,20.00000,500
1,43,1.472916e-01,26.00000,16.00000,518
1,44,1.449625e-01,17.00000,20.00000,492
1,45,1.295332e-01,24.00000,16.00000,513
1,46,1.669850e-01,14.00000,20.00000,495
1,47,1.294728e-01,33.00000,12.00000,533
1,48,1.419401e-01,20.00000,16.00000,490
1,49,1.461684e-01,34.00000,12.00000,535
1,50,1.392326e-01,18.00000,20.00000,488
1,51,1.523830e-01,15.00000,20.00000,471
1,52,1.516114e-01,20.00000,20.00000,512
1,53,1.653701e-01,14.00000,20.00000,467
1,54,1.472586e-01,23.00000,16.00000,505
1,55,1.623779e-01,18.00000,20.00000,501
1,56,1.410452e-01,20.00000,20.00000,497
1,57,1.361609e-01,21.00000,16.00000,493
1,58,1.630483e-01,25.00000,16.00000,511
1,59,1.621626e-01,21.00000,16.00000,486
1,60,1.429107e-01,33.00000,12.00000,546
1,61,1.293066e-01,33.00000,12.00000,524
1,62,1.946732e-01,13.00000,20.00000,480
1,63,1.491596e-01,17.00000,20.00000,485
1,64,1.403811e-01,33.00000,12.00000,534
1,65,1.707404e-01,17.00000,20.00000,502
1,66,1.583987e-01,21.00000,16.00000,502
1,67,1.572301e-01,18.00000,20.00000,491
1,68,1.655739e-01,24.00000,16.00000,515
1,69,1.895496e-01,12.00000,20.00000,465
1,70,1.587218e-01,20.00000,16.00000,525
1,71,1.743803e-01,21.00000,16.00000,501
1,72,1.456068e-01,21.00000,16.00000,500
1,73,1.545454e-01,27.00000,16.00000,527
1,74,1.832125e-01,14.00000,20.00000,485
1,75,1.811814e-01,16.00000,20.00000,486
1,76,1.809494e-01,21.00000,16.00000,528
1,77,1.894087e-01,26.00000,16.00000,507
1,78,1.599839e-01,21.00000,16.00000,557
1,79,1.807544e-01,21.00000,16.00000,488
1,80,1.641943e-01,20.00000,20.00000,507
1,81,2.021959e-01,8.00000,20.00000,447
1,82,1.664290e-01,26.00000,16.00000,527
1,83,1.586831e-01,16.00000,20.00000,484
1,84,1.467933e-01,19.00000,20.00000,503
1,85,1.647641e-01,18.00000,20.00000,491
1,86,1.669475e-01,19.00000,20.00000,513
1,87,1.541076e-01,34.00000,12.00000,548
1,88,1.592495e-01,18.00000,20.00000,502
1,89,1.803180e-01,16.00000,20.00000,488
1,90,1.716664e-01,23.00000,16.00000,520
1,91,1.405355e-01,23.00000,16.00000,508
1,92,1.915136e-01,17.00000,20.00000,501
1,93,1.497276e-01,26.00000,16.00000,524
1,94,1.563143e-01,26.00000,16.00000,526
1,95,1.635616e-01,29.00000,16.00000,525
1,96,1.672619e-01,18.00000,20.00000,489
1,97,1.487969e-01,24.00000,16.00000,500
1,98,1.569363e-01,24.00000,16.00000,503
1,99,1.569517e-01,20.00000,16.00000,477
1,100,1.438909e-01,27.00000,16.00000,511
1,101,1.289028e-01,26.00000,16.00000,507
1,102,1.570179e-01,35.00000,12.00000,549
1,103,1.850062e-01,19.00000,20.00000,496
1,104,1.769077e-01,18.00000,20.00000,493
1,105,1.724180e-01,26.00000,16.00000,511
1,106,1.713601e-01,22.00000,16.00000,489
1,107,1.740675e-01,19.00000,20.00000,498
