pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,3.86347e-01,5.03333e-01,1.30480e-02,2.23
100,2,5.04917e-01,5.24000e-01,1.22075e-02,2.25
100,3,5.33561e-01,5.58333e-01,1.19574e-02,2.16
100,4,5.55152e-01,5.70667e-01,1.17857e-02,2.21
100,5,5.89141e-01,5.94333e-01,1.15677e-02,2.29
100,6,5.97620e-01,6.16667e-01,1.14807e-02,2.26
100,7,6.05672e-01,6.23333e-01,1.13878e-02,2.19
100,8,6.14151e-01,6.19667e-01,1.13281e-02,2.16
100,9,6.16645e-01,6.20667e-01,1.12942e-02,2.18
100,10,6.23985e-01,6.31000e-01,1.12401e-02,2.14
100,11,6.27476e-01,6.36667e-01,1.12125e-02,2.14
100,12,6.31395e-01,6.37333e-01,1.11771e-02,2.38
100,13,6.32250e-01,6.39333e-01,1.11677e-02,2.33
100,14,6.33462e-01,6.36000e-01,1.11528e-02,2.15
100,15,6.36739e-01,6.38667e-01,1.11310e-02,2.26
100,16,6.37666e-01,6.32667e-01,1.11029e-02,2.24
100,17,6.38735e-01,6.34333e-01,1.10949e-02,2.12
100,18,6.42084e-01,6.46000e-01,1.10779e-02,2.30
100,19,6.41300e-01,6.41000e-01,1.10670e-02,2.11
100,20,6.45290e-01,6.46000e-01,1.10497e-02,2.14
100,21,6.47356e-01,6.49333e-01,1.10426e-02,2.36
100,22,6.45147e-01,6.49667e-01,1.10416e-02,2.36
100,23,6.43295e-01,6.45333e-01,1.10298e-02,2.30
100,24,6.48639e-01,6.43333e-01,1.10072e-02,2.13
100,25,6.49779e-01,6.49667e-01,1.09978e-02,2.17
100,26,6.48639e-01,6.54000e-01,1.09873e-02,2.38
100,27,6.52843e-01,6.42000e-01,1.09799e-02,2.43
100,28,6.52202e-01,6.54000e-01,1.09703e-02,2.44
100,29,6.55195e-01,6.50333e-01,1.09700e-02,2.31
100,30,6.54910e-01,6.55333e-01,1.09614e-02,2.35
100,31,6.52059e-01,6.49333e-01,1.09652e-02,2.14
100,32,6.54268e-01,6.56333e-01,1.09467e-02,2.22
100,33,6.53841e-01,6.55000e-01,1.09396e-02,2.28
100,34,6.57546e-01,6.53333e-01,1.09351e-02,2.18
100,35,6.56691e-01,6.59333e-01,1.09312e-02,2.21
100,36,6.57332e-01,6.55000e-01,1.09261e-02,2.37
100,37,6.60467e-01,6.55667e-01,1.09106e-02,2.32
100,38,6.60396e-01,6.59333e-01,1.09097e-02,2.28
100,39,6.58116e-01,6.61333e-01,1.08990e-02,2.32
100,40,6.57688e-01,6.53667e-01,1.09015e-02,2.32
100,41,6.60966e-01,6.64333e-01,1.08976e-02,2.30
100,42,6.63033e-01,6.63000e-01,1.08837e-02,2.35
100,43,6.63674e-01,6.58000e-01,1.08805e-02,2.19
100,44,6.61964e-01,6.60000e-01,1.08853e-02,2.27
100,45,6.59684e-01,6.58000e-01,1.08928e-02,2.23
100,46,6.62676e-01,6.59667e-01,1.08845e-02,2.20
100,47,6.65812e-01,6.56667e-01,1.08613e-02,2.12
100,48,6.61964e-01,6.57333e-01,1.08771e-02,2.23
100,49,6.65099e-01,6.69000e-01,1.08578e-02,2.30
100,50,6.65740e-01,6.58000e-01,1.08567e-02,2.23
100,51,6.65954e-01,6.67333e-01,1.08533e-02,2.19
100,52,6.68234e-01,6.66333e-01,1.08442e-02,2.12
100,53,6.65812e-01,6.59333e-01,1.08402e-02,2.41
100,54,6.64957e-01,6.56000e-01,1.08490e-02,2.21
100,55,6.67735e-01,6.64000e-01,1.08387e-02,2.25
100,56,6.67379e-01,6.67000e-01,1.08368e-02,2.30
100,57,6.67308e-01,6.62333e-01,1.08364e-02,2.13
100,58,6.70799e-01,6.62000e-01,1.08335e-02,2.25
100,59,6.67379e-01,6.67000e-01,1.08376e-02,2.28
100,60,6.68234e-01,6.63333e-01,1.08250e-02,2.11
100,61,6.69588e-01,6.56333e-01,1.08246e-02,2.13
100,62,6.64743e-01,6.66000e-01,1.08305e-02,2.15
100,63,6.70016e-01,6.66333e-01,1.08138e-02,2.35
100,64,6.68519e-01,6.65333e-01,1.08179e-02,2.37
100,65,6.64244e-01,6.66333e-01,1.08360e-02,2.37
100,66,6.70871e-01,6.69333e-01,1.08086e-02,2.16
100,67,6.69944e-01,6.61333e-01,1.08112e-02,2.20
100,68,6.71868e-01,6.71000e-01,1.08054e-02,2.18
100,69,6.69374e-01,6.70000e-01,1.08146e-02,2.50
100,70,6.67237e-01,6.62333e-01,1.08138e-02,2.15
100,71,6.70016e-01,6.62667e-01,1.08086e-02,2.41
100,72,6.74505e-01,6.69000e-01,1.07942e-02,2.24
100,73,6.70158e-01,6.70000e-01,1.08038e-02,2.33
100,74,6.68662e-01,6.67667e-01,1.08100e-02,2.22
100,75,6.67878e-01,6.68667e-01,1.07997e-02,2.29
100,76,6.74362e-01,6.70667e-01,1.07910e-02,2.22
100,77,6.74790e-01,6.67000e-01,1.07767e-02,2.09
100,78,6.69873e-01,6.65000e-01,1.07932e-02,2.11
