epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.874933e-01,16.00000,20.00000,838
1,1,3.948543e-01,16.00000,20.00000,486
1,2,3.528672e-01,23.00000,16.00000,468
1,3,3.282462e-01,33.00000,12.00000,464
1,4,3.087906e-01,9.00000,20.00000,403
1,5,2.969716e-01,23.00000,16.00000,428
1,6,2.811725e-01,19.00000,20.00000,423
1,7,2.667961e-01,23.00000,16.00000,427
1,8,2.551755e-01,17.00000,20.00000,436
1,9,2.466869e-01,25.00000,16.00000,440
1,10,2.363228e-01,26.00000,16.00000,443
1,11,2.360062e-01,15.00000,20.00000,432
1,12,2.222213e-01,21.00000,16.00000,420
1,13,2.214233e-01,21.00000,16.00000,418
1,14,2.108178e-01,27.00000,16.00000,450
1,15,2.073051e-01,21.00000,16.00000,419
1,16,2.005464e-01,25.00000,16.00000,444
1,17,1.924260e-01,26.00000,16.00000,446
1,18,1.925986e-01,18.00000,16.00000,403
1,19,1.889860e-01,21.00000,16.00000,419
1,20,1.902506e-01,25.00000,16.00000,440
1,21,1.740368e-01,25.00000,16.00000,441
1,22,1.765101e-01,22.00000,16.00000,427
1,23,1.782055e-01,24.00000,16.00000,437
1,24,1.694776e-01,20.00000,20.00000,429
1,25,1.624095e-01,14.00000,20.00000,400
1,26,1.722799e-01,19.00000,20.00000,425
1,27,1.562707e-01,20.00000,20.00000,431
1,28,1.630175e-01,16.00000,20.00000,406
1,29,1.544119e-01,24.00000,16.00000,436
1,30,1.504782e-01,13.00000,20.00000,409
1,31,1.468041e-01,21.00000,16.00000,421
1,32,1.538683e-01,23.00000,20.00000,447
1,33,1.486321e-01,17.00000,20.00000,416
1,34,1.538118e-01,17.00000,20.00000,415
1,35,1.342806e-01,26.00000,16.00000,447
1,36,1.304123e-01,25.00000,16.00000,444
1,37,1.439916e-01,12.00000,20.00000,404
1,38,1.667874e-01,20.00000,16.00000,414
1,39,1.361584e-01,33.00000,12.00000,471
1,40,1.488062e-01,27.00000,16.00000,453
1,41,1.488400e-01,25.00000,16.00000,443
1,42,1.538727e-01,17.00000,20.00000,417
1,43,1.554971e-01,26.00000,16.00000,448
1,44,1.450871e-01,17.00000,20.00000,418
1,45,1.456408e-01,24.00000,16.00000,439
1,46,1.695025e-01,14.00000,20.00000,426
1,47,1.371582e-01,33.00000,12.00000,478
1,48,1.481834e-01,20.00000,16.00000,415
1,49,1.453660e-01,34.00000,12.00000,475
1,50,1.576436e-01,18.00000,20.00000,423
1,51,1.687847e-01,15.00000,20.00000,405
1,52,1.550568e-01,20.00000,20.00000,431
1,53,1.789159e-01,14.00000,20.00000,401
1,54,1.573563e-01,23.00000,16.00000,431
1,55,1.726431e-01,18.00000,20.00000,422
1,56,1.453690e-01,20.00000,20.00000,435
1,57,1.460764e-01,21.00000,16.00000,425
1,58,1.705138e-01,25.00000,16.00000,445
1,59,1.757016e-01,21.00000,16.00000,426
1,60,1.541340e-01,33.00000,12.00000,475
1,61,1.359859e-01,33.00000,12.00000,473
1,62,2.038276e-01,13.00000,20.00000,396
1,63,1.485048e-01,17.00000,20.00000,419
1,64,1.416107e-01,33.00000,12.00000,475
1,65,1.828454e-01,17.00000,20.00000,418
1,66,1.656255e-01,21.00000,16.00000,424
1,67,1.639565e-01,18.00000,20.00000,426
1,68,1.738562e-01,24.00000,16.00000,441
1,69,2.011231e-01,12.00000,20.00000,394
1,70,1.705287e-01,20.00000,16.00000,450
1,71,1.835778e-01,21.00000,16.00000,424
1,72,1.504086e-01,21.00000,16.00000,426
1,73,1.631556e-01,27.00000,16.00000,457
1,74,1.942536e-01,14.00000,20.00000,403
1,75,1.921984e-01,16.00000,20.00000,413
1,76,1.998845e-01,21.00000,16.00000,464
1,77,1.937855e-01,26.00000,16.00000,449
1,78,1.673392e-01,21.00000,16.00000,426
1,79,1.907254e-01,21.00000,16.00000,426
1,80,1.749577e-01,20.00000,20.00000,434
1,81,2.131523e-01,8.00000,20.00000,373
1,82,1.693154e-01,26.00000,16.00000,451
1,83,1.687800e-01,16.00000,20.00000,411
1,84,1.529214e-01,19.00000,20.00000,430
1,85,1.737551e-01,18.00000,20.00000,424
1,86,1.762641e-01,19.00000,20.00000,429
1,87,1.652796e-01,34.00000,12.00000,481
1,88,1.700083e-01,18.00000,20.00000,426
1,89,1.935139e-01,16.00000,20.00000,413
1,90,1.789786e-01,23.00000,16.00000,441
1,91,1.524617e-01,23.00000,16.00000,434
1,92,2.036997e-01,17.00000,20.00000,421
1,93,1.582389e-01,26.00000,16.00000,452
1,94,1.658561e-01,26.00000,16.00000,452
1,95,1.748048e-01,29.00000,16.00000,471
1,96,1.817271e-01,18.00000,20.00000,425
1,97,1.563550e-01,24.00000,16.00000,442
1,98,1.688885e-01,24.00000,16.00000,444
1,99,1.679128e-01,20.00000,16.00000,418
1,100,1.626757e-01,27.00000,16.00000,459
1,101,1.363063e-01,26.00000,16.00000,452
1,102,1.716758e-01,35.00000,12.00000,487
1,103,2.015777e-01,19.00000,20.00000,432
1,104,1.961248e-01,18.00000,20.00000,425
1,105,1.885228e-01,26.00000,16.00000,451
1,106,1.879361e-01,22.00000,16.00000,433
1,107,1.890779e-01,19.00000,20.00000,430
1,108,1.817970e-01,20.00000,20.00000,436
1,109,1.723115e-01,26.00000,16.00000,454
1,110,1.929931e-01,18.00000,20.00000,436
1,111,1.692582e-01,17.00000,20.00000,423
1,112,1.611577e-01,36.00000,12.00000,496
1,113,1.765818e-01,25.00000,16.00000,447
1,114,1.996501e-01,13.00000,20.00000,401
1,115,1.583975e-01,27.00000,16.00000,460
2,0,1.878912e-01,21.00000,16.00000,443
2,1,1.648896e-01,24.00000,16.00000,440
2,2,1.822113e-01,24.00000,16.00000,464
2,3,1.930954e-01,27.00000,16.00000,453
2,4,1.764698e-01,35.00000,12.00000,484
2,5,1.566741e-01,33.00000,12.00000,477
2,6,1.672838e-01,24.00000,16.00000,444
2,7,1.571911e-01,23.00000,16.00000,433
2,8,1.586891e-01,25.00000,16.00000,444
2,9,1.672165e-01,16.00000,20.00000,411
2,10,1.805936e-01,22.00000,20.00000,444
2,11,1.582923e-01,23.00000,16.00000,440
2,12,1.722522e-01,26.00000,16.00000,451
2,13,1.294623e-01,36.00000,12.00000,491
2,14,1.297794e-01,24.00000,16.00000,441
2,15,1.486526e-01,17.00000,20.00000,466
2,16,1.719075e-01,23.00000,16.00000,433
2,17,1.700322e-01,14.00000,20.00000,439
2,18,1.488620e-01,12.00000,20.00000,428
2,19,1.304662e-01,27.00000,16.00000,457
2,20,1.520804e-01,26.00000,16.00000,447
2,21,1.851066e-01,16.00000,20.00000,411
2,22,1.874678e-01,14.00000,20.00000,405
2,23,1.441219e-01,21.00000,20.00000,452
2,24,1.597869e-01,26.00000,16.00000,451
2,25,1.902487e-01,16.00000,20.00000,412
2,26,1.661401e-01,20.00000,20.00000,433
2,27,1.780584e-01,19.00000,20.00000,432
2,28,1.788062e-01,13.00000,20.00000,400
2,29,1.817369e-01,21.00000,16.00000,426
2,30,1.696757e-01,23.00000,16.00000,436
2,31,1.688029e-01,16.00000,20.00000,413
2,32,1.569284e-01,22.00000,16.00000,431
2,33,1.656238e-01,20.00000,20.00000,437
2,34,1.709058e-01,18.00000,20.00000,427
2,35,1.550315e-01,33.00000,12.00000,485
2,36,1.902862e-01,14.00000,20.00000,405
2,37,1.648420e-01,16.00000,20.00000,414
2,38,1.781394e-01,11.00000,20.00000,391
2,39,1.560537e-01,19.00000,20.00000,431
2,40,1.504053e-01,25.00000,16.00000,450
2,41,1.610419e-01,21.00000,16.00000,429
2,42,1.696269e-01,18.00000,20.00000,428
2,43,1.513399e-01,19.00000,20.00000,432
2,44,1.537091e-01,25.00000,16.00000,450
2,45,1.673257e-01,17.00000,20.00000,424
