pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,3.65968e-01,4.79333e-01,1.31025e-02,1.90
100,2,4.82970e-01,5.27000e-01,1.22982e-02,1.54
100,3,5.15747e-01,5.35000e-01,1.20620e-02,1.56
100,4,5.31067e-01,5.46000e-01,1.19264e-02,1.55
100,5,5.37124e-01,5.47333e-01,1.18617e-02,1.54
100,6,5.47670e-01,5.50667e-01,1.17989e-02,1.54
100,7,5.54724e-01,5.55333e-01,1.17381e-02,1.55
100,8,5.61992e-01,5.70000e-01,1.16946e-02,1.55
100,9,5.64771e-01,5.62667e-01,1.16616e-02,1.54
100,10,5.69902e-01,5.69667e-01,1.16212e-02,1.55
100,11,5.71184e-01,5.74333e-01,1.16029e-02,1.57
100,12,5.78381e-01,5.78333e-01,1.15700e-02,1.54
100,13,5.77170e-01,5.80667e-01,1.15612e-02,1.54
100,14,5.80162e-01,5.82000e-01,1.15317e-02,1.54
100,15,5.80590e-01,5.83333e-01,1.15271e-02,1.55
100,16,5.80590e-01,5.83667e-01,1.15127e-02,1.55
100,17,5.80519e-01,5.84667e-01,1.15094e-02,1.55
100,18,5.81659e-01,5.80333e-01,1.14958e-02,1.55
100,19,5.86718e-01,5.89333e-01,1.14801e-02,1.55
100,20,5.85934e-01,5.89000e-01,1.14678e-02,1.55
100,21,5.85792e-01,5.86000e-01,1.14765e-02,1.55
100,22,5.89996e-01,5.89667e-01,1.14564e-02,1.55
100,23,5.91136e-01,5.86333e-01,1.14411e-02,1.55
100,24,5.90067e-01,5.88000e-01,1.14376e-02,1.55
100,25,5.88927e-01,5.93000e-01,1.14328e-02,1.55
100,26,5.90993e-01,5.87000e-01,1.14311e-02,1.55
100,27,5.88642e-01,5.89667e-01,1.14320e-02,1.54
100,28,5.89711e-01,5.89333e-01,1.14193e-02,1.55
100,29,5.94485e-01,5.90000e-01,1.13961e-02,1.55
100,30,5.92703e-01,5.88333e-01,1.14123e-02,1.63
100,31,5.93487e-01,5.93333e-01,1.13952e-02,1.55
100,32,5.92775e-01,5.92000e-01,1.14044e-02,1.55
100,33,5.90281e-01,5.90667e-01,1.14057e-02,1.56
100,34,5.94841e-01,5.90667e-01,1.13921e-02,1.56
100,35,5.95340e-01,5.90333e-01,1.13832e-02,1.55
100,36,5.95767e-01,5.92000e-01,1.13840e-02,1.54
100,37,5.94912e-01,5.91667e-01,1.13787e-02,1.55
100,38,5.95197e-01,5.94667e-01,1.13767e-02,1.55
100,39,5.98475e-01,5.92000e-01,1.13709e-02,1.55
100,40,5.95055e-01,6.00667e-01,1.13781e-02,1.55
100,41,6.25053e-01,6.28333e-01,1.11539e-02,1.54
100,42,6.40801e-01,6.38000e-01,1.10541e-02,1.54
100,43,6.42155e-01,6.34333e-01,1.10308e-02,1.54
100,44,6.43295e-01,6.37000e-01,1.10139e-02,1.54
100,45,6.45005e-01,6.39333e-01,1.10058e-02,1.55
100,46,6.46145e-01,6.37000e-01,1.10047e-02,1.55
100,47,6.48069e-01,6.37333e-01,1.09924e-02,1.54
100,48,6.46216e-01,6.42000e-01,1.09894e-02,1.55
100,49,6.45789e-01,6.42333e-01,1.09959e-02,1.55
100,50,6.45646e-01,6.44667e-01,1.09794e-02,1.54
100,51,6.50634e-01,6.38333e-01,1.09734e-02,1.55
100,52,6.50634e-01,6.42333e-01,1.09660e-02,1.55
100,53,6.52843e-01,6.42333e-01,1.09584e-02,1.54
100,54,6.51347e-01,6.43000e-01,1.09614e-02,1.55
100,55,6.50919e-01,6.48333e-01,1.09512e-02,1.55
100,56,6.54838e-01,6.47667e-01,1.09355e-02,1.54
100,57,6.54553e-01,6.44000e-01,1.09381e-02,1.55
100,58,6.51489e-01,6.46333e-01,1.09454e-02,1.54
100,59,6.56406e-01,6.43333e-01,1.09255e-02,1.54
100,60,6.52986e-01,6.47000e-01,1.09291e-02,1.55
100,61,6.56121e-01,6.50000e-01,1.09149e-02,1.55
100,62,6.57403e-01,6.55000e-01,1.09154e-02,1.55
100,63,6.56762e-01,6.48000e-01,1.09267e-02,1.55
100,64,6.53912e-01,6.44333e-01,1.09198e-02,1.54
100,65,6.58971e-01,6.49667e-01,1.09033e-02,1.55
100,66,6.58544e-01,6.53667e-01,1.08998e-02,1.56
100,67,6.56548e-01,6.52667e-01,1.09161e-02,1.54
100,68,6.55266e-01,6.50000e-01,1.09094e-02,1.55
100,69,6.59114e-01,6.51333e-01,1.09025e-02,1.54
100,70,6.59256e-01,6.50333e-01,1.09083e-02,1.54
100,71,6.55836e-01,6.48667e-01,1.09046e-02,1.54
100,72,6.59826e-01,6.53000e-01,1.08862e-02,1.54
100,73,6.62890e-01,6.52667e-01,1.08775e-02,1.55
100,74,6.59826e-01,6.54000e-01,1.08811e-02,1.54
100,75,6.59612e-01,6.55667e-01,1.08798e-02,1.54
100,76,6.57403e-01,6.57333e-01,1.08927e-02,1.54
100,77,6.60824e-01,6.57667e-01,1.08919e-02,1.55
