epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.874953e-01,16.00000,20.00000,1097
1,1,3.948389e-01,16.00000,20.00000,527
1,2,3.528867e-01,23.00000,16.00000,518
1,3,3.287302e-01,21.00000,20.00000,537
1,4,3.075903e-01,36.00000,12.00000,543
1,5,2.972860e-01,23.00000,16.00000,551
1,6,2.808522e-01,25.00000,16.00000,531
1,7,2.674783e-01,18.00000,20.00000,525
1,8,2.550399e-01,26.00000,16.00000,528
1,9,2.464340e-01,18.00000,20.00000,536
1,10,2.359688e-01,26.00000,16.00000,534
1,11,2.344160e-01,25.00000,16.00000,517
1,12,2.217223e-01,21.00000,16.00000,509
1,13,2.198916e-01,21.00000,16.00000,511
1,14,2.096719e-01,27.00000,16.00000,542
1,15,2.055404e-01,21.00000,16.00000,498
1,16,1.988477e-01,27.00000,16.00000,522
1,17,1.943052e-01,25.00000,16.00000,534
1,18,1.910851e-01,18.00000,16.00000,502
1,19,1.857167e-01,19.00000,20.00000,516
1,20,1.907735e-01,25.00000,16.00000,530
1,21,1.732446e-01,25.00000,16.00000,531
1,22,1.776406e-01,22.00000,16.00000,507
1,23,1.749903e-01,24.00000,16.00000,527
1,24,1.678457e-01,20.00000,20.00000,535
1,25,1.614560e-01,14.00000,20.00000,503
1,26,1.658946e-01,20.00000,20.00000,521
1,27,1.551465e-01,20.00000,20.00000,519
1,28,1.559791e-01,16.00000,20.00000,513
1,29,1.510022e-01,24.00000,16.00000,523
1,30,1.483270e-01,17.00000,20.00000,520
1,31,1.397556e-01,21.00000,16.00000,513
1,32,1.481538e-01,23.00000,20.00000,625
1,33,1.431195e-01,17.00000,20.00000,527
1,34,1.479883e-01,17.00000,20.00000,522
1,35,1.270454e-01,26.00000,16.00000,537
1,36,1.253703e-01,23.00000,16.00000,522
1,37,1.376182e-01,16.00000,20.00000,511
1,38,1.597476e-01,20.00000,16.00000,505
1,39,1.439736e-01,33.00000,12.00000,546
1,40,1.319686e-01,27.00000,16.00000,529
1,41,1.534278e-01,25.00000,16.00000,535
1,42,1.449406e-01,17.00000,20.00000,519
1,43,1.428002e-01,26.00000,16.00000,539
1,44,1.453282e-01,17.00000,20.00000,525
1,45,1.353209e-01,24.00000,16.00000,531
1,46,1.549101e-01,20.00000,20.00000,517
1,47,1.357148e-01,36.00000,12.00000,558
1,48,1.413533e-01,20.00000,16.00000,491
1,49,1.344467e-01,34.00000,12.00000,556
1,50,1.470510e-01,16.00000,20.00000,524
1,51,1.604293e-01,15.00000,20.00000,501
1,52,1.537574e-01,20.00000,20.00000,522
1,53,1.651336e-01,14.00000,20.00000,508
1,54,1.533682e-01,23.00000,16.00000,520
1,55,1.682383e-01,18.00000,20.00000,521
1,56,1.400321e-01,20.00000,20.00000,525
1,57,1.393466e-01,21.00000,16.00000,518
1,58,1.679261e-01,25.00000,16.00000,529
1,59,1.726390e-01,21.00000,16.00000,501
1,60,1.502630e-01,35.00000,12.00000,541
1,61,1.347094e-01,33.00000,12.00000,550
1,62,1.910415e-01,13.00000,20.00000,505
1,63,1.389850e-01,17.00000,20.00000,525
1,64,1.418360e-01,33.00000,12.00000,552
1,65,1.725431e-01,17.00000,20.00000,528
1,66,1.586437e-01,22.00000,16.00000,517
1,67,1.577212e-01,17.00000,20.00000,532
1,68,1.633643e-01,24.00000,16.00000,531
1,69,1.929016e-01,12.00000,20.00000,502
1,70,1.610677e-01,27.00000,16.00000,535
1,71,1.710470e-01,21.00000,16.00000,517
1,72,1.416082e-01,21.00000,16.00000,516
1,73,1.518872e-01,27.00000,16.00000,547
1,74,1.849328e-01,14.00000,20.00000,511
1,75,1.750923e-01,16.00000,20.00000,517
1,76,1.756516e-01,30.00000,16.00000,559
1,77,1.775723e-01,21.00000,16.00000,540
1,78,1.563211e-01,21.00000,16.00000,563
1,79,1.754142e-01,21.00000,16.00000,518
1,80,1.549289e-01,16.00000,20.00000,535
1,81,1.952752e-01,8.00000,20.00000,488
1,82,1.610273e-01,26.00000,16.00000,540
1,83,1.508777e-01,16.00000,20.00000,518
1,84,1.407659e-01,19.00000,20.00000,529
1,85,1.585459e-01,18.00000,20.00000,533
1,86,1.638198e-01,17.00000,20.00000,532
1,87,1.445060e-01,33.00000,12.00000,560
1,88,1.474332e-01,18.00000,20.00000,528
1,89,1.723119e-01,16.00000,20.00000,520
1,90,1.642257e-01,25.00000,16.00000,535
1,91,1.309038e-01,23.00000,16.00000,521
1,92,1.828464e-01,17.00000,20.00000,529
1,93,1.424950e-01,26.00000,16.00000,542
1,94,1.512087e-01,26.00000,16.00000,532
1,95,1.557372e-01,23.00000,16.00000,559
1,96,1.634695e-01,15.00000,20.00000,519
1,97,1.410087e-01,23.00000,16.00000,520
1,98,1.445943e-01,24.00000,16.00000,519
1,99,1.492110e-01,20.00000,16.00000,504
1,100,1.390750e-01,26.00000,16.00000,536
1,101,1.182583e-01,26.00000,16.00000,530
1,102,1.435300e-01,35.00000,12.00000,550
1,103,1.728299e-01,19.00000,20.00000,541
1,104,1.685821e-01,18.00000,20.00000,521
1,105,1.595464e-01,23.00000,16.00000,527
1,106,1.601899e-01,17.00000,16.00000,512
1,107,1.609550e-01,16.00000,20.00000,537
1,108,1.527478e-01,20.00000,20.00000,527
1,109,1.463102e-01,26.00000,16.00000,530
1,110,1.584904e-01,21.00000,20.00000,534
1,111,1.387792e-01,17.00000,20.00000,515
1,112,1.341912e-01,36.00000,12.00000,559
1,113,1.450024e-01,25.00000,16.00000,528
1,114,1.649725e-01,13.00000,20.00000,497
1,115,1.358203e-01,27.00000,16.00000,537
2,0,1.558226e-01,35.00000,12.00000,2131
2,1,1.589095e-01,24.00000,16.00000,515
2,2,1.657178e-01,24.00000,16.00000,516
2,3,1.474394e-01,34.00000,12.00000,547
2,4,1.678737e-01,21.00000,16.00000,515
2,5,1.514180e-01,21.00000,16.00000,543
2,6,1.499326e-01,26.00000,16.00000,530
2,7,1.327721e-01,23.00000,16.00000,511
