epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.915569e-06,16.00000,20.00000,1188
1,1,2.242709e-06,18.00000,20.00000,489
1,2,2.414541e-06,20.00000,20.00000,465
1,3,2.791527e-06,33.00000,12.00000,489
1,4,2.105277e-06,16.00000,20.00000,449
1,5,3.423197e-06,27.00000,16.00000,491
1,6,2.445910e-06,17.00000,20.00000,450
1,7,2.218321e-06,24.00000,16.00000,464
1,8,2.505400e-06,26.00000,16.00000,473
1,9,2.334361e-06,26.00000,16.00000,475
1,10,2.465963e-06,27.00000,16.00000,478
1,11,2.512071e-06,23.00000,16.00000,459
1,12,2.001130e-06,24.00000,16.00000,465
1,13,2.448165e-06,25.00000,16.00000,472
1,14,2.535271e-06,23.00000,16.00000,457
1,15,2.378069e-06,26.00000,16.00000,473
1,16,2.330089e-06,17.00000,20.00000,455
1,17,2.596674e-06,20.00000,16.00000,442
1,18,3.159267e-06,23.00000,16.00000,462
1,19,3.106863e-06,24.00000,16.00000,466
1,20,3.143574e-06,24.00000,16.00000,464
1,21,2.999385e-06,26.00000,16.00000,474
1,22,2.510998e-06,20.00000,16.00000,444
1,23,1.999081e-06,23.00000,16.00000,460
1,24,2.059106e-06,19.00000,20.00000,462
1,25,2.016118e-06,13.00000,20.00000,447
1,26,1.964770e-06,19.00000,20.00000,462
1,27,2.362480e-06,18.00000,20.00000,457
1,28,2.019514e-06,18.00000,20.00000,459
1,29,2.638437e-06,26.00000,16.00000,477
1,30,2.215972e-06,13.00000,20.00000,430
1,31,2.639896e-06,20.00000,16.00000,445
1,32,2.058819e-06,19.00000,20.00000,463
1,33,2.273475e-06,20.00000,20.00000,469
1,34,2.114840e-06,18.00000,20.00000,458
1,35,2.703528e-06,23.00000,16.00000,462
1,36,2.444393e-06,22.00000,16.00000,454
1,37,2.246482e-06,16.00000,20.00000,449
1,38,2.276178e-06,25.00000,16.00000,475
1,39,3.252399e-06,34.00000,12.00000,504
1,40,2.554716e-06,27.00000,16.00000,483
1,41,2.376340e-06,23.00000,16.00000,461
1,42,1.971894e-06,17.00000,20.00000,456
1,43,2.424751e-06,22.00000,16.00000,457
1,44,1.955888e-06,14.00000,20.00000,437
1,45,2.274258e-06,26.00000,16.00000,478
1,46,2.267845e-06,20.00000,20.00000,470
1,47,3.118547e-06,33.00000,12.00000,497
1,48,2.582295e-06,21.00000,16.00000,451
1,49,3.331771e-06,37.00000,12.00000,528
1,50,2.102710e-06,23.00000,20.00000,489
1,51,2.503573e-06,17.00000,20.00000,455
1,52,2.120569e-06,20.00000,20.00000,473
1,53,1.722877e-06,20.00000,20.00000,470
1,54,2.460003e-06,22.00000,16.00000,458
1,55,2.638401e-06,17.00000,20.00000,456
1,56,2.226006e-06,19.00000,20.00000,465
1,57,2.580649e-06,28.00000,16.00000,487
1,58,2.312800e-06,21.00000,16.00000,454
1,59,3.188958e-06,20.00000,16.00000,449
1,60,2.710548e-06,33.00000,12.00000,496
1,61,2.985340e-06,36.00000,12.00000,521
1,62,2.351937e-06,13.00000,20.00000,433
1,63,2.349629e-06,13.00000,20.00000,433
1,64,3.363150e-06,33.00000,12.00000,498
1,65,2.198308e-06,19.00000,20.00000,466
1,66,2.634730e-06,25.00000,16.00000,477
1,67,2.193950e-06,21.00000,20.00000,480
1,68,2.698470e-06,25.00000,16.00000,477
1,69,2.165961e-06,14.00000,20.00000,436
1,70,3.038455e-06,21.00000,16.00000,456
1,71,2.311827e-06,17.00000,16.00000,451
1,72,2.580854e-06,24.00000,16.00000,471
1,73,2.624159e-06,17.00000,16.00000,431
1,74,1.996009e-06,17.00000,20.00000,458
1,75,2.199893e-06,19.00000,20.00000,467
1,76,2.582448e-06,24.00000,16.00000,473
1,77,3.341664e-06,25.00000,16.00000,477
1,78,2.381145e-06,20.00000,16.00000,449
1,79,2.295150e-06,25.00000,16.00000,479
1,80,1.875334e-06,13.00000,20.00000,434
1,81,2.038978e-06,19.00000,20.00000,468
1,82,2.980398e-06,26.00000,16.00000,483
1,83,1.868945e-06,17.00000,20.00000,458
1,84,2.247008e-06,16.00000,20.00000,455
1,85,2.062368e-06,15.00000,20.00000,456
1,86,1.784893e-06,19.00000,20.00000,468
1,87,3.605802e-06,37.00000,12.00000,531
1,88,2.212198e-06,15.00000,20.00000,450
1,89,2.234584e-06,12.00000,20.00000,478
1,90,2.158459e-06,25.00000,16.00000,479
1,91,2.519168e-06,25.00000,16.00000,479
1,92,2.360527e-06,15.00000,20.00000,453
1,93,2.529010e-06,22.00000,16.00000,460
1,94,2.466349e-06,28.00000,16.00000,495
1,95,3.113179e-06,23.00000,16.00000,483
1,96,2.202839e-06,17.00000,20.00000,459
1,97,2.752352e-06,27.00000,16.00000,491
1,98,2.736612e-06,24.00000,16.00000,474
1,99,2.591551e-06,25.00000,16.00000,480
1,100,2.492172e-06,27.00000,16.00000,492
1,101,2.743120e-06,26.00000,16.00000,484
1,102,2.923538e-06,35.00000,12.00000,521
1,103,2.454057e-06,11.00000,20.00000,425
1,104,2.388005e-06,12.00000,20.00000,430
1,105,2.695255e-06,26.00000,16.00000,485
1,106,2.655226e-06,25.00000,16.00000,481
1,107,2.226690e-06,16.00000,20.00000,455
1,108,2.125820e-06,19.00000,20.00000,470
2,0,2.254820e-06,28.00000,16.00000,505
2,1,2.957601e-06,35.00000,12.00000,515
2,2,3.127694e-06,26.00000,16.00000,481
2,3,2.432964e-06,21.00000,16.00000,468
2,4,2.284887e-06,26.00000,16.00000,482
2,5,2.666543e-06,17.00000,20.00000,459
2,6,2.911861e-06,19.00000,20.00000,502
2,7,2.547039e-06,33.00000,12.00000,500
2,8,2.319243e-06,17.00000,20.00000,460
2,9,2.865621e-06,29.00000,16.00000,509
2,10,2.489983e-06,20.00000,16.00000,450
2,11,2.253489e-06,23.00000,16.00000,466
2,12,2.024226e-06,19.00000,20.00000,472
2,13,1.852687e-06,19.00000,20.00000,486
2,14,2.254699e-06,27.00000,16.00000,488
2,15,2.788166e-06,20.00000,16.00000,466
2,16,2.612695e-06,25.00000,16.00000,480
2,17,2.830883e-06,33.00000,12.00000,500
2,18,2.346050e-06,19.00000,20.00000,481
2,19,3.070511e-06,21.00000,16.00000,493
2,20,2.994789e-06,33.00000,12.00000,500
2,21,3.291685e-06,17.00000,16.00000,433
2,22,2.428426e-06,23.00000,16.00000,465
2,23,2.509954e-06,20.00000,20.00000,474
2,24,2.706601e-06,23.00000,16.00000,468
2,25,2.540458e-06,20.00000,20.00000,475
2,26,2.431611e-06,25.00000,16.00000,479
2,27,2.645513e-06,23.00000,16.00000,471
2,28,2.130285e-06,18.00000,20.00000,470
2,29,2.424878e-06,18.00000,20.00000,465
2,30,2.347695e-06,18.00000,20.00000,465
2,31,2.239763e-06,23.00000,16.00000,468
2,32,2.401370e-06,17.00000,20.00000,460
2,33,2.526404e-06,15.00000,20.00000,449
2,34,1.985787e-06,16.00000,20.00000,455
2,35,2.249835e-06,17.00000,20.00000,460
2,36,2.508121e-06,23.00000,16.00000,469
2,37,2.637697e-06,21.00000,16.00000,458
2,38,1.908365e-06,12.00000,20.00000,432
2,39,2.445888e-06,24.00000,16.00000,474
2,40,2.651662e-06,21.00000,20.00000,483
2,41,2.201075e-06,12.00000,20.00000,471
2,42,3.400695e-06,35.00000,12.00000,520
2,43,2.272992e-06,19.00000,20.00000,471
2,44,2.800378e-06,12.00000,20.00000,433
2,45,2.235905e-06,20.00000,20.00000,477
2,46,2.091225e-06,20.00000,20.00000,481
2,47,2.851429e-06,17.00000,16.00000,434
2,48,2.598869e-06,20.00000,16.00000,452
2,49,2.103464e-06,19.00000,20.00000,472
2,50,2.751013e-06,11.00000,20.00000,426
2,51,2.520052e-06,24.00000,16.00000,487
2,52,1.745701e-06,20.00000,20.00000,480
2,53,2.510880e-06,25.00000,16.00000,482
2,54,2.613460e-06,23.00000,16.00000,469
2,55,2.272084e-06,30.00000,16.00000,512
2,56,2.544275e-06,25.00000,16.00000,482
2,57,3.107843e-06,17.00000,16.00000,436
2,58,2.280433e-06,17.00000,20.00000,463
2,59,2.847104e-06,33.00000,12.00000,505
2,60,2.885095e-06,25.00000,16.00000,484
2,61,2.586962e-06,25.00000,16.00000,484
2,62,2.638143e-06,21.00000,16.00000,459
2,63,2.601492e-06,21.00000,16.00000,461
2,64,2.293019e-06,19.00000,20.00000,473
2,65,2.543249e-06,18.00000,20.00000,466
2,66,3.007109e-06,24.00000,16.00000,477
2,67,2.956604e-06,17.00000,16.00000,437
2,68,2.023532e-06,19.00000,20.00000,473
2,69,3.033196e-06,23.00000,16.00000,471
2,70,3.230955e-06,20.00000,16.00000,455
2,71,3.554941e-06,34.00000,12.00000,520
2,72,2.409570e-06,25.00000,16.00000,483
2,73,2.852181e-06,21.00000,16.00000,460
2,74,2.398251e-06,16.00000,20.00000,458
2,75,2.713815e-06,23.00000,16.00000,473
2,76,2.816829e-06,23.00000,16.00000,473
2,77,2.327815e-06,11.00000,20.00000,428
2,78,3.082472e-06,23.00000,16.00000,471
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.283338e-06,20.00000,16.00000,1106
1,1,1.810012e-06,16.00000,20.00000,508
1,2,2.566670e-06,21.00000,16.00000,497
1,3,1.930624e-06,23.00000,16.00000,463
1,4,1.579496e-06,14.00000,20.00000,432
1,5,3.090186e-06,33.00000,12.00000,493
1,6,2.105350e-06,25.00000,16.00000,472
1,7,1.645119e-06,21.00000,20.00000,473
1,8,1.828299e-06,13.00000,20.00000,462
1,9,1.677070e-06,18.00000,20.00000,458
1,10,2.243735e-06,26.00000,16.00000,476
1,11,2.237888e-06,25.00000,16.00000,477
1,12,2.088173e-06,26.00000,16.00000,479
1,13,1.773428e-06,23.00000,16.00000,464
1,14,2.087809e-06,27.00000,16.00000,484
1,15,2.031177e-06,17.00000,16.00000,429
1,16,1.823603e-06,24.00000,16.00000,470
1,17,1.664997e-06,24.00000,16.00000,469
1,18,1.873475e-06,23.00000,16.00000,463
1,19,1.624497e-06,25.00000,16.00000,474
1,20,1.889698e-06,18.00000,20.00000,467
1,21,2.209735e-06,24.00000,16.00000,470
1,22,2.110871e-06,22.00000,16.00000,457
1,23,1.642486e-06,22.00000,16.00000,455
1,24,1.541112e-06,17.00000,20.00000,455
1,25,1.594968e-06,14.00000,20.00000,436
1,26,1.319890e-06,23.00000,20.00000,488
1,27,1.813486e-06,8.00000,20.00000,405
1,28,1.782029e-06,16.00000,20.00000,450
1,29,1.874047e-06,25.00000,16.00000,475
1,30,1.669049e-06,17.00000,20.00000,457
1,31,2.132006e-06,21.00000,16.00000,457
1,32,1.557768e-06,23.00000,20.00000,487
1,33,1.811525e-06,22.00000,20.00000,481
1,34,1.611199e-06,19.00000,20.00000,466
1,35,1.772456e-06,24.00000,16.00000,476
1,36,1.669343e-06,25.00000,16.00000,476
1,37,1.418307e-06,16.00000,20.00000,452
1,38,1.924146e-06,21.00000,16.00000,454
1,39,2.644623e-06,34.00000,12.00000,513
1,40,1.759082e-06,23.00000,16.00000,465
1,41,1.908241e-06,21.00000,16.00000,454
1,42,1.649321e-06,20.00000,20.00000,473
1,43,1.846315e-06,27.00000,16.00000,490
1,44,1.736204e-06,16.00000,20.00000,452
1,45,1.866749e-06,21.00000,16.00000,476
1,46,1.837878e-06,21.00000,20.00000,480
1,47,2.337717e-06,35.00000,12.00000,517
1,48,2.105969e-06,24.00000,16.00000,474
1,49,2.278081e-06,35.00000,12.00000,518
1,50,1.556587e-06,20.00000,20.00000,473
1,51,1.571390e-06,15.00000,20.00000,448
1,52,1.721630e-06,19.00000,20.00000,469
1,53,1.266132e-06,17.00000,20.00000,458
1,54,2.346208e-06,20.00000,16.00000,446
1,55,1.869358e-06,13.00000,20.00000,454
1,56,1.552988e-06,19.00000,20.00000,471
1,57,1.880724e-06,22.00000,16.00000,461
1,58,1.690241e-06,27.00000,16.00000,490
1,59,1.996849e-06,21.00000,16.00000,456
1,60,2.108660e-06,33.00000,12.00000,501
1,61,2.133796e-06,34.00000,12.00000,512
1,62,1.422375e-06,19.00000,20.00000,470
1,63,1.470724e-06,16.00000,20.00000,463
1,64,2.506106e-06,33.00000,12.00000,501
1,65,1.507393e-06,13.00000,20.00000,462
1,66,1.954044e-06,24.00000,16.00000,475
1,67,1.521573e-06,19.00000,20.00000,471
1,68,1.747297e-06,24.00000,16.00000,476
1,69,1.559238e-06,19.00000,20.00000,471
1,70,1.900763e-06,27.00000,16.00000,494
1,71,1.471144e-06,22.00000,16.00000,462
1,72,2.119071e-06,21.00000,16.00000,459
1,73,1.807769e-06,23.00000,16.00000,468
1,74,1.493392e-06,22.00000,20.00000,488
1,75,1.676825e-06,16.00000,20.00000,456
1,76,1.718571e-06,27.00000,16.00000,492
1,77,2.250614e-06,20.00000,16.00000,453
1,78,1.768207e-06,21.00000,16.00000,458
1,79,1.797114e-06,23.00000,16.00000,473
1,80,1.525323e-06,16.00000,20.00000,456
1,81,1.418617e-06,21.00000,20.00000,483
1,82,1.797803e-06,21.00000,16.00000,459
1,83,1.317385e-06,19.00000,20.00000,498
1,84,1.691209e-06,15.00000,20.00000,451
1,85,1.457101e-06,19.00000,20.00000,472
1,86,1.330908e-06,15.00000,20.00000,451
1,87,2.599287e-06,33.00000,12.00000,504
1,88,1.452616e-06,18.00000,20.00000,469
1,89,1.717937e-06,19.00000,20.00000,472
1,90,2.055727e-06,23.00000,16.00000,470
1,91,1.984593e-06,29.00000,16.00000,510
1,92,1.904619e-06,19.00000,20.00000,472
1,93,1.867693e-06,22.00000,16.00000,464
1,94,1.795436e-06,25.00000,16.00000,483
1,95,2.069742e-06,25.00000,16.00000,484
1,96,1.624957e-06,16.00000,20.00000,457
1,97,2.242400e-06,25.00000,16.00000,483
1,98,2.135632e-06,24.00000,16.00000,477
1,99,2.049974e-06,21.00000,16.00000,475
1,100,1.759781e-06,21.00000,16.00000,461
1,101,1.914402e-06,20.00000,16.00000,457
1,102,2.307727e-06,36.00000,12.00000,528
1,103,1.758449e-06,18.00000,20.00000,470
1,104,1.672071e-06,16.00000,20.00000,457
