epoch,train_accuracy,val_accuracy,loss,time
1,3.43452e-01,4.91333e-01,1.31970e-02,2.34
2,4.48126e-01,4.99333e-01,1.24829e-02,2.14
3,4.84039e-01,5.23333e-01,1.22112e-02,2.52
4,5.01283e-01,5.29667e-01,1.20713e-02,2.41
5,5.22588e-01,5.59667e-01,1.19247e-02,2.36
6,5.41186e-01,5.78000e-01,1.17931e-02,2.15
7,5.51945e-01,5.81333e-01,1.17091e-02,2.13
8,5.65128e-01,5.91333e-01,1.16308e-02,2.26
9,5.74462e-01,5.86000e-01,1.15593e-02,2.18
10,5.76315e-01,5.92333e-01,1.15306e-02,2.21
11,5.79450e-01,5.97333e-01,1.15094e-02,2.27
12,5.84652e-01,5.98667e-01,1.14668e-02,2.35
13,5.87502e-01,5.94000e-01,1.14241e-02,2.05
14,5.89639e-01,6.12333e-01,1.14079e-02,3.50
15,5.95055e-01,6.01333e-01,1.13942e-02,3.19
16,5.98475e-01,6.07000e-01,1.13437e-02,2.81
17,5.99473e-01,6.13667e-01,1.13424e-02,2.31
18,5.98760e-01,6.12000e-01,1.13406e-02,2.77
19,6.04318e-01,6.12333e-01,1.13212e-02,2.35
20,6.07097e-01,6.16667e-01,1.12856e-02,2.57
21,6.08522e-01,6.10000e-01,1.12795e-02,2.96
22,6.10019e-01,6.13000e-01,1.12695e-02,2.19
23,6.09377e-01,6.19667e-01,1.12559e-02,2.15
24,6.15861e-01,6.15333e-01,1.12209e-02,2.07
25,6.08023e-01,6.11667e-01,1.12556e-02,2.12
26,6.14650e-01,6.17667e-01,1.12275e-02,2.09
27,6.19210e-01,6.21667e-01,1.12005e-02,2.30
28,6.15291e-01,6.21333e-01,1.12140e-02,2.41
29,6.16147e-01,6.25333e-01,1.12227e-02,2.25
30,6.18925e-01,6.15000e-01,1.11910e-02,2.22
31,6.16645e-01,6.18333e-01,1.11987e-02,2.34
32,6.18925e-01,6.25333e-01,1.11835e-02,2.28
33,6.15006e-01,6.16667e-01,1.12049e-02,2.09
34,6.15434e-01,6.26333e-01,1.11950e-02,2.14
35,6.15576e-01,6.23000e-01,1.11831e-02,2.28
36,6.20066e-01,6.26333e-01,1.11576e-02,2.43
37,6.20921e-01,6.29000e-01,1.11707e-02,1.98
38,6.24341e-01,6.29667e-01,1.11425e-02,2.01
39,6.26835e-01,6.28000e-01,1.11283e-02,2.10
40,6.24341e-01,6.29000e-01,1.11428e-02,2.10
41,6.25267e-01,6.26667e-01,1.11380e-02,2.13
42,6.26336e-01,6.25333e-01,1.11225e-02,2.11
43,6.22916e-01,6.19000e-01,1.11323e-02,2.44
44,6.29471e-01,6.13000e-01,1.11042e-02,2.24
45,6.29258e-01,6.36333e-01,1.11118e-02,2.17
46,6.27191e-01,6.15333e-01,1.11138e-02,2.26
47,6.29258e-01,6.33000e-01,1.11041e-02,2.07
48,6.23272e-01,6.29000e-01,1.11298e-02,2.13
49,6.33533e-01,6.20667e-01,1.10912e-02,2.31
50,6.27761e-01,6.40667e-01,1.11078e-02,2.33
51,6.30968e-01,6.32667e-01,1.10976e-02,2.28
52,6.29756e-01,6.28333e-01,1.10959e-02,2.10
53,6.31039e-01,6.29333e-01,1.10744e-02,4.46
54,6.28260e-01,6.34000e-01,1.10970e-02,3.47
55,6.29186e-01,6.31000e-01,1.10906e-02,2.26
56,6.32393e-01,6.33000e-01,1.10758e-02,2.00
57,6.31466e-01,6.31667e-01,1.10913e-02,2.11
58,6.32464e-01,6.30667e-01,1.10833e-02,2.13
59,6.26550e-01,6.26667e-01,1.10962e-02,2.52
60,6.28830e-01,6.24000e-01,1.10849e-02,2.44
61,6.31181e-01,6.32333e-01,1.10675e-02,2.31
62,6.33319e-01,6.30333e-01,1.10692e-02,2.17
63,6.30255e-01,6.27333e-01,1.10766e-02,2.21
64,6.34673e-01,6.34667e-01,1.10647e-02,2.04
65,6.33177e-01,6.36333e-01,1.10659e-02,2.14
66,6.30398e-01,6.37333e-01,1.10766e-02,2.13
67,6.33818e-01,6.34667e-01,1.10621e-02,2.13
68,6.34815e-01,6.39667e-01,1.10651e-02,2.32
69,6.32607e-01,6.37667e-01,1.10629e-02,2.31
70,6.36597e-01,6.34333e-01,1.10513e-02,2.33
71,6.36668e-01,6.26667e-01,1.10347e-02,2.42
72,6.35884e-01,6.30000e-01,1.10433e-02,2.25
73,6.34103e-01,6.35000e-01,1.10566e-02,2.41
74,6.36383e-01,6.31333e-01,1.10454e-02,2.26
75,6.34744e-01,6.39333e-01,1.10420e-02,2.31
76,6.33319e-01,6.31333e-01,1.10505e-02,2.20
77,6.35243e-01,6.34000e-01,1.10490e-02,2.11
78,6.31110e-01,6.35000e-01,1.10475e-02,2.22
79,6.38521e-01,6.36667e-01,1.10300e-02,1.99
80,6.36597e-01,6.40000e-01,1.10318e-02,2.22
81,6.35742e-01,6.29000e-01,1.10383e-02,2.19
82,6.34459e-01,6.33333e-01,1.10377e-02,2.14
83,6.36882e-01,6.41000e-01,1.10444e-02,2.16
84,6.36383e-01,6.38333e-01,1.10200e-02,2.34
85,6.35172e-01,6.40667e-01,1.10298e-02,2.12
86,6.39732e-01,6.37667e-01,1.10350e-02,2.20
87,6.37096e-01,6.39333e-01,1.10296e-02,2.79
88,6.36454e-01,6.36000e-01,1.10350e-02,2.11
89,6.39020e-01,6.39667e-01,1.10185e-02,2.32
90,6.36169e-01,6.31000e-01,1.10273e-02,2.25
91,6.38378e-01,6.39333e-01,1.10276e-02,2.08
92,6.34530e-01,6.33667e-01,1.10396e-02,2.21
93,6.34317e-01,6.26333e-01,1.10368e-02,2.10
94,6.33675e-01,6.33333e-01,1.10441e-02,2.62
95,6.39946e-01,6.40000e-01,1.10184e-02,2.25
96,6.35100e-01,6.40000e-01,1.10255e-02,1.97
97,6.40231e-01,6.40667e-01,1.10038e-02,2.48
98,6.35528e-01,6.36667e-01,1.10357e-02,2.24
99,6.35172e-01,6.33333e-01,1.10392e-02,2.54
100,6.39233e-01,6.32000e-01,1.10076e-02,2.18
101,6.39376e-01,6.32000e-01,1.10126e-02,2.15
102,6.35029e-01,6.33667e-01,1.10372e-02,2.07
103,6.37096e-01,6.31667e-01,1.10311e-02,2.76
104,6.38806e-01,6.38000e-01,1.10220e-02,2.37
105,6.34815e-01,6.41667e-01,1.10287e-02,2.28
106,6.38236e-01,6.33667e-01,1.10127e-02,2.28
107,6.42796e-01,6.36333e-01,1.10021e-02,2.29
108,6.40017e-01,6.44000e-01,1.10003e-02,2.14
109,6.42369e-01,6.34333e-01,1.09974e-02,2.19
110,6.43936e-01,6.39000e-01,1.09857e-02,2.18
111,6.38806e-01,6.38667e-01,1.10135e-02,2.37
112,6.34887e-01,6.35000e-01,1.10212e-02,2.11
113,6.38806e-01,6.43667e-01,1.10154e-02,2.26
114,6.37096e-01,6.44333e-01,1.10209e-02,2.17
115,6.40587e-01,6.39667e-01,1.10195e-02,2.04
116,6.37808e-01,6.36667e-01,1.10166e-02,2.39
117,6.39091e-01,6.40333e-01,1.10142e-02,2.16
118,6.40445e-01,6.36333e-01,1.10210e-02,2.33
119,6.39091e-01,6.45000e-01,1.10023e-02,2.37
120,6.39590e-01,6.35667e-01,1.10007e-02,2.10
121,6.40587e-01,6.38000e-01,1.10067e-02,1.97
122,6.33675e-01,6.38667e-01,1.10187e-02,2.11
123,6.41442e-01,6.36667e-01,1.09995e-02,2.08
124,6.40373e-01,6.41333e-01,1.09994e-02,2.12
125,6.42939e-01,6.38333e-01,1.09840e-02,2.18
126,6.40943e-01,6.48333e-01,1.09956e-02,2.07
127,6.39162e-01,6.37667e-01,1.10108e-02,2.21
128,6.32892e-01,6.37667e-01,1.10238e-02,2.01
129,6.39590e-01,6.38333e-01,1.10066e-02,2.08
130,6.38877e-01,6.37000e-01,1.10201e-02,2.07
131,6.36953e-01,6.39000e-01,1.10137e-02,2.19
132,6.39946e-01,6.37333e-01,1.09928e-02,2.22
133,6.35528e-01,6.41333e-01,1.09984e-02,2.18
134,6.42511e-01,6.40000e-01,1.09748e-02,2.10
135,6.42511e-01,6.38000e-01,1.09737e-02,2.16
136,6.38236e-01,6.41667e-01,1.10058e-02,2.10
137,6.41656e-01,6.41000e-01,1.10004e-02,2.16
138,6.45504e-01,6.37333e-01,1.09712e-02,2.28
139,6.40801e-01,6.39667e-01,1.09820e-02,2.36
