epoch,loss
1,1.890879e-06
2,2.026919e-06
3,2.465495e-06
4,3.358114e-06
5,4.243385e-06
6,4.637474e-06
7,4.071277e-06
8,3.039913e-06
9,2.158469e-06
10,1.607423e-06
11,1.290830e-06
12,1.079884e-06
13,9.591442e-07
14,8.688302e-07
15,8.306133e-07
16,7.806428e-07
17,7.745540e-07
18,7.587355e-07
19,7.522784e-07
20,7.602102e-07
21,7.737011e-07
22,8.043646e-07
23,7.971265e-07
24,8.128234e-07
25,8.225582e-07
26,8.315540e-07
27,8.778152e-07
28,9.042355e-07
29,9.516488e-07
30,9.568783e-07
31,9.751433e-07
32,9.691099e-07
33,1.007241e-06
34,1.030944e-06
35,1.111596e-06
36,1.134892e-06
37,1.144514e-06
38,1.177208e-06
39,1.208900e-06
40,1.239121e-06
41,1.274317e-06
42,1.273789e-06
43,1.275751e-06
44,1.303135e-06
45,1.326449e-06
46,1.289166e-06
47,1.315278e-06
48,1.334860e-06
49,1.303923e-06
50,1.315280e-06
51,1.335169e-06
52,1.300160e-06
53,1.309253e-06
54,1.319611e-06
55,1.371508e-06
56,1.354282e-06
57,1.393682e-06
58,1.435637e-06
59,1.432666e-06
60,1.424802e-06
61,1.395385e-06
62,1.421011e-06
63,1.431502e-06
64,1.405842e-06
65,1.434902e-06
66,1.425012e-06
67,1.424806e-06
68,1.454267e-06
69,1.454184e-06
70,1.420272e-06
71,1.454247e-06
72,1.432460e-06
73,1.454170e-06
74,1.462486e-06
75,1.453226e-06
76,1.440359e-06
77,1.440422e-06
78,1.461808e-06
79,1.518146e-06
80,1.473610e-06
81,1.467162e-06
82,1.481195e-06
83,1.456922e-06
84,1.443231e-06
85,1.470806e-06
86,1.470916e-06
87,1.496220e-06
88,1.510550e-06
89,1.534972e-06
90,1.551579e-06
91,1.570819e-06
92,1.550923e-06
93,1.510131e-06
94,1.548336e-06
95,1.525504e-06
96,1.564658e-06
97,1.556038e-06
98,1.565302e-06
99,1.609839e-06
100,1.646163e-06
101,1.628977e-06
102,1.621934e-06
103,1.598065e-06
104,1.608183e-06
105,1.620019e-06
106,1.648777e-06
107,1.652097e-06
108,1.702643e-06
109,1.700870e-06
110,1.646985e-06
111,1.661809e-06
112,1.640029e-06
113,1.638380e-06
114,1.658665e-06
115,1.658572e-06
116,1.676484e-06
117,1.713377e-06
118,1.667424e-06
119,1.682634e-06
120,1.695076e-06
121,1.692156e-06
122,1.653020e-06
123,1.649784e-06
124,1.610594e-06
125,1.666154e-06
126,1.663025e-06
127,1.656201e-06
128,1.664106e-06
129,1.638860e-06
130,1.682445e-06
131,1.658660e-06
132,1.701070e-06
133,1.671221e-06
134,1.655887e-06
135,1.624237e-06
136,1.590975e-06
137,1.575458e-06
138,1.610270e-06
139,1.594395e-06
140,1.550364e-06
141,1.594034e-06
142,1.581285e-06
143,1.637894e-06
144,1.625953e-06
145,1.694999e-06
146,1.701967e-06
147,1.675904e-06
148,1.651340e-06
149,1.653442e-06
150,1.612488e-06
151,1.647887e-06
152,1.628447e-06
153,1.631756e-06
154,1.683409e-06
155,1.616605e-06
156,1.632403e-06
157,1.618910e-06
158,1.640804e-06
159,1.639365e-06
160,1.651620e-06
161,1.625956e-06
162,1.687480e-06
163,1.654333e-06
164,1.622592e-06
165,1.680651e-06
166,1.660191e-06
167,1.631695e-06
168,1.610451e-06
169,1.650521e-06
170,1.625728e-06
171,1.592754e-06
172,1.586482e-06
173,1.575266e-06
174,1.541131e-06
175,1.564356e-06
176,1.552257e-06
177,1.583361e-06
178,1.583160e-06
179,1.558406e-06
180,1.580477e-06
181,1.580900e-06
182,1.549378e-06
183,1.551661e-06
184,1.543620e-06
185,1.558046e-06
186,1.582561e-06
187,1.598344e-06
188,1.576412e-06
189,1.604145e-06
190,1.597568e-06
191,1.601097e-06
192,1.627084e-06
193,1.599024e-06
194,1.563730e-06
195,1.610160e-06
196,1.636708e-06
197,1.638186e-06
198,1.630421e-06
199,1.643926e-06
200,1.653108e-06
201,1.608719e-06
202,1.660185e-06
203,1.602575e-06
204,1.609221e-06
205,1.590850e-06
206,1.613345e-06
207,1.550884e-06
208,1.532953e-06
209,1.570456e-06
210,1.535463e-06
211,1.503894e-06
212,1.511855e-06
213,1.507396e-06
214,1.511580e-06
215,1.521637e-06
216,1.534045e-06
217,1.523315e-06
218,1.491156e-06
219,1.529020e-06
220,1.485798e-06
221,1.463357e-06
222,1.482312e-06
223,1.439981e-06
224,1.455300e-06
