epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.205028e-06,23.00000,16.00000,999
1,1,2.179712e-06,36.00000,12.00000,529
1,2,1.945436e-06,23.00000,16.00000,443
1,3,1.723729e-06,19.00000,20.00000,446
1,4,1.530023e-06,20.00000,16.00000,424
1,5,2.136565e-06,21.00000,20.00000,472
1,6,1.817459e-06,19.00000,20.00000,446
1,7,1.664425e-06,18.00000,20.00000,438
1,8,1.783539e-06,17.00000,20.00000,450
1,9,1.965909e-06,25.00000,16.00000,454
1,10,1.665740e-06,26.00000,16.00000,456
1,11,2.168667e-06,25.00000,16.00000,452
1,12,1.867425e-06,21.00000,16.00000,432
1,13,1.839596e-06,21.00000,16.00000,433
1,14,1.521588e-06,27.00000,16.00000,459
1,15,1.746209e-06,21.00000,16.00000,431
1,16,1.760646e-06,18.00000,20.00000,455
1,17,1.595743e-06,26.00000,16.00000,456
1,18,1.718572e-06,18.00000,16.00000,416
1,19,1.754706e-06,21.00000,16.00000,432
1,20,2.315441e-06,25.00000,16.00000,452
1,21,1.967248e-06,25.00000,16.00000,454
1,22,1.922966e-06,22.00000,16.00000,437
1,23,2.387590e-06,24.00000,16.00000,450
1,24,1.444870e-06,20.00000,20.00000,449
1,25,1.728733e-06,14.00000,20.00000,419
1,26,1.522616e-06,19.00000,20.00000,445
1,27,1.482290e-06,20.00000,20.00000,451
1,28,1.631987e-06,16.00000,20.00000,431
1,29,1.689185e-06,24.00000,16.00000,450
1,30,1.461472e-06,13.00000,20.00000,430
1,31,1.663976e-06,21.00000,16.00000,434
1,32,1.770855e-06,23.00000,20.00000,467
1,33,1.470100e-06,17.00000,20.00000,439
1,34,1.577265e-06,17.00000,20.00000,438
1,35,1.830209e-06,26.00000,16.00000,460
1,36,1.694167e-06,25.00000,16.00000,457
1,37,1.741085e-06,12.00000,20.00000,422
1,38,2.154024e-06,20.00000,16.00000,429
1,39,2.240662e-06,33.00000,12.00000,476
1,40,1.637884e-06,27.00000,16.00000,467
1,41,1.772860e-06,25.00000,16.00000,455
1,42,1.572937e-06,17.00000,20.00000,438
1,43,2.297006e-06,26.00000,16.00000,460
1,44,1.698082e-06,17.00000,20.00000,438
1,45,1.778088e-06,24.00000,16.00000,452
1,46,1.470798e-06,14.00000,20.00000,445
1,47,2.842747e-06,33.00000,12.00000,484
1,48,1.941259e-06,20.00000,16.00000,428
1,49,2.211641e-06,34.00000,12.00000,479
1,50,1.858279e-06,18.00000,20.00000,437
1,51,1.817874e-06,15.00000,20.00000,427
1,52,1.821899e-06,20.00000,20.00000,453
1,53,1.744502e-06,14.00000,20.00000,422
1,54,2.027889e-06,23.00000,16.00000,446
1,55,1.798516e-06,18.00000,20.00000,443
1,56,1.306771e-06,20.00000,20.00000,453
1,57,1.734524e-06,21.00000,16.00000,436
1,58,2.138171e-06,25.00000,16.00000,456
1,59,2.659558e-06,21.00000,16.00000,439
1,60,2.039451e-06,33.00000,12.00000,481
1,61,2.297961e-06,33.00000,12.00000,479
1,62,1.413546e-06,13.00000,20.00000,418
1,63,1.751259e-06,17.00000,20.00000,439
1,64,2.165144e-06,33.00000,12.00000,479
1,65,1.662267e-06,17.00000,20.00000,441
1,66,2.108619e-06,21.00000,16.00000,440
1,67,1.394741e-06,18.00000,20.00000,445
1,68,1.958833e-06,24.00000,16.00000,453
1,69,1.766494e-06,12.00000,20.00000,414
1,70,1.882960e-06,20.00000,16.00000,462
1,71,2.179284e-06,21.00000,16.00000,438
1,72,1.827965e-06,21.00000,16.00000,437
1,73,1.898609e-06,27.00000,16.00000,471
1,74,1.647511e-06,14.00000,20.00000,425
1,75,1.736296e-06,16.00000,20.00000,432
1,76,1.945116e-06,21.00000,16.00000,477
1,77,1.931734e-06,26.00000,16.00000,462
1,78,1.704878e-06,21.00000,16.00000,438
1,79,1.985540e-06,21.00000,16.00000,438
1,80,1.565400e-06,20.00000,20.00000,457
1,81,1.699003e-06,8.00000,20.00000,395
1,82,2.488755e-06,26.00000,16.00000,463
1,83,1.769029e-06,16.00000,20.00000,432
1,84,1.537644e-06,19.00000,20.00000,451
1,85,1.740762e-06,18.00000,20.00000,447
1,86,1.563529e-06,19.00000,20.00000,451
1,87,3.106710e-06,34.00000,12.00000,482
1,88,1.441001e-06,18.00000,20.00000,447
1,89,1.830139e-06,16.00000,20.00000,434
1,90,1.966355e-06,23.00000,16.00000,455
1,91,2.264670e-06,23.00000,16.00000,447
1,92,1.635967e-06,17.00000,20.00000,444
1,93,2.235752e-06,26.00000,16.00000,465
1,94,2.296715e-06,26.00000,16.00000,465
1,95,2.427264e-06,29.00000,16.00000,482
1,96,1.824685e-06,18.00000,20.00000,448
1,97,2.212959e-06,24.00000,16.00000,456
1,98,2.170814e-06,24.00000,16.00000,456
1,99,2.021309e-06,20.00000,16.00000,432
1,100,2.159375e-06,27.00000,16.00000,473
1,101,1.875718e-06,26.00000,16.00000,465
1,102,3.210141e-06,35.00000,12.00000,491
1,103,1.777027e-06,19.00000,20.00000,452
1,104,1.809359e-06,18.00000,20.00000,447
1,105,2.327168e-06,26.00000,16.00000,464
1,106,2.093864e-06,22.00000,16.00000,446
1,107,1.761410e-06,19.00000,20.00000,452
1,108,1.707422e-06,20.00000,20.00000,457
1,109,2.121862e-06,26.00000,16.00000,466
1,110,1.700877e-06,18.00000,20.00000,456
1,111,1.907410e-06,17.00000,20.00000,444
1,112,2.332286e-06,36.00000,12.00000,499
1,113,1.791731e-06,25.00000,16.00000,462
1,114,1.779617e-06,13.00000,20.00000,421
1,115,1.471264e-06,27.00000,16.00000,474
2,0,2.378985e-06,21.00000,16.00000,477
2,1,2.258106e-06,24.00000,16.00000,473
2,2,2.489745e-06,24.00000,16.00000,452
2,3,1.947552e-06,27.00000,16.00000,468
2,4,1.863296e-06,21.00000,16.00000,437
2,5,2.024286e-06,26.00000,16.00000,463
2,6,2.493063e-06,33.00000,12.00000,479
2,7,2.427489e-06,34.00000,12.00000,482
2,8,1.815130e-06,25.00000,16.00000,459
2,9,1.805287e-06,16.00000,20.00000,453
2,10,1.747057e-06,26.00000,16.00000,462
2,11,1.930526e-06,23.00000,16.00000,446
2,12,2.080478e-06,26.00000,16.00000,473
2,13,1.821108e-06,36.00000,12.00000,495
2,14,1.334342e-06,19.00000,20.00000,451
2,15,1.849602e-06,27.00000,16.00000,471
2,16,1.919993e-06,19.00000,20.00000,451
2,17,1.880178e-06,14.00000,20.00000,454
2,18,1.804928e-06,12.00000,20.00000,442
2,19,1.936396e-06,27.00000,16.00000,471
2,20,2.011221e-06,26.00000,16.00000,462
2,21,1.367681e-06,16.00000,20.00000,436
2,22,2.061157e-06,14.00000,20.00000,424
2,23,1.482959e-06,21.00000,20.00000,472
2,24,1.961358e-06,26.00000,16.00000,464
2,25,1.839336e-06,16.00000,20.00000,434
2,26,1.904715e-06,20.00000,20.00000,458
2,27,1.587360e-06,19.00000,20.00000,452
2,28,1.615822e-06,13.00000,20.00000,421
2,29,2.091421e-06,21.00000,16.00000,440
2,30,2.105527e-06,23.00000,16.00000,448
2,31,1.851777e-06,16.00000,20.00000,435
2,32,2.082879e-06,22.00000,16.00000,444
2,33,1.783235e-06,20.00000,20.00000,457
2,34,1.659926e-06,18.00000,20.00000,448
2,35,2.977934e-06,33.00000,12.00000,491
2,36,1.608119e-06,14.00000,20.00000,427
2,37,1.522727e-06,16.00000,20.00000,435
2,38,1.920973e-06,11.00000,20.00000,411
2,39,1.581707e-06,19.00000,20.00000,452
2,40,2.110105e-06,25.00000,16.00000,463
2,41,1.876126e-06,21.00000,16.00000,441
2,42,1.861473e-06,18.00000,20.00000,448
2,43,1.639957e-06,19.00000,20.00000,453
2,44,2.097667e-06,25.00000,16.00000,461
2,45,1.536527e-06,17.00000,20.00000,444
2,46,1.968178e-06,21.00000,16.00000,439
2,47,2.429405e-06,26.00000,16.00000,467
2,48,1.948087e-06,24.00000,16.00000,456
2,49,1.909930e-06,25.00000,16.00000,463
2,50,2.108250e-06,25.00000,16.00000,461
2,51,1.727598e-06,19.00000,20.00000,454
2,52,2.566367e-06,34.00000,12.00000,492
2,53,2.103872e-06,25.00000,16.00000,462
2,54,2.024513e-06,26.00000,16.00000,469
2,55,2.007994e-06,26.00000,16.00000,465
2,56,1.817535e-06,29.00000,16.00000,485
2,57,1.869046e-06,18.00000,20.00000,448
2,58,1.691885e-06,18.00000,20.00000,449
2,59,1.977849e-06,23.00000,16.00000,452
2,60,2.110176e-06,27.00000,16.00000,473
2,61,1.728522e-06,20.00000,20.00000,459
2,62,2.142558e-06,25.00000,16.00000,463
2,63,1.921592e-06,28.00000,16.00000,483
2,64,2.806635e-06,33.00000,12.00000,485
2,65,2.347445e-06,20.00000,16.00000,445
2,66,2.230210e-06,24.00000,16.00000,460
2,67,1.582942e-06,16.00000,20.00000,437
2,68,2.122360e-06,25.00000,16.00000,464
2,69,2.052054e-06,21.00000,16.00000,443
2,70,1.644707e-06,20.00000,20.00000,462
2,71,2.195875e-06,29.00000,16.00000,484
2,72,2.911597e-06,37.00000,12.00000,518
2,73,1.931063e-06,23.00000,16.00000,452
2,74,1.754791e-06,17.00000,20.00000,452
2,75,2.108744e-06,17.00000,20.00000,446
2,76,1.943125e-06,14.00000,20.00000,428
2,77,1.769169e-06,13.00000,20.00000,427
2,78,2.022580e-06,20.00000,20.00000,460
2,79,2.266776e-06,29.00000,16.00000,486
2,80,2.107811e-06,23.00000,16.00000,452
2,81,2.175222e-06,25.00000,16.00000,466
2,82,2.305799e-06,22.00000,16.00000,449
2,83,1.868508e-06,22.00000,20.00000,470
2,84,1.777066e-06,22.00000,20.00000,469
2,85,2.330313e-06,25.00000,16.00000,465
2,86,2.218511e-06,23.00000,16.00000,455
2,87,2.726467e-06,37.00000,12.00000,518
2,88,2.451704e-06,21.00000,16.00000,460
2,89,1.972897e-06,14.00000,20.00000,429
2,90,2.292272e-06,27.00000,16.00000,477
2,91,1.569497e-06,20.00000,20.00000,461
2,92,2.151609e-06,25.00000,16.00000,466
2,93,1.787196e-06,19.00000,20.00000,457
2,94,2.735527e-06,23.00000,16.00000,453
2,95,2.343496e-06,33.00000,12.00000,488
2,96,1.548364e-06,19.00000,20.00000,457
2,97,2.218661e-06,21.00000,20.00000,467
2,98,2.679173e-06,25.00000,16.00000,467
2,99,2.261914e-06,23.00000,16.00000,455
2,100,2.030254e-06,26.00000,16.00000,472
2,101,2.338146e-06,23.00000,16.00000,455
2,102,1.898858e-06,24.00000,16.00000,462
2,103,2.481999e-06,17.00000,16.00000,423
2,104,2.040312e-06,21.00000,16.00000,459
2,105,2.011775e-06,21.00000,20.00000,467
2,106,1.916515e-06,15.00000,20.00000,441
2,107,1.916811e-06,15.00000,20.00000,435
2,108,2.414499e-06,20.00000,16.00000,461
2,109,1.683243e-06,19.00000,20.00000,459
2,110,2.169549e-06,28.00000,16.00000,483
2,111,2.040551e-06,15.00000,20.00000,435
2,112,2.055775e-06,23.00000,16.00000,455
2,113,1.961937e-06,18.00000,20.00000,452
2,114,1.953330e-06,17.00000,16.00000,424
2,115,2.996409e-06,36.00000,12.00000,506
3,0,2.015496e-06,18.00000,20.00000,472
3,1,2.099137e-06,25.00000,16.00000,458
3,2,2.398837e-06,16.00000,20.00000,442
3,3,2.015327e-06,21.00000,20.00000,462
3,4,2.188156e-06,20.00000,16.00000,431
3,5,1.878150e-06,18.00000,20.00000,445
3,6,2.071224e-06,19.00000,20.00000,448
3,7,2.413898e-06,17.00000,16.00000,415
3,8,2.412846e-06,23.00000,16.00000,446
3,9,2.712843e-06,25.00000,16.00000,457
3,10,2.393071e-06,25.00000,16.00000,464
3,11,2.468436e-06,20.00000,20.00000,455
