pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
10,1,2.66923e-01,3.77333e-01,1.37177e-02,1.58
10,2,3.66396e-01,3.97333e-01,1.30388e-02,1.54
10,3,3.80433e-01,4.01667e-01,1.29153e-02,1.55
10,4,3.92475e-01,4.18000e-01,1.28255e-02,1.55
10,5,4.00812e-01,4.29000e-01,1.27567e-02,1.54
10,6,4.08935e-01,4.36333e-01,1.27104e-02,1.58
10,7,4.16702e-01,4.38667e-01,1.26591e-02,1.55
10,8,4.19267e-01,4.45333e-01,1.26363e-02,1.55
10,9,4.24540e-01,4.44000e-01,1.25964e-02,1.54
10,10,4.25894e-01,4.39667e-01,1.25743e-02,1.55
10,11,4.30241e-01,4.50333e-01,1.25460e-02,1.54
10,12,4.37438e-01,4.47333e-01,1.25076e-02,1.55
10,13,4.38506e-01,4.58667e-01,1.24967e-02,1.55
10,14,4.37224e-01,4.55667e-01,1.25088e-02,1.55
10,15,4.43067e-01,4.63667e-01,1.24701e-02,1.55
10,16,4.44634e-01,4.61000e-01,1.24487e-02,1.55
10,17,4.48126e-01,4.51333e-01,1.24330e-02,1.55
10,18,4.41570e-01,4.67667e-01,1.24590e-02,1.55
10,19,4.50905e-01,4.60667e-01,1.24138e-02,1.56
10,20,4.53898e-01,4.61667e-01,1.24082e-02,1.54
10,21,4.55109e-01,4.65000e-01,1.23839e-02,1.56
10,22,4.55537e-01,4.68667e-01,1.23716e-02,1.55
10,23,4.56819e-01,4.71667e-01,1.23717e-02,1.55
10,24,4.54111e-01,4.76667e-01,1.23988e-02,1.55
10,25,4.60596e-01,4.70000e-01,1.23521e-02,1.55
10,26,4.61237e-01,4.76000e-01,1.23332e-02,1.55
10,27,4.60239e-01,4.73667e-01,1.23343e-02,1.55
10,28,4.62733e-01,4.71333e-01,1.23300e-02,1.56
10,29,4.61807e-01,4.74667e-01,1.23196e-02,1.55
10,30,4.64301e-01,4.77333e-01,1.23151e-02,1.54
10,31,4.64942e-01,4.74667e-01,1.23123e-02,1.54
10,32,4.66296e-01,4.83667e-01,1.23024e-02,1.55
10,33,4.65156e-01,4.69000e-01,1.23125e-02,1.55
10,34,4.62520e-01,4.65333e-01,1.23162e-02,1.55
10,35,4.64729e-01,4.87333e-01,1.22948e-02,1.55
10,36,4.63303e-01,4.79333e-01,1.23075e-02,1.55
10,37,4.64372e-01,4.78333e-01,1.22958e-02,1.55
10,38,4.67009e-01,4.78667e-01,1.22958e-02,1.54
10,39,4.64515e-01,4.86000e-01,1.23028e-02,1.55
10,40,4.70643e-01,4.81000e-01,1.22701e-02,1.55
10,41,4.72210e-01,4.84667e-01,1.22744e-02,1.55
10,42,4.68078e-01,4.86333e-01,1.22840e-02,1.55
