epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.041749e-06,16.00000,20.00000,1104
1,1,1.925478e-06,26.00000,16.00000,610
1,2,2.067811e-06,23.00000,16.00000,523
1,3,1.944722e-06,19.00000,20.00000,533
1,4,1.504115e-06,9.00000,20.00000,484
1,5,2.212019e-06,23.00000,16.00000,528
1,6,2.116015e-06,36.00000,12.00000,567
1,7,1.953747e-06,23.00000,16.00000,517
1,8,1.898222e-06,17.00000,20.00000,540
1,9,2.360849e-06,18.00000,20.00000,561
1,10,1.949485e-06,26.00000,16.00000,537
1,11,2.705322e-06,25.00000,16.00000,524
1,12,2.155015e-06,21.00000,16.00000,514
1,13,2.030065e-06,21.00000,16.00000,516
1,14,1.793433e-06,27.00000,16.00000,541
1,15,1.850716e-06,21.00000,16.00000,504
1,16,1.900211e-06,25.00000,16.00000,542
1,17,1.696739e-06,26.00000,16.00000,533
1,18,1.747396e-06,18.00000,16.00000,527
1,19,1.898479e-06,21.00000,16.00000,516
1,20,2.124870e-06,16.00000,20.00000,538
1,21,2.092437e-06,25.00000,16.00000,519
1,22,2.018231e-06,22.00000,16.00000,521
1,23,2.317366e-06,24.00000,16.00000,526
1,24,1.514365e-06,20.00000,20.00000,538
1,25,1.736108e-06,14.00000,20.00000,509
1,26,1.502287e-06,19.00000,20.00000,532
1,27,1.454918e-06,20.00000,20.00000,538
1,28,1.608736e-06,16.00000,20.00000,517
1,29,1.807901e-06,24.00000,16.00000,522
1,30,1.511434e-06,13.00000,20.00000,518
1,31,1.722081e-06,21.00000,16.00000,515
1,32,1.781620e-06,23.00000,20.00000,642
1,33,1.554842e-06,17.00000,20.00000,526
1,34,1.656138e-06,17.00000,20.00000,525
1,35,1.864472e-06,26.00000,16.00000,534
1,36,1.733151e-06,25.00000,16.00000,537
1,37,1.812933e-06,12.00000,20.00000,512
1,38,2.228000e-06,20.00000,16.00000,504
1,39,2.476860e-06,33.00000,12.00000,538
1,40,1.714899e-06,27.00000,16.00000,546
1,41,1.863827e-06,25.00000,16.00000,537
1,42,1.676608e-06,17.00000,20.00000,526
1,43,2.506042e-06,26.00000,16.00000,543
1,44,1.908376e-06,17.00000,20.00000,528
1,45,2.010401e-06,24.00000,16.00000,531
1,46,1.669775e-06,14.00000,20.00000,525
1,47,2.611349e-06,33.00000,12.00000,564
1,48,2.035303e-06,20.00000,16.00000,499
1,49,2.479573e-06,34.00000,12.00000,551
1,50,1.813728e-06,18.00000,20.00000,530
1,51,1.776650e-06,15.00000,20.00000,514
1,52,1.814750e-06,20.00000,20.00000,543
1,53,1.779209e-06,14.00000,20.00000,508
1,54,2.175439e-06,23.00000,16.00000,516
1,55,1.832611e-06,18.00000,20.00000,534
1,56,1.366332e-06,20.00000,20.00000,542
1,57,1.796995e-06,21.00000,16.00000,518
1,58,2.201124e-06,25.00000,16.00000,538
1,59,2.799367e-06,21.00000,16.00000,511
1,60,2.190944e-06,33.00000,12.00000,559
1,61,2.319441e-06,33.00000,12.00000,554
1,62,1.484023e-06,13.00000,20.00000,508
1,63,1.866998e-06,17.00000,20.00000,530
1,64,2.256972e-06,33.00000,12.00000,553
1,65,1.755800e-06,17.00000,20.00000,529
1,66,2.131578e-06,21.00000,16.00000,515
1,67,1.486623e-06,18.00000,20.00000,540
1,68,2.125393e-06,24.00000,16.00000,532
1,69,1.866136e-06,12.00000,20.00000,504
1,70,1.970952e-06,20.00000,16.00000,531
1,71,2.271750e-06,21.00000,16.00000,520
1,72,1.917244e-06,21.00000,16.00000,518
1,73,1.992082e-06,27.00000,16.00000,539
1,74,1.730220e-06,14.00000,20.00000,565
1,75,1.832288e-06,16.00000,20.00000,523
1,76,1.931768e-06,21.00000,16.00000,558
1,77,2.115201e-06,26.00000,16.00000,529
1,78,1.751700e-06,21.00000,16.00000,525
1,79,2.028153e-06,21.00000,16.00000,517
1,80,1.609514e-06,20.00000,20.00000,535
1,81,1.771701e-06,8.00000,20.00000,484
1,82,2.521037e-06,26.00000,16.00000,547
1,83,1.854552e-06,16.00000,20.00000,522
1,84,1.614550e-06,19.00000,20.00000,527
1,85,1.771413e-06,18.00000,20.00000,536
1,86,1.584516e-06,19.00000,20.00000,528
1,87,3.537701e-06,34.00000,12.00000,561
1,88,1.518169e-06,18.00000,20.00000,524
1,89,1.937114e-06,16.00000,20.00000,522
1,90,2.106088e-06,23.00000,16.00000,530
1,91,2.454738e-06,23.00000,16.00000,530
1,92,1.758483e-06,17.00000,20.00000,532
1,93,2.427389e-06,26.00000,16.00000,535
1,94,2.526835e-06,26.00000,16.00000,548
1,95,2.683085e-06,29.00000,16.00000,553
1,96,2.021659e-06,18.00000,20.00000,522
