pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.48411e-01,5.67000e-01,1.24240e-02,1.69
100,2,5.61066e-01,5.78000e-01,1.15798e-02,1.55
100,3,5.80091e-01,5.86000e-01,1.14449e-02,1.55
100,4,5.89639e-01,5.93000e-01,1.13831e-02,1.55
100,5,5.93986e-01,5.94333e-01,1.13451e-02,1.54
100,6,5.95411e-01,5.86000e-01,1.13119e-02,1.54
100,7,6.05316e-01,5.99000e-01,1.12596e-02,1.58
100,8,6.05886e-01,5.93667e-01,1.12447e-02,1.55
100,9,6.09092e-01,6.03000e-01,1.12345e-02,1.54
100,10,6.08166e-01,6.06333e-01,1.12146e-02,1.56
100,11,6.12940e-01,6.05667e-01,1.11871e-02,1.55
100,12,6.15861e-01,6.11667e-01,1.11734e-02,1.55
100,13,6.18569e-01,6.11667e-01,1.11522e-02,1.55
100,14,6.15149e-01,6.08333e-01,1.11605e-02,1.55
100,15,6.18854e-01,6.12333e-01,1.11401e-02,1.55
100,16,6.19353e-01,6.08333e-01,1.11385e-02,1.54
100,17,6.20921e-01,6.17000e-01,1.11283e-02,1.54
100,18,6.25267e-01,6.17667e-01,1.11024e-02,1.55
100,19,6.21989e-01,6.16667e-01,1.11137e-02,1.54
100,20,6.22845e-01,6.20000e-01,1.11033e-02,1.54
100,21,6.25196e-01,6.21333e-01,1.10942e-02,1.55
100,22,6.26407e-01,6.17333e-01,1.10865e-02,1.56
100,23,6.27761e-01,6.16333e-01,1.10770e-02,1.55
100,24,6.26977e-01,6.13000e-01,1.10792e-02,1.54
100,25,6.30469e-01,6.22333e-01,1.10610e-02,1.55
100,26,6.28545e-01,6.26000e-01,1.10683e-02,1.56
100,27,6.30469e-01,6.24667e-01,1.10636e-02,1.54
100,28,6.34673e-01,6.20333e-01,1.10438e-02,1.55
100,29,6.31181e-01,6.24000e-01,1.10453e-02,1.54
100,30,6.31680e-01,6.22000e-01,1.10559e-02,1.54
100,31,6.28687e-01,6.25333e-01,1.10565e-02,1.54
100,32,6.33034e-01,6.23000e-01,1.10306e-02,1.54
100,33,6.32179e-01,6.29333e-01,1.10401e-02,1.54
100,34,6.31751e-01,6.27667e-01,1.10501e-02,1.54
100,35,6.31538e-01,6.20000e-01,1.10469e-02,1.54
100,36,6.34887e-01,6.23667e-01,1.10366e-02,1.54
100,37,6.33248e-01,6.27333e-01,1.10394e-02,1.55
100,38,6.30255e-01,6.28667e-01,1.10453e-02,1.55
100,39,6.35243e-01,6.20333e-01,1.10179e-02,1.54
100,40,6.33319e-01,6.24000e-01,1.10258e-02,1.56
100,41,6.34602e-01,6.23333e-01,1.10284e-02,1.55
100,42,6.34032e-01,6.23333e-01,1.10216e-02,1.54
100,43,6.35599e-01,6.26667e-01,1.10092e-02,1.54
100,44,6.98803e-01,7.22333e-01,1.05274e-02,1.55
100,45,7.30227e-01,7.24333e-01,1.03009e-02,1.54
100,46,7.28801e-01,7.30333e-01,1.03115e-02,1.54
100,47,7.28303e-01,7.32667e-01,1.02949e-02,1.54
100,48,7.30227e-01,7.30333e-01,1.02841e-02,1.55
100,49,7.35214e-01,7.30000e-01,1.02578e-02,1.54
100,50,7.32222e-01,7.27333e-01,1.02693e-02,1.54
100,51,7.32150e-01,7.28333e-01,1.02667e-02,1.58
100,52,7.34288e-01,7.20333e-01,1.02548e-02,1.55
100,53,7.34003e-01,7.23667e-01,1.02570e-02,1.56
100,54,7.36426e-01,7.26333e-01,1.02458e-02,1.54
100,55,7.41057e-01,7.33667e-01,1.02237e-02,1.54
100,56,7.36853e-01,7.36333e-01,1.02376e-02,1.54
100,57,7.36497e-01,7.34667e-01,1.02368e-02,1.54
100,58,7.36711e-01,7.32667e-01,1.02386e-02,1.54
100,59,7.40772e-01,7.34000e-01,1.02125e-02,1.54
100,60,7.35500e-01,7.32667e-01,1.02380e-02,1.54
100,61,7.37851e-01,7.36333e-01,1.02186e-02,1.55
100,62,7.38920e-01,7.33667e-01,1.02168e-02,1.55
100,63,7.36355e-01,7.36667e-01,1.02346e-02,1.54
100,64,7.39846e-01,7.34667e-01,1.02223e-02,1.54
100,65,7.42269e-01,7.28333e-01,1.01990e-02,1.54
100,66,7.39490e-01,7.27667e-01,1.02253e-02,1.54
100,67,7.39276e-01,7.38667e-01,1.02173e-02,1.55
100,68,7.40487e-01,7.34333e-01,1.02089e-02,1.54
100,69,7.38635e-01,7.41333e-01,1.02138e-02,1.55
100,70,7.44121e-01,7.38667e-01,1.01986e-02,1.54
100,71,7.39134e-01,7.26333e-01,1.02088e-02,1.54
100,72,7.39989e-01,7.38333e-01,1.02071e-02,1.54
100,73,7.42340e-01,7.32667e-01,1.01917e-02,1.54
100,74,7.38635e-01,7.34667e-01,1.02136e-02,1.55
100,75,7.41770e-01,7.36333e-01,1.01933e-02,1.54
100,76,7.42340e-01,7.34667e-01,1.01919e-02,1.54
100,77,7.42483e-01,7.33333e-01,1.01882e-02,1.53
100,78,7.40274e-01,7.36000e-01,1.01983e-02,1.54
100,79,7.41271e-01,7.39667e-01,1.02003e-02,1.55
100,80,7.43765e-01,7.41333e-01,1.01829e-02,1.55
100,81,7.41841e-01,7.36667e-01,1.01951e-02,1.54
100,82,7.40844e-01,7.38000e-01,1.02063e-02,1.54
100,83,7.43836e-01,7.32667e-01,1.01859e-02,1.54
100,84,7.35428e-01,7.38667e-01,1.02170e-02,1.54
100,85,7.40274e-01,7.35333e-01,1.02057e-02,1.55
100,86,7.41699e-01,7.38333e-01,1.01920e-02,1.54
100,87,7.45618e-01,7.42333e-01,1.01841e-02,1.56
100,88,7.39775e-01,7.42333e-01,1.01949e-02,1.55
100,89,7.42411e-01,7.41667e-01,1.01820e-02,1.55
100,90,7.41841e-01,7.39667e-01,1.01857e-02,1.55
100,91,7.43266e-01,7.34667e-01,1.01861e-02,1.55
100,92,7.40630e-01,7.39667e-01,1.02002e-02,1.54
100,93,7.43979e-01,7.42667e-01,1.01772e-02,1.54
100,94,7.43623e-01,7.36333e-01,1.01799e-02,1.54
100,95,7.44478e-01,7.33667e-01,1.01793e-02,1.56
100,96,7.45547e-01,7.29667e-01,1.01783e-02,1.55
100,97,7.46117e-01,7.47000e-01,1.01712e-02,1.55
100,98,7.44121e-01,7.44000e-01,1.01842e-02,1.56
100,99,7.45547e-01,7.40667e-01,1.01775e-02,1.55
100,100,7.47043e-01,7.47000e-01,1.01672e-02,1.55
100,101,7.44406e-01,7.34667e-01,1.01760e-02,1.56
100,102,7.42483e-01,7.42667e-01,1.01834e-02,1.55
100,103,7.45547e-01,7.41000e-01,1.01685e-02,1.55
100,104,7.43124e-01,7.45667e-01,1.01824e-02,1.55
100,105,7.44691e-01,7.44667e-01,1.01737e-02,1.56
100,106,7.44406e-01,7.41000e-01,1.01884e-02,1.54
100,107,7.44549e-01,7.45667e-01,1.01715e-02,1.55
100,108,7.42625e-01,7.43333e-01,1.01842e-02,1.56
100,109,7.47114e-01,7.45667e-01,1.01553e-02,1.55
100,110,7.46829e-01,7.40333e-01,1.01634e-02,1.54
100,111,7.46900e-01,7.41667e-01,1.01671e-02,1.55
100,112,7.45618e-01,7.35333e-01,1.01660e-02,1.55
100,113,7.45903e-01,7.44667e-01,1.01691e-02,1.54
100,114,7.43266e-01,7.44667e-01,1.01752e-02,1.55
100,115,7.44050e-01,7.42667e-01,1.01716e-02,1.55
100,116,7.46758e-01,7.41333e-01,1.01706e-02,1.55
100,117,7.48753e-01,7.48667e-01,1.01617e-02,1.55
100,118,7.45404e-01,7.43000e-01,1.01680e-02,1.55
100,119,7.45618e-01,7.47667e-01,1.01693e-02,1.55
100,120,7.47827e-01,7.43333e-01,1.01564e-02,1.54
100,121,7.47898e-01,7.41000e-01,1.01622e-02,1.56
100,122,7.47257e-01,7.42333e-01,1.01616e-02,1.55
100,123,7.45760e-01,7.40333e-01,1.01667e-02,1.55
100,124,7.44834e-01,7.40333e-01,1.01669e-02,1.54
100,125,7.45262e-01,7.44667e-01,1.01686e-02,1.54
100,126,7.43053e-01,7.39333e-01,1.01781e-02,1.55
100,127,7.46473e-01,7.39333e-01,1.01557e-02,1.54
100,128,7.50036e-01,7.35000e-01,1.01329e-02,1.55
100,129,7.44976e-01,7.45000e-01,1.01647e-02,1.54
100,130,7.45333e-01,7.37667e-01,1.01629e-02,1.54
100,131,7.43908e-01,7.31667e-01,1.01732e-02,1.54
100,132,7.47827e-01,7.38000e-01,1.01430e-02,1.55
100,133,7.44478e-01,7.40333e-01,1.01706e-02,1.55
100,134,7.44406e-01,7.44333e-01,1.01679e-02,1.54
100,135,7.49252e-01,7.40333e-01,1.01518e-02,1.55
100,136,7.46900e-01,7.40000e-01,1.01579e-02,1.55
100,137,7.49181e-01,7.44000e-01,1.01369e-02,1.55
100,138,7.44549e-01,7.41333e-01,1.01733e-02,1.54
100,139,7.46758e-01,7.44333e-01,1.01541e-02,1.56
100,140,7.43053e-01,7.40333e-01,1.01815e-02,1.55
100,141,7.45760e-01,7.41333e-01,1.01634e-02,1.54
100,142,7.46330e-01,7.41000e-01,1.01625e-02,1.55
100,143,7.45689e-01,7.47667e-01,1.01680e-02,1.55
100,144,7.44763e-01,7.40333e-01,1.01692e-02,1.55
100,145,7.45760e-01,7.45000e-01,1.01660e-02,1.54
100,146,7.46615e-01,7.40000e-01,1.01661e-02,1.55
100,147,7.45760e-01,7.43333e-01,1.01591e-02,1.54
100,148,7.47755e-01,7.49333e-01,1.01568e-02,1.54
100,149,7.47185e-01,7.44333e-01,1.01555e-02,1.54
100,150,7.46117e-01,7.45667e-01,1.01521e-02,1.54
100,151,7.48753e-01,7.46333e-01,1.01421e-02,1.56
100,152,7.48753e-01,7.38000e-01,1.01500e-02,1.54
100,153,7.46045e-01,7.45333e-01,1.01528e-02,1.56
100,154,7.45048e-01,7.45000e-01,1.01571e-02,1.55
100,155,7.49394e-01,7.41667e-01,1.01457e-02,1.55
100,156,7.45333e-01,7.48667e-01,1.01652e-02,1.54
100,157,7.45333e-01,7.43000e-01,1.01760e-02,1.55
100,158,7.51960e-01,7.50333e-01,1.01191e-02,1.55
100,159,7.47755e-01,7.46667e-01,1.01485e-02,1.54
100,160,7.46045e-01,7.41000e-01,1.01633e-02,1.55
100,161,7.46117e-01,7.45000e-01,1.01574e-02,1.54
100,162,7.47684e-01,7.48000e-01,1.01457e-02,1.55
100,163,7.50392e-01,7.51333e-01,1.01382e-02,1.54
100,164,7.49608e-01,7.47667e-01,1.01290e-02,1.54
100,165,7.48611e-01,7.51000e-01,1.01478e-02,1.54
100,166,7.49822e-01,7.36667e-01,1.01413e-02,1.54
100,167,7.49181e-01,7.45667e-01,1.01408e-02,1.55
100,168,7.49466e-01,7.44333e-01,1.01405e-02,1.54
100,169,7.48183e-01,7.45333e-01,1.01374e-02,1.54
100,170,7.48112e-01,7.42667e-01,1.01534e-02,1.54
100,171,7.45048e-01,7.45667e-01,1.01577e-02,1.54
100,172,7.44620e-01,7.52667e-01,1.01723e-02,1.53
100,173,7.48040e-01,7.43333e-01,1.01433e-02,1.54
100,174,7.46473e-01,7.50667e-01,1.01534e-02,1.54
100,175,7.49608e-01,7.49000e-01,1.01422e-02,1.54
100,176,7.45903e-01,7.50000e-01,1.01495e-02,1.54
100,177,7.48967e-01,7.50333e-01,1.01485e-02,1.53
100,178,7.47328e-01,7.43000e-01,1.01479e-02,1.54
100,179,7.47328e-01,7.53333e-01,1.01507e-02,1.54
100,180,7.48753e-01,7.48333e-01,1.01321e-02,1.54
100,181,7.49822e-01,7.46333e-01,1.01333e-02,1.54
100,182,7.47755e-01,7.48000e-01,1.01456e-02,1.54
100,183,7.46259e-01,7.45333e-01,1.01485e-02,1.55
100,184,7.48682e-01,7.47667e-01,1.01258e-02,1.54
100,185,7.47328e-01,7.44333e-01,1.01452e-02,1.55
100,186,7.51176e-01,7.50667e-01,1.01259e-02,1.54
100,187,7.47043e-01,7.43000e-01,1.01465e-02,1.54
100,188,7.49181e-01,7.44667e-01,1.01474e-02,1.54
100,189,7.48397e-01,7.45000e-01,1.01399e-02,1.55
100,190,7.49038e-01,7.45333e-01,1.01384e-02,1.55
