epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.041749e-06,16.00000,20.00000,1039
1,1,1.850797e-06,16.00000,20.00000,498
1,2,1.951203e-06,23.00000,16.00000,445
1,3,2.123358e-06,21.00000,16.00000,445
1,4,1.568241e-06,9.00000,20.00000,392
1,5,2.194078e-06,35.00000,12.00000,481
1,6,1.767390e-06,19.00000,20.00000,443
1,7,2.276631e-06,23.00000,16.00000,459
1,8,1.549153e-06,17.00000,20.00000,435
1,9,1.895905e-06,25.00000,16.00000,452
1,10,1.632971e-06,26.00000,16.00000,451
1,11,2.198263e-06,25.00000,16.00000,451
1,12,1.796476e-06,21.00000,16.00000,433
1,13,1.748608e-06,21.00000,16.00000,432
1,14,1.614542e-06,27.00000,16.00000,462
1,15,1.519251e-06,21.00000,16.00000,441
1,16,1.802470e-06,25.00000,16.00000,455
1,17,1.549070e-06,26.00000,16.00000,456
1,18,1.693223e-06,18.00000,16.00000,416
1,19,1.753766e-06,21.00000,16.00000,431
1,20,2.053742e-06,16.00000,20.00000,446
1,21,1.951922e-06,25.00000,16.00000,453
1,22,1.936954e-06,22.00000,16.00000,437
1,23,2.422937e-06,24.00000,16.00000,448
1,24,1.445884e-06,20.00000,20.00000,447
1,25,1.751557e-06,14.00000,20.00000,421
1,26,1.536341e-06,19.00000,20.00000,446
1,27,1.483287e-06,20.00000,20.00000,450
1,28,1.615555e-06,16.00000,20.00000,428
1,29,1.692146e-06,24.00000,16.00000,450
1,30,1.426303e-06,13.00000,20.00000,431
1,31,1.718000e-06,21.00000,16.00000,435
1,32,1.795357e-06,23.00000,20.00000,467
1,33,1.459705e-06,17.00000,20.00000,436
1,34,1.578728e-06,17.00000,20.00000,438
1,35,1.879195e-06,26.00000,16.00000,460
1,36,1.698439e-06,25.00000,16.00000,454
1,37,1.719913e-06,12.00000,20.00000,422
1,38,2.343767e-06,20.00000,16.00000,427
1,39,2.222028e-06,33.00000,12.00000,475
1,40,1.676680e-06,27.00000,16.00000,467
1,41,1.794441e-06,25.00000,16.00000,455
1,42,1.599574e-06,17.00000,20.00000,438
1,43,2.382731e-06,26.00000,16.00000,460
1,44,1.768408e-06,17.00000,20.00000,437
1,45,1.838469e-06,24.00000,16.00000,452
1,46,1.483229e-06,14.00000,20.00000,446
1,47,2.665794e-06,33.00000,12.00000,486
1,48,1.946990e-06,20.00000,16.00000,429
1,49,2.254305e-06,34.00000,12.00000,480
1,50,1.780179e-06,18.00000,20.00000,445
1,51,1.781320e-06,15.00000,20.00000,427
1,52,1.804891e-06,20.00000,20.00000,451
1,53,1.760036e-06,14.00000,20.00000,423
1,54,2.037957e-06,23.00000,16.00000,445
1,55,1.815656e-06,18.00000,20.00000,445
1,56,1.322797e-06,20.00000,20.00000,452
1,57,1.759765e-06,21.00000,16.00000,437
1,58,2.185631e-06,25.00000,16.00000,456
1,59,2.670561e-06,21.00000,16.00000,438
1,60,2.010707e-06,33.00000,12.00000,483
1,61,2.277112e-06,33.00000,12.00000,479
1,62,1.417836e-06,13.00000,20.00000,418
1,63,1.787783e-06,17.00000,20.00000,440
1,64,2.223107e-06,33.00000,12.00000,478
1,65,1.661198e-06,17.00000,20.00000,439
1,66,2.087949e-06,21.00000,16.00000,437
1,67,1.397164e-06,18.00000,20.00000,445
1,68,2.008538e-06,24.00000,16.00000,457
1,69,1.755862e-06,12.00000,20.00000,415
1,70,1.877551e-06,20.00000,16.00000,464
1,71,2.192172e-06,21.00000,16.00000,437
1,72,1.851458e-06,21.00000,16.00000,438
1,73,1.905698e-06,27.00000,16.00000,471
1,74,1.633097e-06,14.00000,20.00000,423
1,75,1.733987e-06,16.00000,20.00000,431
1,76,1.956345e-06,21.00000,16.00000,477
1,77,1.962926e-06,26.00000,16.00000,463
1,78,1.696706e-06,21.00000,16.00000,438
1,79,1.955373e-06,21.00000,16.00000,437
1,80,1.556709e-06,20.00000,20.00000,454
1,81,1.692753e-06,8.00000,20.00000,395
1,82,2.512185e-06,26.00000,16.00000,461
1,83,1.822715e-06,16.00000,20.00000,430
1,84,1.601218e-06,19.00000,20.00000,452
1,85,1.683986e-06,18.00000,20.00000,446
1,86,1.467334e-06,19.00000,20.00000,450
1,87,3.221325e-06,34.00000,12.00000,488
1,88,1.393017e-06,18.00000,20.00000,445
1,89,1.771498e-06,16.00000,20.00000,432
1,90,1.892541e-06,23.00000,16.00000,455
1,91,2.179700e-06,23.00000,16.00000,447
1,92,1.598157e-06,17.00000,20.00000,442
1,93,2.162762e-06,26.00000,16.00000,464
1,94,2.223883e-06,26.00000,16.00000,466
1,95,2.361844e-06,29.00000,16.00000,482
1,96,1.767222e-06,18.00000,20.00000,448
1,97,2.131294e-06,24.00000,16.00000,457
1,98,2.117835e-06,24.00000,16.00000,456
1,99,2.012152e-06,20.00000,16.00000,432
1,100,2.140050e-06,27.00000,16.00000,472
1,101,1.810824e-06,26.00000,16.00000,465
1,102,2.968349e-06,35.00000,12.00000,493
1,103,1.741911e-06,19.00000,20.00000,452
1,104,1.769472e-06,18.00000,20.00000,446
1,105,2.240963e-06,26.00000,16.00000,466
1,106,2.002039e-06,22.00000,16.00000,445
1,107,1.673809e-06,19.00000,20.00000,453
1,108,1.621366e-06,20.00000,20.00000,457
1,109,1.987988e-06,26.00000,16.00000,466
1,110,1.587581e-06,18.00000,20.00000,456
1,111,1.745104e-06,17.00000,20.00000,442
1,112,2.267810e-06,36.00000,12.00000,501
1,113,1.771007e-06,25.00000,16.00000,462
1,114,1.772699e-06,13.00000,20.00000,425
1,115,1.454086e-06,27.00000,16.00000,472
2,0,1.999449e-06,21.00000,16.00000,454
2,1,2.380139e-06,24.00000,16.00000,451
2,2,2.407001e-06,24.00000,16.00000,452
2,3,2.385615e-06,34.00000,12.00000,482
2,4,1.855067e-06,21.00000,16.00000,437
2,5,2.177137e-06,26.00000,16.00000,482
2,6,2.058984e-06,24.00000,16.00000,458
2,7,2.115477e-06,34.00000,12.00000,484
2,8,1.742364e-06,25.00000,16.00000,459
2,9,1.677171e-06,16.00000,20.00000,430
2,10,2.172324e-06,34.00000,12.00000,485
2,11,1.775880e-06,23.00000,16.00000,452
