pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
10,1,1.92600e-01,2.47375e-01,1.80706e-02,0.63
10,2,2.77200e-01,2.98250e-01,1.75483e-02,0.83
10,3,3.03000e-01,3.13625e-01,1.73355e-02,0.82
10,4,3.19800e-01,3.21125e-01,1.71943e-02,0.86
10,5,3.36600e-01,3.38875e-01,1.70806e-02,0.83
10,6,3.56200e-01,3.45000e-01,1.69697e-02,0.82
10,7,3.50400e-01,3.52125e-01,1.69550e-02,0.81
10,8,3.65800e-01,3.55125e-01,1.69049e-02,0.86
10,9,3.67400e-01,3.60125e-01,1.68529e-02,0.84
10,10,3.71000e-01,3.58375e-01,1.68215e-02,0.79
10,11,3.71800e-01,3.59875e-01,1.67929e-02,0.73
10,12,3.73400e-01,3.58125e-01,1.67937e-02,0.78
10,13,3.74200e-01,3.66625e-01,1.68008e-02,0.81
10,14,3.81600e-01,3.65500e-01,1.67350e-02,0.81
10,15,3.81400e-01,3.64625e-01,1.67029e-02,0.74
10,16,3.83400e-01,3.66000e-01,1.67363e-02,0.68
10,17,3.90600e-01,3.69000e-01,1.67115e-02,0.68
10,18,3.90400e-01,3.68750e-01,1.66823e-02,0.66
10,19,3.87000e-01,3.71875e-01,1.66141e-02,0.71
10,20,3.94200e-01,3.73375e-01,1.66498e-02,0.64
10,21,3.92600e-01,3.74875e-01,1.66582e-02,0.68
10,22,3.92400e-01,3.70250e-01,1.65590e-02,0.74
10,23,3.95000e-01,3.77750e-01,1.66120e-02,0.74
10,24,3.96400e-01,3.74375e-01,1.66291e-02,0.73
10,25,3.98000e-01,3.74250e-01,1.66461e-02,0.73
10,26,3.98200e-01,3.74375e-01,1.65699e-02,0.74
10,27,3.97200e-01,3.76000e-01,1.65571e-02,0.72
10,28,3.93200e-01,3.75125e-01,1.65806e-02,0.70
10,29,4.00800e-01,3.77875e-01,1.65484e-02,0.77
10,30,4.03600e-01,3.80500e-01,1.65462e-02,0.86
10,31,4.08400e-01,3.81500e-01,1.65449e-02,0.83
10,32,4.10000e-01,3.79750e-01,1.65137e-02,0.72
10,33,4.08800e-01,3.82375e-01,1.65108e-02,0.73
10,34,4.07800e-01,3.81000e-01,1.64865e-02,0.74
10,35,4.11600e-01,3.82625e-01,1.64802e-02,0.73
10,36,4.08200e-01,3.84750e-01,1.64915e-02,0.67
10,37,4.09200e-01,3.87250e-01,1.64919e-02,0.72
10,38,4.13200e-01,3.82750e-01,1.65116e-02,0.73
10,39,4.10800e-01,3.84250e-01,1.64703e-02,0.74
10,40,4.13200e-01,3.87000e-01,1.64760e-02,0.74
10,41,4.12600e-01,3.83125e-01,1.64666e-02,0.74
10,42,4.13600e-01,3.88625e-01,1.64563e-02,0.81
10,43,4.15800e-01,3.87250e-01,1.64678e-02,0.79
10,44,4.14400e-01,3.85500e-01,1.64601e-02,0.81
10,45,4.14000e-01,3.87375e-01,1.64695e-02,0.76
10,46,4.15800e-01,3.88000e-01,1.64642e-02,0.54
10,47,4.18600e-01,3.89500e-01,1.64740e-02,0.55
10,48,4.16400e-01,3.88500e-01,1.64432e-02,0.53
10,49,4.17800e-01,3.87375e-01,1.64615e-02,0.53
10,50,4.19600e-01,3.91625e-01,1.64278e-02,0.54
10,51,4.17800e-01,3.88875e-01,1.64362e-02,0.53
10,52,4.19000e-01,3.90625e-01,1.64532e-02,0.54
10,53,4.20800e-01,3.85250e-01,1.64163e-02,0.52
10,54,4.12000e-01,3.86625e-01,1.63994e-02,0.54
10,55,4.18000e-01,3.86875e-01,1.64422e-02,0.54
10,56,4.18200e-01,3.91250e-01,1.63969e-02,0.53
10,57,4.21800e-01,3.87000e-01,1.64103e-02,0.54
10,58,4.21600e-01,3.89750e-01,1.64070e-02,0.54
10,59,4.20200e-01,3.94000e-01,1.64054e-02,0.53
10,60,4.23400e-01,3.89625e-01,1.64116e-02,0.54
10,61,4.29000e-01,3.94250e-01,1.63960e-02,0.53
10,62,4.23400e-01,3.95000e-01,1.63573e-02,0.54
10,63,4.25400e-01,3.89625e-01,1.63790e-02,0.55
10,64,4.22800e-01,3.92000e-01,1.63439e-02,0.54
10,65,4.24200e-01,3.92750e-01,1.63876e-02,0.55
10,66,4.27600e-01,3.91750e-01,1.64156e-02,0.53
10,67,4.26000e-01,3.96250e-01,1.63726e-02,0.54
10,68,4.27800e-01,3.91875e-01,1.63723e-02,0.54
10,69,4.28800e-01,3.95875e-01,1.63909e-02,0.54
10,70,4.30800e-01,3.95750e-01,1.63797e-02,0.54
10,71,4.28600e-01,3.94875e-01,1.63807e-02,0.52
10,72,4.27400e-01,3.95875e-01,1.63508e-02,0.54
10,73,4.29000e-01,3.95875e-01,1.63713e-02,0.55
10,74,4.28200e-01,3.95750e-01,1.63495e-02,0.53
10,75,4.33200e-01,3.92875e-01,1.63944e-02,0.54
10,76,4.29200e-01,3.97125e-01,1.63824e-02,0.53
10,77,4.32200e-01,3.96750e-01,1.63530e-02,0.53
10,78,4.32800e-01,3.95875e-01,1.63601e-02,0.54
10,79,4.30600e-01,4.00250e-01,1.63357e-02,0.54
10,80,4.29400e-01,3.95500e-01,1.63411e-02,0.54
10,81,4.31600e-01,3.95000e-01,1.63572e-02,0.54
10,82,4.32200e-01,3.97125e-01,1.62954e-02,0.53
10,83,4.30400e-01,3.98250e-01,1.63431e-02,0.52
10,84,4.32000e-01,3.95875e-01,1.63000e-02,0.54
10,85,4.33000e-01,3.98000e-01,1.62845e-02,0.52
10,86,4.30400e-01,3.94000e-01,1.63096e-02,0.54
10,87,4.37400e-01,3.96625e-01,1.62863e-02,0.53
10,88,4.26600e-01,3.95875e-01,1.63284e-02,0.54
10,89,4.32800e-01,3.98750e-01,1.62821e-02,0.55
10,90,4.30800e-01,3.99000e-01,1.63139e-02,0.52
10,91,4.35400e-01,3.99625e-01,1.63064e-02,0.54
10,92,4.40800e-01,3.97625e-01,1.62978e-02,0.55
10,93,4.33600e-01,3.98125e-01,1.63017e-02,0.52
10,94,4.32400e-01,3.99250e-01,1.62856e-02,0.54
10,95,4.36200e-01,3.97750e-01,1.63259e-02,0.55
10,96,4.38400e-01,3.99000e-01,1.62638e-02,0.55
10,97,4.31400e-01,4.01625e-01,1.62988e-02,0.83
10,98,4.39000e-01,4.01125e-01,1.63270e-02,0.89
10,99,4.39200e-01,3.97625e-01,1.62291e-02,0.86
10,100,4.36000e-01,4.01750e-01,1.62531e-02,0.86
10,101,4.42200e-01,3.98000e-01,1.63311e-02,0.87
10,102,4.34400e-01,3.99500e-01,1.63241e-02,0.84
10,103,4.39600e-01,4.01000e-01,1.62760e-02,0.84
10,104,4.42000e-01,4.00500e-01,1.62943e-02,0.70
10,105,4.35600e-01,4.00375e-01,1.62705e-02,0.66
10,106,4.36400e-01,4.00875e-01,1.63197e-02,0.63
10,107,4.42400e-01,4.01250e-01,1.62882e-02,0.75
10,108,4.39800e-01,3.99875e-01,1.62672e-02,0.74
10,109,4.38400e-01,4.03125e-01,1.62427e-02,0.74
10,110,4.38000e-01,4.00625e-01,1.62735e-02,0.70
10,111,4.42000e-01,3.99750e-01,1.62884e-02,0.58
10,112,4.44000e-01,3.99125e-01,1.62359e-02,0.54
10,113,4.39200e-01,4.02000e-01,1.62414e-02,0.54
10,114,4.41600e-01,3.98000e-01,1.62852e-02,0.54
10,115,4.44200e-01,4.02375e-01,1.62040e-02,0.54
10,116,4.43400e-01,3.99375e-01,1.62569e-02,0.53
10,117,4.40000e-01,4.03500e-01,1.62935e-02,0.53
10,118,4.36000e-01,3.98000e-01,1.62752e-02,0.52
10,119,4.42600e-01,3.97250e-01,1.62417e-02,0.49
10,120,4.38400e-01,4.01000e-01,1.62392e-02,0.52
10,121,4.41400e-01,4.04875e-01,1.62419e-02,0.54
10,122,4.42200e-01,4.04000e-01,1.62638e-02,0.49
10,123,4.41800e-01,4.00375e-01,1.62527e-02,0.69
10,124,4.45400e-01,3.99750e-01,1.62229e-02,0.87
10,125,4.42200e-01,4.03375e-01,1.62386e-02,0.79
10,126,4.43400e-01,4.02000e-01,1.62406e-02,0.76
10,127,4.42000e-01,3.99875e-01,1.62630e-02,0.74
10,128,4.39200e-01,4.02250e-01,1.62540e-02,0.73
10,129,4.48200e-01,4.02750e-01,1.62694e-02,0.75
10,130,4.44600e-01,4.01125e-01,1.61939e-02,0.76
10,131,4.49200e-01,3.99625e-01,1.62278e-02,0.75
10,132,4.46000e-01,4.04750e-01,1.62078e-02,0.76
10,133,4.49400e-01,4.00000e-01,1.62618e-02,0.73
10,134,4.42200e-01,4.03000e-01,1.61420e-02,0.75
10,135,4.45200e-01,4.03125e-01,1.62038e-02,0.79
10,136,4.44400e-01,3.99750e-01,1.62085e-02,0.89
10,137,4.47400e-01,4.03500e-01,1.62290e-02,0.86
10,138,4.43600e-01,4.01375e-01,1.62342e-02,0.84
10,139,4.46200e-01,4.02250e-01,1.62171e-02,0.88
10,140,4.49000e-01,4.01875e-01,1.62071e-02,0.77
10,141,4.50400e-01,4.04500e-01,1.61875e-02,0.81
10,142,4.49600e-01,4.04000e-01,1.62182e-02,0.89
10,143,4.48800e-01,4.06000e-01,1.61986e-02,0.87
10,144,4.47600e-01,4.07000e-01,1.62194e-02,0.83
10,145,4.48600e-01,4.01750e-01,1.61965e-02,0.86
10,146,4.48000e-01,4.06375e-01,1.62254e-02,0.78
10,147,4.51000e-01,4.03875e-01,1.61998e-02,0.73
10,148,4.49400e-01,4.01500e-01,1.61657e-02,0.75
10,149,4.50800e-01,4.05625e-01,1.61804e-02,0.73
10,150,4.49600e-01,4.01750e-01,1.62165e-02,0.73
10,151,4.49200e-01,4.03375e-01,1.62238e-02,0.75
10,152,4.54400e-01,4.04875e-01,1.61748e-02,0.74
10,153,4.49800e-01,4.05375e-01,1.62331e-02,0.72
10,154,4.48400e-01,4.03875e-01,1.62266e-02,0.67
10,155,4.54000e-01,4.05875e-01,1.61739e-02,0.71
10,156,4.52400e-01,4.01625e-01,1.61911e-02,0.75
10,157,4.48200e-01,4.03500e-01,1.61813e-02,0.75
10,158,4.53400e-01,4.04375e-01,1.61858e-02,0.81
10,159,4.50400e-01,4.00000e-01,1.61925e-02,0.87
10,160,4.53000e-01,4.03625e-01,1.61922e-02,0.84
10,161,4.53200e-01,4.05625e-01,1.61959e-02,0.87
10,162,4.52400e-01,4.06500e-01,1.62003e-02,0.84
10,163,4.53200e-01,4.07000e-01,1.61719e-02,0.82
10,164,4.54200e-01,4.04875e-01,1.61686e-02,0.82
10,165,4.53800e-01,4.03250e-01,1.61379e-02,0.83
10,166,4.54000e-01,4.06875e-01,1.61866e-02,0.79
10,167,4.50800e-01,4.02250e-01,1.61623e-02,0.73
10,168,4.46800e-01,4.05000e-01,1.61732e-02,0.74
10,169,4.56600e-01,4.08625e-01,1.61295e-02,0.75
10,170,4.53800e-01,4.05500e-01,1.61656e-02,0.74
10,171,4.50600e-01,4.04000e-01,1.61623e-02,0.76
10,172,4.54000e-01,4.06875e-01,1.61837e-02,0.76
10,173,4.55200e-01,4.05625e-01,1.61952e-02,0.75
10,174,4.55400e-01,4.06750e-01,1.61240e-02,0.76
10,175,4.54600e-01,4.00500e-01,1.61915e-02,0.61
