pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,7.59000e-02,1.14700e-01,3.56605e-02,3.57724e-02,3.64
100,2,1.22000e-01,1.31500e-01,3.53501e-02,3.56215e-02,3.38
100,3,1.33320e-01,1.41400e-01,3.52433e-02,3.55369e-02,3.42
100,4,1.46320e-01,1.49200e-01,3.51545e-02,3.54691e-02,3.45
100,5,1.52820e-01,1.57200e-01,3.51001e-02,3.54223e-02,3.34
100,6,1.58760e-01,1.61200e-01,3.50544e-02,3.53896e-02,3.36
100,7,1.64020e-01,1.66300e-01,3.50161e-02,3.53524e-02,3.35
100,8,1.68280e-01,1.68400e-01,3.49802e-02,3.53240e-02,3.41
100,9,1.72040e-01,1.67900e-01,3.49543e-02,3.53105e-02,3.31
100,10,1.73160e-01,1.70400e-01,3.49332e-02,3.52882e-02,3.56
100,11,1.75020e-01,1.71600e-01,3.49150e-02,3.52775e-02,3.64
100,12,1.77360e-01,1.73400e-01,3.48986e-02,3.52657e-02,3.41
100,13,1.78160e-01,1.72900e-01,3.48835e-02,3.52517e-02,3.33
100,14,1.79900e-01,1.74700e-01,3.48706e-02,3.52447e-02,3.51
100,15,1.81380e-01,1.75100e-01,3.48590e-02,3.52322e-02,3.51
100,16,1.82240e-01,1.75800e-01,3.48478e-02,3.52221e-02,3.52
100,17,1.84160e-01,1.75400e-01,3.48362e-02,3.52152e-02,3.71
100,18,1.86400e-01,1.80100e-01,3.48189e-02,3.51938e-02,3.43
100,19,1.89320e-01,1.80800e-01,3.47996e-02,3.51809e-02,3.50
100,20,1.90900e-01,1.85000e-01,3.47842e-02,3.51693e-02,3.51
100,21,1.93260e-01,1.85300e-01,3.47712e-02,3.51560e-02,3.39
100,22,1.93900e-01,1.86100e-01,3.47611e-02,3.51496e-02,3.46
100,23,1.96040e-01,1.87500e-01,3.47515e-02,3.51396e-02,3.45
100,24,1.96080e-01,1.87000e-01,3.47430e-02,3.51334e-02,3.59
100,25,1.97300e-01,1.87700e-01,3.47353e-02,3.51310e-02,3.64
100,26,1.98060e-01,1.86600e-01,3.47277e-02,3.51248e-02,3.58
100,27,1.98980e-01,1.88400e-01,3.47211e-02,3.51172e-02,3.48
100,28,2.00000e-01,1.89900e-01,3.47128e-02,3.51091e-02,3.39
100,29,2.00780e-01,1.89500e-01,3.47065e-02,3.51066e-02,3.61
100,30,2.02720e-01,1.92200e-01,3.46929e-02,3.50902e-02,3.65
100,31,2.04220e-01,1.92700e-01,3.46757e-02,3.50793e-02,3.48
100,32,2.05960e-01,1.95600e-01,3.46686e-02,3.50716e-02,3.75
100,33,2.07160e-01,1.96000e-01,3.46614e-02,3.50672e-02,3.60
100,34,2.06820e-01,1.95400e-01,3.46541e-02,3.50631e-02,3.78
100,35,2.08860e-01,1.97800e-01,3.46464e-02,3.50564e-02,3.56
100,36,2.10320e-01,1.96700e-01,3.46349e-02,3.50502e-02,3.50
100,37,2.11880e-01,1.98500e-01,3.46264e-02,3.50388e-02,3.53
100,38,2.13040e-01,2.00100e-01,3.46182e-02,3.50341e-02,3.58
100,39,2.13440e-01,2.01500e-01,3.46122e-02,3.50264e-02,3.36
100,40,2.14220e-01,2.00700e-01,3.46065e-02,3.50236e-02,3.46
100,41,2.14280e-01,2.00900e-01,3.46008e-02,3.50183e-02,3.64
100,42,2.15400e-01,2.02500e-01,3.45954e-02,3.50185e-02,3.53
100,43,2.16880e-01,2.04300e-01,3.45905e-02,3.50101e-02,3.52
100,44,2.17080e-01,2.03100e-01,3.45860e-02,3.50102e-02,3.39
100,45,2.17620e-01,2.02500e-01,3.45813e-02,3.50079e-02,3.40
100,46,2.17920e-01,2.03200e-01,3.45764e-02,3.50037e-02,3.49
100,47,2.18560e-01,2.03900e-01,3.45720e-02,3.49982e-02,3.76
100,48,2.18680e-01,2.04900e-01,3.45670e-02,3.49946e-02,3.41
100,49,2.19440e-01,2.04200e-01,3.45635e-02,3.49913e-02,3.39
100,50,2.20660e-01,2.04900e-01,3.45577e-02,3.49893e-02,3.34
100,51,2.20880e-01,2.04600e-01,3.45519e-02,3.49836e-02,3.60
100,52,2.21700e-01,2.06000e-01,3.45468e-02,3.49789e-02,3.60
100,53,2.22140e-01,2.05500e-01,3.45403e-02,3.49779e-02,3.68
100,54,2.23340e-01,2.07900e-01,3.45369e-02,3.49703e-02,3.52
100,55,2.23720e-01,2.07800e-01,3.45314e-02,3.49710e-02,3.36
100,56,2.24140e-01,2.06700e-01,3.45270e-02,3.49688e-02,3.67
100,57,2.24600e-01,2.08200e-01,3.45236e-02,3.49631e-02,3.76
100,58,2.25480e-01,2.08400e-01,3.45195e-02,3.49616e-02,3.49
100,59,2.25540e-01,2.07000e-01,3.45171e-02,3.49575e-02,3.35
100,60,2.26320e-01,2.08600e-01,3.45128e-02,3.49590e-02,3.34
100,61,2.26840e-01,2.08700e-01,3.45097e-02,3.49561e-02,3.35
100,62,2.27300e-01,2.09300e-01,3.45061e-02,3.49524e-02,3.35
100,63,2.27640e-01,2.09900e-01,3.45049e-02,3.49491e-02,3.73
100,64,2.27640e-01,2.10100e-01,3.45006e-02,3.49440e-02,3.50
100,65,2.27860e-01,2.10000e-01,3.44970e-02,3.49348e-02,3.47
100,66,2.30680e-01,2.12600e-01,3.44812e-02,3.49284e-02,3.71
100,67,2.31240e-01,2.14700e-01,3.44729e-02,3.49191e-02,3.56
100,68,2.32180e-01,2.15800e-01,3.44684e-02,3.49129e-02,3.35
100,69,2.33260e-01,2.15200e-01,3.44639e-02,3.49115e-02,3.66
100,70,2.33780e-01,2.15700e-01,3.44603e-02,3.49071e-02,3.92
100,71,2.33040e-01,2.14700e-01,3.44577e-02,3.49106e-02,3.75
100,72,2.34660e-01,2.16000e-01,3.44540e-02,3.49015e-02,3.47
100,73,2.34780e-01,2.15600e-01,3.44496e-02,3.49074e-02,3.47
100,74,2.35000e-01,2.16300e-01,3.44480e-02,3.48985e-02,3.80
100,75,2.36160e-01,2.15300e-01,3.44446e-02,3.48981e-02,3.72
100,76,2.35500e-01,2.16900e-01,3.44420e-02,3.48969e-02,3.77
100,77,2.35400e-01,2.15800e-01,3.44389e-02,3.48956e-02,3.68
100,78,2.36260e-01,2.17600e-01,3.44370e-02,3.48965e-02,3.41
100,79,2.36180e-01,2.17300e-01,3.44341e-02,3.48925e-02,3.46
100,80,2.36600e-01,2.17600e-01,3.44324e-02,3.48923e-02,3.36
100,81,2.37460e-01,2.17500e-01,3.44302e-02,3.48885e-02,3.63
100,82,2.38240e-01,2.17100e-01,3.44263e-02,3.48883e-02,3.52
100,83,2.37960e-01,2.18700e-01,3.44252e-02,3.48822e-02,3.36
100,84,2.38260e-01,2.16400e-01,3.44217e-02,3.48840e-02,3.39
100,85,2.39060e-01,2.18700e-01,3.44187e-02,3.48811e-02,3.42
100,86,2.38420e-01,2.19300e-01,3.44188e-02,3.48760e-02,3.41
100,87,2.38880e-01,2.18600e-01,3.44161e-02,3.48767e-02,3.35
100,88,2.38960e-01,2.19100e-01,3.44145e-02,3.48785e-02,3.39
100,89,2.39760e-01,2.19700e-01,3.44125e-02,3.48794e-02,3.49
100,90,2.39740e-01,2.20600e-01,3.44092e-02,3.48731e-02,3.44
100,91,2.40560e-01,2.19500e-01,3.44072e-02,3.48718e-02,3.35
100,92,2.40760e-01,2.18900e-01,3.44050e-02,3.48720e-02,3.39
100,93,2.40960e-01,2.20100e-01,3.44040e-02,3.48660e-02,3.36
100,94,2.40800e-01,2.20000e-01,3.44027e-02,3.48712e-02,3.39
100,95,2.41060e-01,2.20600e-01,3.44010e-02,3.48668e-02,3.38
100,96,2.42260e-01,2.19300e-01,3.43994e-02,3.48702e-02,3.35
100,97,2.42260e-01,2.21600e-01,3.43951e-02,3.48628e-02,3.72
100,98,2.41940e-01,2.20000e-01,3.43942e-02,3.48640e-02,3.37
100,99,2.42240e-01,2.20400e-01,3.43934e-02,3.48619e-02,3.52
100,100,2.42340e-01,2.22000e-01,3.43912e-02,3.48588e-02,3.75
100,101,2.42760e-01,2.20100e-01,3.43897e-02,3.48598e-02,3.76
100,102,2.43180e-01,2.23900e-01,3.43874e-02,3.48516e-02,3.62
100,103,2.42780e-01,2.21900e-01,3.43864e-02,3.48559e-02,3.33
100,104,2.43480e-01,2.22300e-01,3.43848e-02,3.48574e-02,3.36
100,105,2.43280e-01,2.22300e-01,3.43833e-02,3.48590e-02,3.67
100,106,2.43660e-01,2.20700e-01,3.43819e-02,3.48561e-02,3.78
100,107,2.43740e-01,2.21600e-01,3.43793e-02,3.48544e-02,3.81
100,108,2.43840e-01,2.21900e-01,3.43784e-02,3.48494e-02,3.28
100,109,2.44820e-01,2.23500e-01,3.43773e-02,3.48465e-02,3.11
100,110,2.44900e-01,2.22100e-01,3.43757e-02,3.48481e-02,3.10
100,111,2.44760e-01,2.23000e-01,3.43740e-02,3.48444e-02,3.09
100,112,2.45040e-01,2.23100e-01,3.43720e-02,3.48460e-02,3.53
100,113,2.45220e-01,2.21300e-01,3.43729e-02,3.48461e-02,3.74
100,114,2.45340e-01,2.21900e-01,3.43704e-02,3.48486e-02,3.68
100,115,2.45480e-01,2.22600e-01,3.43684e-02,3.48446e-02,3.22
100,116,2.45860e-01,2.21700e-01,3.43672e-02,3.48468e-02,3.71
100,117,2.45600e-01,2.22200e-01,3.43657e-02,3.48444e-02,3.58
100,118,2.45680e-01,2.22500e-01,3.43656e-02,3.48435e-02,3.18
100,119,2.46360e-01,2.22600e-01,3.43641e-02,3.48431e-02,3.09
100,120,2.46380e-01,2.24100e-01,3.43623e-02,3.48400e-02,3.11
100,121,2.46520e-01,2.22800e-01,3.43610e-02,3.48447e-02,3.39
100,122,2.46240e-01,2.22300e-01,3.43598e-02,3.48401e-02,3.76
100,123,2.46680e-01,2.22900e-01,3.43583e-02,3.48395e-02,3.18
100,124,2.47060e-01,2.23500e-01,3.43561e-02,3.48372e-02,3.35
100,125,2.47220e-01,2.24500e-01,3.43553e-02,3.48370e-02,3.27
100,126,2.47640e-01,2.23800e-01,3.43556e-02,3.48333e-02,3.10
100,127,2.47560e-01,2.24400e-01,3.43538e-02,3.48358e-02,3.50
100,128,2.47720e-01,2.24400e-01,3.43524e-02,3.48359e-02,3.46
100,129,2.48120e-01,2.22800e-01,3.43520e-02,3.48350e-02,3.11
100,130,2.47260e-01,2.23900e-01,3.43489e-02,3.48318e-02,3.11
100,131,2.47640e-01,2.23500e-01,3.43492e-02,3.48336e-02,3.26
100,132,2.47800e-01,2.25300e-01,3.43477e-02,3.48312e-02,3.15
100,133,2.48040e-01,2.23700e-01,3.43450e-02,3.48323e-02,3.37
100,134,2.48320e-01,2.25700e-01,3.43449e-02,3.48272e-02,3.21
100,135,2.48980e-01,2.23700e-01,3.43435e-02,3.48284e-02,3.09
100,136,2.48860e-01,2.24700e-01,3.43423e-02,3.48293e-02,3.10
100,137,2.49340e-01,2.25400e-01,3.43397e-02,3.48305e-02,3.09
100,138,2.49220e-01,2.25000e-01,3.43393e-02,3.48278e-02,3.11
100,139,2.49880e-01,2.24900e-01,3.43391e-02,3.48256e-02,3.09
100,140,2.50440e-01,2.25500e-01,3.43370e-02,3.48251e-02,3.10
100,141,2.49440e-01,2.26200e-01,3.43360e-02,3.48227e-02,3.09
100,142,2.49620e-01,2.26200e-01,3.43337e-02,3.48220e-02,3.48
100,143,2.50260e-01,2.25000e-01,3.43338e-02,3.48187e-02,3.59
100,144,2.50580e-01,2.27500e-01,3.43311e-02,3.48173e-02,3.66
100,145,2.50620e-01,2.27200e-01,3.43299e-02,3.48184e-02,3.57
100,146,2.50260e-01,2.26200e-01,3.43289e-02,3.48200e-02,3.45
100,147,2.51400e-01,2.25900e-01,3.43264e-02,3.48150e-02,3.62
100,148,2.51460e-01,2.26000e-01,3.43263e-02,3.48170e-02,3.68
100,149,2.51560e-01,2.26700e-01,3.43249e-02,3.48175e-02,3.42
100,150,2.51600e-01,2.26800e-01,3.43246e-02,3.48143e-02,3.73
100,151,2.51640e-01,2.27700e-01,3.43227e-02,3.48131e-02,3.68
100,152,2.52340e-01,2.28000e-01,3.43226e-02,3.48131e-02,3.63
100,153,2.51560e-01,2.28800e-01,3.43204e-02,3.48094e-02,3.71
100,154,2.52280e-01,2.26400e-01,3.43208e-02,3.48127e-02,3.51
100,155,2.52260e-01,2.27800e-01,3.43199e-02,3.48080e-02,3.10
100,156,2.52480e-01,2.26400e-01,3.43184e-02,3.48094e-02,3.10
100,157,2.52240e-01,2.26500e-01,3.43173e-02,3.48108e-02,3.10
100,158,2.52000e-01,2.27500e-01,3.43159e-02,3.48090e-02,3.10
100,159,2.53280e-01,2.28300e-01,3.43144e-02,3.48078e-02,3.18
100,160,2.52840e-01,2.27600e-01,3.43147e-02,3.48107e-02,3.42
100,161,2.53040e-01,2.28800e-01,3.43135e-02,3.48118e-02,3.36
100,162,2.53480e-01,2.26400e-01,3.43133e-02,3.48101e-02,3.30
100,163,2.53180e-01,2.27600e-01,3.43106e-02,3.48040e-02,3.69
100,164,2.53200e-01,2.28600e-01,3.43117e-02,3.48050e-02,3.74
100,165,2.53600e-01,2.27300e-01,3.43097e-02,3.48048e-02,3.77
100,166,2.54180e-01,2.28000e-01,3.43076e-02,3.48076e-02,3.62
100,167,2.53640e-01,2.26500e-01,3.43083e-02,3.48040e-02,3.70
100,168,2.54200e-01,2.28200e-01,3.43072e-02,3.48026e-02,3.49
100,169,2.54740e-01,2.27400e-01,3.43059e-02,3.48011e-02,3.31
100,170,2.54900e-01,2.29600e-01,3.43053e-02,3.47996e-02,3.11
100,171,2.54560e-01,2.29800e-01,3.43051e-02,3.48022e-02,3.37
100,172,2.54680e-01,2.29000e-01,3.43033e-02,3.47995e-02,3.16
100,173,2.54560e-01,2.29100e-01,3.43037e-02,3.48023e-02,3.09
100,174,2.55400e-01,2.29400e-01,3.43018e-02,3.48026e-02,3.61
100,175,2.55500e-01,2.28900e-01,3.43007e-02,3.48010e-02,3.42
100,176,2.54820e-01,2.29100e-01,3.43012e-02,3.47998e-02,3.16
100,177,2.55660e-01,2.28400e-01,3.42998e-02,3.48008e-02,3.10
100,178,2.55100e-01,2.28500e-01,3.42996e-02,3.48011e-02,3.29
100,179,2.55880e-01,2.28200e-01,3.42990e-02,3.48002e-02,3.44
100,180,2.54760e-01,2.28800e-01,3.42988e-02,3.47989e-02,3.72
100,181,2.55780e-01,2.27600e-01,3.42968e-02,3.48005e-02,4.39
100,182,2.55700e-01,2.28800e-01,3.42970e-02,3.47988e-02,4.11
100,183,2.55860e-01,2.27600e-01,3.42963e-02,3.47977e-02,3.84
100,184,2.55940e-01,2.28500e-01,3.42957e-02,3.47962e-02,3.32
100,185,2.54780e-01,2.28200e-01,3.42944e-02,3.47985e-02,3.05
100,186,2.56320e-01,2.29000e-01,3.42934e-02,3.47963e-02,3.09
100,187,2.56180e-01,2.29300e-01,3.42937e-02,3.47959e-02,3.31
100,188,2.56220e-01,2.29300e-01,3.42919e-02,3.47907e-02,3.26
100,189,2.56240e-01,2.28200e-01,3.42903e-02,3.47949e-02,3.32
100,190,2.56860e-01,2.30300e-01,3.42899e-02,3.48005e-02,3.10
100,191,2.56060e-01,2.28900e-01,3.42908e-02,3.47955e-02,3.10
100,192,2.56620e-01,2.30000e-01,3.42897e-02,3.47961e-02,3.21
100,193,2.57460e-01,2.28900e-01,3.42882e-02,3.47950e-02,3.25
100,194,2.56820e-01,2.29200e-01,3.42890e-02,3.47960e-02,3.36
100,195,2.57100e-01,2.29700e-01,3.42873e-02,3.47957e-02,3.31
100,196,2.57360e-01,2.29700e-01,3.42876e-02,3.47956e-02,3.33
100,197,2.57380e-01,2.30200e-01,3.42877e-02,3.47908e-02,3.05
100,198,2.57480e-01,2.30400e-01,3.42852e-02,3.47920e-02,3.17
100,199,2.57760e-01,2.30300e-01,3.42855e-02,3.47913e-02,3.45
100,200,2.57200e-01,2.28200e-01,3.42845e-02,3.47922e-02,3.17
150,1,7.42600e-02,1.17000e-01,3.56634e-02,3.57655e-02,3.73
150,2,1.25800e-01,1.39700e-01,3.53264e-02,3.55820e-02,3.01
150,3,1.40640e-01,1.48200e-01,3.52042e-02,3.55086e-02,2.73
150,4,1.47560e-01,1.54300e-01,3.51395e-02,3.54535e-02,2.84
150,5,1.55860e-01,1.61500e-01,3.50746e-02,3.53929e-02,3.25
150,6,1.62720e-01,1.65800e-01,3.50250e-02,3.53602e-02,3.40
150,7,1.65680e-01,1.67000e-01,3.49915e-02,3.53302e-02,3.41
