epoch,loss,cross_mse,loss_itself
epoch,loss,cross_mse,loss_itself
1,1.032932e-02,0.000000e+00,0.000000e+00
2,4.716909e-03,0.000000e+00,0.000000e+00
3,3.840449e-03,0.000000e+00,0.000000e+00
4,3.631253e-03,0.000000e+00,0.000000e+00
5,3.433212e-03,0.000000e+00,0.000000e+00
6,3.234395e-03,0.000000e+00,0.000000e+00
7,2.940041e-03,0.000000e+00,0.000000e+00
8,2.792500e-03,0.000000e+00,0.000000e+00
9,2.716514e-03,0.000000e+00,0.000000e+00
10,2.624728e-03,0.000000e+00,0.000000e+00
11,2.578041e-03,0.000000e+00,0.000000e+00
12,2.620090e-03,0.000000e+00,0.000000e+00
13,2.667787e-03,0.000000e+00,0.000000e+00
14,2.725000e-03,0.000000e+00,0.000000e+00
15,2.838499e-03,0.000000e+00,0.000000e+00
16,2.963278e-03,0.000000e+00,0.000000e+00
17,3.127681e-03,0.000000e+00,0.000000e+00
18,3.361292e-03,0.000000e+00,0.000000e+00
19,3.577769e-03,0.000000e+00,0.000000e+00
20,3.761001e-03,0.000000e+00,0.000000e+00
21,3.960645e-03,0.000000e+00,0.000000e+00
22,4.154564e-03,0.000000e+00,0.000000e+00
23,4.354061e-03,0.000000e+00,0.000000e+00
24,4.556568e-03,0.000000e+00,0.000000e+00
25,4.770898e-03,0.000000e+00,0.000000e+00
26,4.933069e-03,0.000000e+00,0.000000e+00
27,5.101646e-03,0.000000e+00,0.000000e+00
28,5.313377e-03,0.000000e+00,0.000000e+00
29,5.463815e-03,0.000000e+00,0.000000e+00
30,5.586160e-03,0.000000e+00,0.000000e+00
31,5.701258e-03,0.000000e+00,0.000000e+00
32,5.837897e-03,0.000000e+00,0.000000e+00
33,5.986590e-03,0.000000e+00,0.000000e+00
34,6.104746e-03,0.000000e+00,0.000000e+00
35,6.163356e-03,0.000000e+00,0.000000e+00
36,6.270078e-03,0.000000e+00,0.000000e+00
37,6.344021e-03,0.000000e+00,0.000000e+00
38,6.396660e-03,0.000000e+00,0.000000e+00
39,6.476003e-03,0.000000e+00,0.000000e+00
40,6.496519e-03,0.000000e+00,0.000000e+00
41,6.561803e-03,0.000000e+00,0.000000e+00
42,6.574322e-03,0.000000e+00,0.000000e+00
43,6.643117e-03,0.000000e+00,0.000000e+00
44,6.678802e-03,0.000000e+00,0.000000e+00
45,6.655855e-03,0.000000e+00,0.000000e+00
46,6.660305e-03,0.000000e+00,0.000000e+00
47,6.685626e-03,0.000000e+00,0.000000e+00
48,6.691685e-03,0.000000e+00,0.000000e+00
49,6.690811e-03,0.000000e+00,0.000000e+00
50,6.709301e-03,0.000000e+00,0.000000e+00
51,6.731554e-03,0.000000e+00,0.000000e+00
52,6.705667e-03,0.000000e+00,0.000000e+00
53,6.708884e-03,0.000000e+00,0.000000e+00
54,6.674032e-03,0.000000e+00,0.000000e+00
55,6.670450e-03,0.000000e+00,0.000000e+00
56,6.685374e-03,0.000000e+00,0.000000e+00
57,6.686481e-03,0.000000e+00,0.000000e+00
58,6.673046e-03,0.000000e+00,0.000000e+00
59,6.622436e-03,0.000000e+00,0.000000e+00
60,6.628578e-03,0.000000e+00,0.000000e+00
61,6.640750e-03,0.000000e+00,0.000000e+00
62,6.629635e-03,0.000000e+00,0.000000e+00
63,6.611876e-03,0.000000e+00,0.000000e+00
64,6.580053e-03,0.000000e+00,0.000000e+00
65,6.482657e-03,0.000000e+00,0.000000e+00
66,6.482036e-03,0.000000e+00,0.000000e+00
67,6.472483e-03,0.000000e+00,0.000000e+00
68,6.448588e-03,0.000000e+00,0.000000e+00
69,6.406115e-03,0.000000e+00,0.000000e+00
70,6.405532e-03,0.000000e+00,0.000000e+00
71,6.372168e-03,0.000000e+00,0.000000e+00
72,6.362124e-03,0.000000e+00,0.000000e+00
73,6.336076e-03,0.000000e+00,0.000000e+00
74,6.296620e-03,0.000000e+00,0.000000e+00
75,6.296742e-03,0.000000e+00,0.000000e+00
