pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,7.50000e-02,1.12300e-01,3.56469e-02,3.57843e-02,8.33
100,2,1.21900e-01,1.32500e-01,3.53450e-02,3.56321e-02,7.25
100,3,1.39720e-01,1.47000e-01,3.52204e-02,3.55367e-02,7.21
100,4,1.49220e-01,1.52800e-01,3.51391e-02,3.54722e-02,7.21
100,5,1.55580e-01,1.55500e-01,3.50858e-02,3.54402e-02,7.53
100,6,1.58900e-01,1.58500e-01,3.50474e-02,3.54102e-02,7.37
100,7,1.61880e-01,1.61700e-01,3.50192e-02,3.53805e-02,7.67
100,8,1.65720e-01,1.62400e-01,3.49926e-02,3.53674e-02,7.64
100,9,1.66380e-01,1.64400e-01,3.49730e-02,3.53497e-02,7.69
100,10,1.69200e-01,1.64100e-01,3.49549e-02,3.53375e-02,7.72
100,11,1.70760e-01,1.66700e-01,3.49388e-02,3.53190e-02,7.79
100,12,1.72040e-01,1.67600e-01,3.49235e-02,3.53093e-02,7.83
100,13,1.72780e-01,1.70900e-01,3.49106e-02,3.52878e-02,7.57
100,14,1.78180e-01,1.73800e-01,3.48784e-02,3.52636e-02,7.49
100,15,1.79140e-01,1.73700e-01,3.48635e-02,3.52542e-02,7.78
100,16,1.80660e-01,1.75500e-01,3.48505e-02,3.52440e-02,7.51
100,17,1.82060e-01,1.76500e-01,3.48415e-02,3.52332e-02,7.54
100,18,1.83540e-01,1.77600e-01,3.48309e-02,3.52293e-02,7.56
100,19,1.83740e-01,1.78700e-01,3.48230e-02,3.52170e-02,7.73
100,20,1.85820e-01,1.79400e-01,3.48100e-02,3.52076e-02,7.62
100,21,1.87340e-01,1.79100e-01,3.48006e-02,3.52064e-02,7.58
100,22,1.88120e-01,1.80500e-01,3.47910e-02,3.51951e-02,7.59
100,23,1.89020e-01,1.80900e-01,3.47836e-02,3.51861e-02,7.71
100,24,1.89600e-01,1.82200e-01,3.47761e-02,3.51810e-02,7.44
100,25,1.90580e-01,1.79700e-01,3.47700e-02,3.51784e-02,7.46
100,26,1.91080e-01,1.83200e-01,3.47624e-02,3.51689e-02,7.53
100,27,1.91840e-01,1.82700e-01,3.47564e-02,3.51627e-02,8.33
100,28,1.92260e-01,1.82900e-01,3.47517e-02,3.51638e-02,7.51
100,29,1.93540e-01,1.85300e-01,3.47414e-02,3.51446e-02,7.50
100,30,1.95560e-01,1.87500e-01,3.47293e-02,3.51386e-02,7.62
100,31,1.96620e-01,1.86400e-01,3.47230e-02,3.51325e-02,10.02
100,32,1.97060e-01,1.87000e-01,3.47160e-02,3.51286e-02,9.57
100,33,1.98560e-01,1.88400e-01,3.47088e-02,3.51222e-02,10.13
100,34,1.98640e-01,1.87800e-01,3.47041e-02,3.51183e-02,9.77
100,35,1.99840e-01,1.90900e-01,3.46965e-02,3.51097e-02,9.80
100,36,2.01040e-01,1.90900e-01,3.46906e-02,3.51069e-02,10.13
100,37,2.01340e-01,1.89500e-01,3.46838e-02,3.51035e-02,9.46
100,38,2.02280e-01,1.91600e-01,3.46790e-02,3.50996e-02,9.43
100,39,2.02920e-01,1.92500e-01,3.46757e-02,3.50927e-02,9.79
100,40,2.02880e-01,1.93000e-01,3.46704e-02,3.50928e-02,10.26
100,41,2.04100e-01,1.91000e-01,3.46662e-02,3.50920e-02,9.35
100,42,2.03620e-01,1.91900e-01,3.46636e-02,3.50861e-02,10.28
100,43,2.04340e-01,1.92900e-01,3.46572e-02,3.50833e-02,9.99
100,44,2.05680e-01,1.92800e-01,3.46532e-02,3.50833e-02,10.10
100,45,2.05700e-01,1.92200e-01,3.46500e-02,3.50778e-02,9.61
100,46,2.06020e-01,1.92000e-01,3.46464e-02,3.50787e-02,9.54
100,47,2.06860e-01,1.93300e-01,3.46426e-02,3.50715e-02,9.36
100,48,2.06640e-01,1.93600e-01,3.46397e-02,3.50682e-02,10.19
100,49,2.08180e-01,1.93700e-01,3.46348e-02,3.50691e-02,9.38
100,50,2.08460e-01,1.94800e-01,3.46329e-02,3.50636e-02,10.02
100,51,2.08780e-01,1.95000e-01,3.46283e-02,3.50634e-02,10.05
100,52,2.08940e-01,1.95700e-01,3.46250e-02,3.50588e-02,9.13
100,53,2.09680e-01,1.96100e-01,3.46204e-02,3.50557e-02,10.16
100,54,2.10460e-01,1.95700e-01,3.46189e-02,3.50606e-02,9.86
100,55,2.10740e-01,1.94800e-01,3.46143e-02,3.50568e-02,9.34
100,56,2.11040e-01,1.96300e-01,3.46116e-02,3.50513e-02,10.53
100,57,2.11640e-01,1.97300e-01,3.46097e-02,3.50475e-02,10.24
100,58,2.12160e-01,1.97000e-01,3.46062e-02,3.50456e-02,10.01
100,59,2.12360e-01,1.94800e-01,3.46029e-02,3.50479e-02,9.61
100,60,2.12780e-01,1.98800e-01,3.45987e-02,3.50421e-02,10.57
100,61,2.14280e-01,1.98100e-01,3.45930e-02,3.50360e-02,10.06
100,62,2.14000e-01,1.98200e-01,3.45907e-02,3.50346e-02,9.92
100,63,2.14960e-01,1.98300e-01,3.45855e-02,3.50340e-02,10.65
100,64,2.14640e-01,1.98700e-01,3.45852e-02,3.50271e-02,9.27
100,65,2.15060e-01,2.00400e-01,3.45819e-02,3.50277e-02,10.27
100,66,2.15760e-01,1.99700e-01,3.45784e-02,3.50238e-02,9.80
100,67,2.15800e-01,1.99200e-01,3.45772e-02,3.50193e-02,9.52
100,68,2.16040e-01,2.01000e-01,3.45744e-02,3.50228e-02,9.72
100,69,2.16220e-01,2.00600e-01,3.45733e-02,3.50178e-02,10.07
100,70,2.17100e-01,1.99500e-01,3.45695e-02,3.50186e-02,9.28
100,71,2.16920e-01,2.01300e-01,3.45661e-02,3.50186e-02,9.58
100,72,2.17120e-01,2.00600e-01,3.45659e-02,3.50143e-02,10.17
100,73,2.17140e-01,2.02600e-01,3.45629e-02,3.50155e-02,9.74
100,74,2.18280e-01,2.01000e-01,3.45617e-02,3.50120e-02,9.66
100,75,2.18040e-01,2.01500e-01,3.45573e-02,3.50056e-02,9.83
100,76,2.19240e-01,2.01300e-01,3.45504e-02,3.50040e-02,9.70
100,77,2.19880e-01,2.02200e-01,3.45446e-02,3.50013e-02,10.74
100,78,2.20620e-01,2.03500e-01,3.45412e-02,3.49941e-02,10.21
100,79,2.21320e-01,2.01700e-01,3.45372e-02,3.49973e-02,10.50
100,80,2.21040e-01,2.02300e-01,3.45344e-02,3.49941e-02,10.26
100,81,2.22100e-01,2.01800e-01,3.45311e-02,3.49927e-02,9.62
100,82,2.22480e-01,2.03200e-01,3.45297e-02,3.49898e-02,10.31
100,83,2.22660e-01,2.03900e-01,3.45271e-02,3.49861e-02,9.87
100,84,2.23160e-01,2.03900e-01,3.45242e-02,3.49829e-02,10.09
100,85,2.22760e-01,2.03400e-01,3.45224e-02,3.49888e-02,10.08
100,86,2.23820e-01,2.03000e-01,3.45205e-02,3.49859e-02,10.06
100,87,2.24080e-01,2.03000e-01,3.45195e-02,3.49876e-02,9.94
100,88,2.24440e-01,2.04500e-01,3.45180e-02,3.49778e-02,10.06
100,89,2.24080e-01,2.04100e-01,3.45137e-02,3.49795e-02,9.92
100,90,2.24140e-01,2.04700e-01,3.45137e-02,3.49790e-02,10.00
100,91,2.24940e-01,2.05900e-01,3.45116e-02,3.49784e-02,9.76
100,92,2.24920e-01,2.04400e-01,3.45102e-02,3.49748e-02,9.45
100,93,2.24320e-01,2.05300e-01,3.45098e-02,3.49733e-02,10.27
100,94,2.24860e-01,2.05200e-01,3.45066e-02,3.49683e-02,10.18
100,95,2.25720e-01,2.04800e-01,3.45052e-02,3.49669e-02,9.90
100,96,2.25280e-01,2.04000e-01,3.45042e-02,3.49659e-02,9.80
100,97,2.26220e-01,2.05500e-01,3.45006e-02,3.49649e-02,9.64
100,98,2.27360e-01,2.05000e-01,3.44986e-02,3.49638e-02,9.54
100,99,2.26460e-01,2.05600e-01,3.44958e-02,3.49605e-02,9.79
100,100,2.27460e-01,2.06600e-01,3.44944e-02,3.49598e-02,10.14
100,101,2.27480e-01,2.07800e-01,3.44918e-02,3.49613e-02,9.71
100,102,2.27400e-01,2.06900e-01,3.44909e-02,3.49558e-02,9.53
100,103,2.28140e-01,2.08300e-01,3.44877e-02,3.49519e-02,9.42
100,104,2.28740e-01,2.08000e-01,3.44866e-02,3.49505e-02,10.08
100,105,2.27800e-01,2.06500e-01,3.44855e-02,3.49468e-02,9.83
100,106,2.29380e-01,2.09900e-01,3.44819e-02,3.49506e-02,9.63
100,107,2.29540e-01,2.07100e-01,3.44790e-02,3.49522e-02,9.73
100,108,2.29680e-01,2.08600e-01,3.44751e-02,3.49425e-02,9.80
100,109,2.30320e-01,2.08600e-01,3.44734e-02,3.49442e-02,9.53
100,110,2.31040e-01,2.10100e-01,3.44704e-02,3.49403e-02,9.75
100,111,2.31180e-01,2.10800e-01,3.44671e-02,3.49394e-02,9.81
100,112,2.31380e-01,2.10100e-01,3.44650e-02,3.49380e-02,10.50
100,113,2.31660e-01,2.11800e-01,3.44646e-02,3.49298e-02,9.81
100,114,2.31540e-01,2.09800e-01,3.44623e-02,3.49345e-02,10.11
100,115,2.32540e-01,2.12700e-01,3.44604e-02,3.49337e-02,9.99
100,116,2.31900e-01,2.11700e-01,3.44585e-02,3.49313e-02,9.83
100,117,2.32700e-01,2.11000e-01,3.44566e-02,3.49308e-02,9.88
100,118,2.32940e-01,2.08500e-01,3.44554e-02,3.49349e-02,9.80
100,119,2.32320e-01,2.11900e-01,3.44544e-02,3.49264e-02,9.90
100,120,2.32620e-01,2.10600e-01,3.44530e-02,3.49270e-02,10.28
100,121,2.33160e-01,2.12700e-01,3.44494e-02,3.49227e-02,10.26
100,122,2.33360e-01,2.12900e-01,3.44501e-02,3.49208e-02,9.83
100,123,2.33720e-01,2.13100e-01,3.44481e-02,3.49233e-02,10.56
100,124,2.35320e-01,2.12000e-01,3.44442e-02,3.49221e-02,9.60
100,125,2.34100e-01,2.13000e-01,3.44417e-02,3.49190e-02,9.56
100,126,2.35500e-01,2.12600e-01,3.44410e-02,3.49207e-02,9.92
100,127,2.35680e-01,2.13300e-01,3.44399e-02,3.49150e-02,9.92
100,128,2.35180e-01,2.13700e-01,3.44381e-02,3.49192e-02,10.50
100,129,2.34920e-01,2.12800e-01,3.44369e-02,3.49183e-02,9.98
100,130,2.35940e-01,2.11900e-01,3.44362e-02,3.49174e-02,10.02
100,131,2.35820e-01,2.12500e-01,3.44349e-02,3.49170e-02,9.55
100,132,2.36540e-01,2.12900e-01,3.44327e-02,3.49149e-02,9.79
100,133,2.36840e-01,2.11600e-01,3.44316e-02,3.49129e-02,9.89
100,134,2.36080e-01,2.13600e-01,3.44310e-02,3.49135e-02,9.61
100,135,2.36100e-01,2.11300e-01,3.44289e-02,3.49096e-02,9.23
100,136,2.37020e-01,2.13700e-01,3.44276e-02,3.49107e-02,9.94
100,137,2.37840e-01,2.10300e-01,3.44250e-02,3.49137e-02,10.25
100,138,2.37200e-01,2.12800e-01,3.44248e-02,3.49107e-02,9.65
100,139,2.37160e-01,2.13500e-01,3.44245e-02,3.49120e-02,9.47
100,140,2.37760e-01,2.13100e-01,3.44229e-02,3.49107e-02,10.40
100,141,2.37340e-01,2.12500e-01,3.44216e-02,3.49071e-02,10.27
100,142,2.37940e-01,2.15200e-01,3.44203e-02,3.49071e-02,9.21
100,143,2.37680e-01,2.13700e-01,3.44199e-02,3.49067e-02,9.91
100,144,2.38040e-01,2.13100e-01,3.44178e-02,3.49085e-02,10.15
100,145,2.37860e-01,2.14800e-01,3.44178e-02,3.49032e-02,9.91
100,146,2.39300e-01,2.15100e-01,3.44139e-02,3.49024e-02,10.26
100,147,2.38820e-01,2.15500e-01,3.44152e-02,3.49021e-02,10.36
