pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,2.41400e-01,2.88875e-01,1.78966e-02,1.73271e-02,1.14
100,2,3.22400e-01,3.36500e-01,1.74122e-02,1.70017e-02,1.15
100,3,3.56400e-01,3.79500e-01,1.71715e-02,1.67622e-02,1.15
100,4,4.06600e-01,4.06000e-01,1.68747e-02,1.65637e-02,1.16
100,5,4.20600e-01,4.12750e-01,1.66837e-02,1.64334e-02,1.15
100,6,4.30000e-01,4.24500e-01,1.65872e-02,1.63306e-02,1.22
100,7,4.44800e-01,4.41125e-01,1.64943e-02,1.62238e-02,1.15
100,8,4.62600e-01,4.53750e-01,1.63707e-02,1.61158e-02,1.16
100,9,4.72400e-01,4.55375e-01,1.62810e-02,1.60377e-02,1.14
100,10,4.87800e-01,4.87500e-01,1.61596e-02,1.59248e-02,1.16
100,11,5.10800e-01,4.98875e-01,1.60666e-02,1.58342e-02,1.15
100,12,5.18200e-01,5.06500e-01,1.59220e-02,1.57642e-02,1.15
100,13,5.27000e-01,5.09500e-01,1.59094e-02,1.57144e-02,1.16
100,14,5.31200e-01,5.10500e-01,1.59031e-02,1.56785e-02,1.14
100,15,5.32000e-01,5.12750e-01,1.58255e-02,1.56503e-02,1.23
100,16,5.34200e-01,5.18625e-01,1.57798e-02,1.56082e-02,1.20
100,17,5.38800e-01,5.20125e-01,1.57517e-02,1.55789e-02,1.15
100,18,5.40800e-01,5.23250e-01,1.57265e-02,1.55516e-02,1.14
100,19,5.43200e-01,5.28000e-01,1.56734e-02,1.55278e-02,1.16
100,20,5.42200e-01,5.26625e-01,1.56477e-02,1.55095e-02,1.15
100,21,5.45800e-01,5.27875e-01,1.56429e-02,1.54900e-02,1.15
100,22,5.48000e-01,5.29375e-01,1.55855e-02,1.54690e-02,1.14
100,23,5.52600e-01,5.33125e-01,1.55774e-02,1.54500e-02,1.15
100,24,5.50000e-01,5.34875e-01,1.55476e-02,1.54338e-02,1.14
100,25,5.52800e-01,5.34875e-01,1.55528e-02,1.54199e-02,1.14
100,26,5.53600e-01,5.35625e-01,1.55281e-02,1.54102e-02,1.16
100,27,5.52600e-01,5.36250e-01,1.55371e-02,1.53927e-02,1.14
100,28,5.53600e-01,5.35875e-01,1.55088e-02,1.53847e-02,1.17
100,29,5.57800e-01,5.34375e-01,1.54781e-02,1.53729e-02,1.17
100,30,5.60200e-01,5.39500e-01,1.54576e-02,1.53598e-02,1.17
100,31,5.62000e-01,5.41500e-01,1.54922e-02,1.53508e-02,1.15
100,32,5.60200e-01,5.42250e-01,1.54802e-02,1.53400e-02,1.19
100,33,5.63000e-01,5.39875e-01,1.54930e-02,1.53337e-02,1.17
100,34,5.63000e-01,5.42375e-01,1.54356e-02,1.53233e-02,1.22
100,35,5.62000e-01,5.41625e-01,1.54301e-02,1.53163e-02,1.18
100,36,5.62800e-01,5.42625e-01,1.54095e-02,1.53025e-02,1.16
100,37,5.65800e-01,5.42250e-01,1.53728e-02,1.53024e-02,1.17
100,38,5.66000e-01,5.45250e-01,1.54390e-02,1.52931e-02,1.17
100,39,5.66200e-01,5.45125e-01,1.53742e-02,1.52914e-02,1.29
100,40,5.70800e-01,5.45375e-01,1.53920e-02,1.52779e-02,1.18
100,41,5.68600e-01,5.46500e-01,1.53419e-02,1.52707e-02,1.25
100,42,5.70200e-01,5.45250e-01,1.53598e-02,1.52668e-02,1.29
100,43,5.71000e-01,5.45500e-01,1.53861e-02,1.52592e-02,1.40
100,44,5.68800e-01,5.45625e-01,1.53990e-02,1.52684e-02,1.56
100,45,5.69400e-01,5.47500e-01,1.53367e-02,1.52526e-02,1.65
100,46,5.71600e-01,5.48500e-01,1.53868e-02,1.52517e-02,1.75
100,47,5.74000e-01,5.48625e-01,1.52813e-02,1.52389e-02,1.87
100,48,5.73800e-01,5.49750e-01,1.53013e-02,1.52358e-02,1.63
100,49,5.69800e-01,5.46500e-01,1.52851e-02,1.52483e-02,1.68
100,50,5.71000e-01,5.49500e-01,1.53283e-02,1.52278e-02,1.63
100,51,5.72200e-01,5.49125e-01,1.53023e-02,1.52260e-02,1.71
100,52,5.74200e-01,5.48750e-01,1.53314e-02,1.52233e-02,1.57
100,53,5.72800e-01,5.50125e-01,1.52492e-02,1.52096e-02,1.55
100,54,5.78000e-01,5.51750e-01,1.52589e-02,1.52079e-02,1.56
100,55,5.74600e-01,5.50750e-01,1.52549e-02,1.52074e-02,1.56
100,56,5.76000e-01,5.52625e-01,1.52838e-02,1.51975e-02,1.62
100,57,5.76800e-01,5.53125e-01,1.52751e-02,1.51946e-02,1.73
100,58,5.76400e-01,5.52000e-01,1.52592e-02,1.51958e-02,1.69
100,59,5.79000e-01,5.53125e-01,1.52942e-02,1.51842e-02,1.52
100,60,5.79800e-01,5.52375e-01,1.52444e-02,1.51917e-02,1.52
100,61,5.78200e-01,5.54000e-01,1.52407e-02,1.51848e-02,1.75
100,62,5.78200e-01,5.51125e-01,1.52770e-02,1.51809e-02,1.25
100,63,5.78200e-01,5.53375e-01,1.52380e-02,1.51718e-02,1.62
100,64,5.79000e-01,5.55000e-01,1.52482e-02,1.51654e-02,1.61
100,65,5.82600e-01,5.53875e-01,1.52445e-02,1.51675e-02,1.73
100,66,5.79800e-01,5.54000e-01,1.52496e-02,1.51677e-02,1.59
100,67,5.81400e-01,5.53750e-01,1.52497e-02,1.51646e-02,1.53
100,68,5.81000e-01,5.54500e-01,1.52714e-02,1.51662e-02,1.57
100,69,5.86200e-01,5.57250e-01,1.52521e-02,1.51562e-02,1.58
100,70,5.84400e-01,5.55250e-01,1.52164e-02,1.51528e-02,1.59
100,71,5.85000e-01,5.55250e-01,1.52550e-02,1.51516e-02,1.62
100,72,5.85600e-01,5.55000e-01,1.52091e-02,1.51509e-02,1.68
100,73,5.83400e-01,5.56000e-01,1.52154e-02,1.51473e-02,1.65
100,74,5.86200e-01,5.57250e-01,1.51923e-02,1.51413e-02,1.76
100,75,5.88400e-01,5.57750e-01,1.52046e-02,1.51382e-02,1.74
100,76,5.87400e-01,5.55625e-01,1.52015e-02,1.51414e-02,1.57
100,77,5.83800e-01,5.55375e-01,1.51790e-02,1.51429e-02,1.53
100,78,5.87600e-01,5.57250e-01,1.51487e-02,1.51358e-02,1.58
100,79,5.87800e-01,5.58000e-01,1.51565e-02,1.51305e-02,1.55
100,80,5.86200e-01,5.56375e-01,1.51844e-02,1.51331e-02,1.77
100,81,5.87400e-01,5.57250e-01,1.51535e-02,1.51265e-02,1.62
100,82,5.87400e-01,5.57250e-01,1.51720e-02,1.51255e-02,1.48
100,83,5.88400e-01,5.57000e-01,1.51377e-02,1.51250e-02,1.50
100,84,5.91000e-01,5.58500e-01,1.51547e-02,1.51197e-02,1.43
100,85,5.89200e-01,5.57500e-01,1.51610e-02,1.51172e-02,1.48
100,86,5.88000e-01,5.56875e-01,1.51518e-02,1.51201e-02,1.62
100,87,5.90400e-01,5.58125e-01,1.51337e-02,1.51176e-02,1.74
100,88,5.87800e-01,5.58375e-01,1.51336e-02,1.51165e-02,1.53
100,89,5.89400e-01,5.57125e-01,1.51764e-02,1.51193e-02,1.58
100,90,5.92800e-01,5.57250e-01,1.51751e-02,1.51172e-02,1.46
100,91,5.90600e-01,5.57375e-01,1.51787e-02,1.51165e-02,1.62
100,92,5.91600e-01,5.55375e-01,1.51306e-02,1.51138e-02,1.48
100,93,5.92000e-01,5.59375e-01,1.50831e-02,1.51104e-02,1.61
