pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,3.20680e-01,3.97300e-01,1.69056e-02,1.66086e-02,3.43
100,2,4.30680e-01,4.57600e-01,1.62013e-02,1.61380e-02,3.73
100,3,4.70220e-01,4.75600e-01,1.58685e-02,1.59449e-02,2.85
100,4,4.86100e-01,4.85400e-01,1.57198e-02,1.58343e-02,2.65
100,5,4.93380e-01,4.93600e-01,1.56253e-02,1.57527e-02,2.63
100,6,4.99080e-01,4.99400e-01,1.55522e-02,1.56902e-02,2.65
100,7,5.04620e-01,5.02000e-01,1.54975e-02,1.56460e-02,2.63
100,8,5.09680e-01,5.06300e-01,1.54536e-02,1.56025e-02,2.64
100,9,5.11880e-01,5.10500e-01,1.54159e-02,1.55714e-02,2.62
100,10,5.15320e-01,5.13200e-01,1.53848e-02,1.55428e-02,2.64
100,11,5.18400e-01,5.12800e-01,1.53568e-02,1.55125e-02,2.64
100,12,5.20960e-01,5.18900e-01,1.53326e-02,1.54901e-02,2.64
100,13,5.22520e-01,5.19000e-01,1.53118e-02,1.54715e-02,2.62
100,14,5.24800e-01,5.23900e-01,1.52917e-02,1.54554e-02,2.64
100,15,5.26000e-01,5.25100e-01,1.52749e-02,1.54371e-02,2.62
100,16,5.36220e-01,5.38500e-01,1.52012e-02,1.53438e-02,2.64
100,17,5.42400e-01,5.41000e-01,1.51594e-02,1.53223e-02,2.62
100,18,5.45780e-01,5.43200e-01,1.51368e-02,1.53061e-02,2.64
100,19,5.46880e-01,5.46000e-01,1.51161e-02,1.52874e-02,2.62
100,20,5.50060e-01,5.45800e-01,1.50981e-02,1.52825e-02,2.64
100,21,5.51060e-01,5.46300e-01,1.50849e-02,1.52575e-02,2.62
100,22,5.52540e-01,5.47300e-01,1.50704e-02,1.52515e-02,2.64
100,23,5.54500e-01,5.48800e-01,1.50591e-02,1.52361e-02,2.62
100,24,5.55060e-01,5.53300e-01,1.50494e-02,1.52253e-02,2.64
100,25,5.55860e-01,5.52100e-01,1.50367e-02,1.52230e-02,2.62
100,26,5.57500e-01,5.54100e-01,1.50281e-02,1.52103e-02,2.64
100,27,5.59240e-01,5.54300e-01,1.50196e-02,1.51995e-02,2.62
100,28,5.58800e-01,5.54100e-01,1.50096e-02,1.51975e-02,2.64
100,29,5.59440e-01,5.54100e-01,1.50035e-02,1.51857e-02,2.62
100,30,5.60820e-01,5.57000e-01,1.49944e-02,1.51764e-02,2.64
100,31,5.61880e-01,5.56900e-01,1.49869e-02,1.51756e-02,2.62
100,32,5.62400e-01,5.56500e-01,1.49800e-02,1.51675e-02,2.64
100,33,5.63260e-01,5.57200e-01,1.49736e-02,1.51606e-02,2.62
100,34,5.64440e-01,5.59500e-01,1.49672e-02,1.51510e-02,2.64
100,35,5.65140e-01,5.60400e-01,1.49615e-02,1.51458e-02,2.62
100,36,5.65640e-01,5.60000e-01,1.49551e-02,1.51425e-02,2.64
100,37,5.66100e-01,5.60500e-01,1.49491e-02,1.51370e-02,2.62
100,38,5.66800e-01,5.60500e-01,1.49444e-02,1.51348e-02,2.64
100,39,5.67920e-01,5.61200e-01,1.49380e-02,1.51326e-02,2.62
100,40,5.68220e-01,5.61000e-01,1.49353e-02,1.51275e-02,2.64
100,41,5.67800e-01,5.61100e-01,1.49304e-02,1.51191e-02,2.62
100,42,5.68560e-01,5.62600e-01,1.49245e-02,1.51149e-02,2.64
100,43,5.69100e-01,5.63300e-01,1.49202e-02,1.51132e-02,2.62
100,44,5.69700e-01,5.60900e-01,1.49149e-02,1.51132e-02,2.64
100,45,5.68540e-01,5.62000e-01,1.49129e-02,1.51052e-02,2.62
100,46,5.71100e-01,5.61400e-01,1.49098e-02,1.51034e-02,2.64
100,47,5.70180e-01,5.62200e-01,1.49041e-02,1.50990e-02,2.62
100,48,5.71300e-01,5.59400e-01,1.49008e-02,1.51017e-02,2.64
100,49,5.72520e-01,5.63700e-01,1.48972e-02,1.50884e-02,2.62
100,50,5.71300e-01,5.63900e-01,1.48925e-02,1.50926e-02,2.64
100,51,5.73000e-01,5.62200e-01,1.48900e-02,1.50837e-02,2.62
100,52,5.74020e-01,5.62500e-01,1.48866e-02,1.50879e-02,2.64
100,53,5.73120e-01,5.64000e-01,1.48815e-02,1.50837e-02,2.62
100,54,5.74220e-01,5.63200e-01,1.48805e-02,1.50797e-02,2.64
100,55,5.73380e-01,5.62700e-01,1.48783e-02,1.50850e-02,2.62
100,56,5.74140e-01,5.66800e-01,1.48732e-02,1.50747e-02,2.65
100,57,5.74720e-01,5.62600e-01,1.48712e-02,1.50816e-02,2.62
100,58,5.74880e-01,5.66300e-01,1.48689e-02,1.50647e-02,2.64
100,59,5.74880e-01,5.64100e-01,1.48665e-02,1.50642e-02,2.62
100,60,5.76120e-01,5.62100e-01,1.48633e-02,1.50732e-02,2.65
100,61,5.75360e-01,5.67300e-01,1.48603e-02,1.50599e-02,2.62
100,62,5.76400e-01,5.65500e-01,1.48562e-02,1.50594e-02,2.64
100,63,5.76100e-01,5.66000e-01,1.48559e-02,1.50595e-02,2.62
100,64,5.76820e-01,5.65300e-01,1.48526e-02,1.50575e-02,2.64
100,65,5.75860e-01,5.66400e-01,1.48519e-02,1.50502e-02,2.62
100,66,5.76720e-01,5.66400e-01,1.48488e-02,1.50551e-02,2.64
100,67,5.78020e-01,5.67300e-01,1.48465e-02,1.50484e-02,2.62
100,68,5.76620e-01,5.67900e-01,1.48449e-02,1.50432e-02,2.64
100,69,5.77520e-01,5.66200e-01,1.48424e-02,1.50443e-02,2.62
100,70,5.77240e-01,5.68100e-01,1.48396e-02,1.50391e-02,2.64
100,71,5.77840e-01,5.64200e-01,1.48371e-02,1.50438e-02,2.62
100,72,5.78180e-01,5.67400e-01,1.48352e-02,1.50413e-02,2.64
100,73,5.79520e-01,5.66800e-01,1.48325e-02,1.50378e-02,2.62
100,74,5.79260e-01,5.69200e-01,1.48307e-02,1.50344e-02,2.64
100,75,5.78520e-01,5.68000e-01,1.48287e-02,1.50365e-02,2.62
100,76,5.80180e-01,5.68800e-01,1.48265e-02,1.50310e-02,2.64
100,77,5.79760e-01,5.64500e-01,1.48250e-02,1.50325e-02,2.62
100,78,5.80040e-01,5.66100e-01,1.48221e-02,1.50333e-02,2.64
100,79,5.79980e-01,5.66200e-01,1.48212e-02,1.50298e-02,2.62
100,80,5.80420e-01,5.69100e-01,1.48204e-02,1.50228e-02,2.65
100,81,5.80060e-01,5.69100e-01,1.48177e-02,1.50244e-02,3.88
100,82,5.81460e-01,5.71300e-01,1.48158e-02,1.50188e-02,3.93
100,83,5.81000e-01,5.68300e-01,1.48145e-02,1.50192e-02,3.98
100,84,5.81480e-01,5.69000e-01,1.48139e-02,1.50202e-02,3.89
100,85,5.81580e-01,5.72800e-01,1.48117e-02,1.50180e-02,3.80
100,86,5.81680e-01,5.68200e-01,1.48097e-02,1.50180e-02,3.92
100,87,5.81660e-01,5.69100e-01,1.48075e-02,1.50218e-02,3.75
100,88,5.82120e-01,5.69100e-01,1.48077e-02,1.50164e-02,3.76
100,89,5.82500e-01,5.70600e-01,1.48048e-02,1.50153e-02,3.52
100,90,5.83040e-01,5.69000e-01,1.48031e-02,1.50123e-02,3.85
100,91,5.81760e-01,5.67400e-01,1.48026e-02,1.50133e-02,3.87
100,92,5.83120e-01,5.68300e-01,1.48009e-02,1.50073e-02,3.97
100,93,5.83240e-01,5.67800e-01,1.47996e-02,1.50124e-02,3.87
100,94,5.83080e-01,5.70800e-01,1.47980e-02,1.50098e-02,3.91
100,95,5.83760e-01,5.69300e-01,1.47957e-02,1.50052e-02,3.76
100,96,5.83620e-01,5.69000e-01,1.47940e-02,1.50089e-02,3.74
100,97,5.83660e-01,5.73400e-01,1.47937e-02,1.50007e-02,3.89
100,98,5.83340e-01,5.72500e-01,1.47919e-02,1.50037e-02,4.07
100,99,5.83860e-01,5.71800e-01,1.47916e-02,1.49975e-02,4.11
100,100,5.84620e-01,5.73000e-01,1.47893e-02,1.49979e-02,4.00
100,101,5.83840e-01,5.69800e-01,1.47893e-02,1.49985e-02,3.79
100,102,5.85460e-01,5.70500e-01,1.47862e-02,1.50027e-02,3.84
100,103,5.84680e-01,5.72000e-01,1.47861e-02,1.49965e-02,3.96
100,104,5.85140e-01,5.71400e-01,1.47835e-02,1.49965e-02,3.95
100,105,5.84260e-01,5.71900e-01,1.47843e-02,1.49924e-02,3.84
100,106,5.84440e-01,5.72700e-01,1.47823e-02,1.49948e-02,3.79
100,107,5.86160e-01,5.74600e-01,1.47790e-02,1.49910e-02,3.91
100,108,5.84920e-01,5.73000e-01,1.47803e-02,1.49916e-02,3.99
