pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,1.61600e-01,2.23500e-01,1.81817e-02,1.75590e-02,0.58
100,2,2.96800e-01,3.56125e-01,1.76072e-02,1.70746e-02,0.55
100,3,3.92200e-01,4.07000e-01,1.71504e-02,1.67480e-02,0.55
100,4,4.32600e-01,4.28250e-01,1.68369e-02,1.65357e-02,0.55
100,5,4.62800e-01,4.43750e-01,1.66552e-02,1.63708e-02,0.55
100,6,4.82000e-01,4.56250e-01,1.65027e-02,1.62538e-02,0.81
100,7,4.88600e-01,4.68625e-01,1.63976e-02,1.61569e-02,0.83
100,8,4.99800e-01,4.73875e-01,1.63016e-02,1.60755e-02,0.83
100,9,5.00000e-01,4.77625e-01,1.62072e-02,1.60134e-02,0.83
100,10,5.07000e-01,4.78375e-01,1.61321e-02,1.59621e-02,0.82
100,11,5.07800e-01,4.86250e-01,1.60818e-02,1.59074e-02,0.83
100,12,5.11400e-01,4.90125e-01,1.60545e-02,1.58660e-02,0.82
100,13,5.14600e-01,4.91000e-01,1.59608e-02,1.58298e-02,0.83
100,14,5.19000e-01,4.95375e-01,1.59544e-02,1.57912e-02,0.82
100,15,5.23400e-01,4.99375e-01,1.59055e-02,1.57631e-02,0.83
100,16,5.22800e-01,5.00250e-01,1.58793e-02,1.57280e-02,0.85
100,17,5.27000e-01,5.02375e-01,1.58824e-02,1.56985e-02,0.62
100,18,5.29000e-01,5.05250e-01,1.58200e-02,1.56719e-02,0.61
100,19,5.32000e-01,5.07250e-01,1.58057e-02,1.56498e-02,0.60
100,20,5.32600e-01,5.11750e-01,1.57740e-02,1.56269e-02,0.60
100,21,5.38600e-01,5.12250e-01,1.57126e-02,1.56067e-02,0.60
100,22,5.41200e-01,5.11250e-01,1.57725e-02,1.55946e-02,0.60
100,23,5.41200e-01,5.16375e-01,1.57054e-02,1.55722e-02,0.60
100,24,5.44600e-01,5.19375e-01,1.56998e-02,1.55554e-02,0.59
100,25,5.44000e-01,5.17625e-01,1.56894e-02,1.55436e-02,0.60
