pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,1.90400e-01,3.02250e-01,1.82289e-02,1.56597e-02,0.12
300,2,3.69800e-01,4.12000e-01,1.48942e-02,1.38430e-02,0.12
300,3,4.51000e-01,4.66500e-01,1.33634e-02,1.27489e-02,0.15
300,4,4.93800e-01,5.08500e-01,1.24112e-02,1.20003e-02,0.13
300,5,5.30800e-01,5.27625e-01,1.17811e-02,1.14345e-02,0.13
300,6,5.47400e-01,5.45000e-01,1.12854e-02,1.10256e-02,0.14
300,7,5.58800e-01,5.46375e-01,1.09203e-02,1.07285e-02,0.12
300,8,5.63200e-01,5.54875e-01,1.05769e-02,1.04589e-02,0.14
300,9,5.71800e-01,5.62250e-01,1.03106e-02,1.02127e-02,0.12
300,10,5.74600e-01,5.68000e-01,1.01829e-02,1.00399e-02,0.12
300,11,5.84400e-01,5.69625e-01,9.98399e-03,9.88994e-03,0.12
300,12,5.83200e-01,5.76500e-01,9.78336e-03,9.75438e-03,0.12
300,13,5.91000e-01,5.78250e-01,9.60532e-03,9.64289e-03,0.12
300,14,5.96000e-01,5.81500e-01,9.55572e-03,9.52173e-03,0.12
300,15,5.96200e-01,5.85875e-01,9.30137e-03,9.44158e-03,0.12
300,16,6.01800e-01,5.83000e-01,9.26458e-03,9.36598e-03,0.13
300,17,6.03800e-01,5.86625e-01,9.26671e-03,9.28891e-03,0.13
300,18,6.02400e-01,5.86375e-01,9.08209e-03,9.21682e-03,0.12
300,19,6.09600e-01,5.91000e-01,9.07048e-03,9.16637e-03,0.12
300,20,6.05600e-01,5.88000e-01,9.00036e-03,9.08695e-03,0.12
300,21,6.08200e-01,5.89500e-01,8.86100e-03,9.06208e-03,0.12
300,22,6.10800e-01,5.90000e-01,8.83958e-03,9.00594e-03,0.12
300,23,6.09400e-01,5.92875e-01,8.82071e-03,8.95636e-03,0.12
300,24,6.15200e-01,5.92500e-01,8.80071e-03,8.92251e-03,0.14
300,25,6.13600e-01,5.95125e-01,8.79295e-03,8.89711e-03,0.12
300,26,6.17200e-01,5.94250e-01,8.79355e-03,8.85680e-03,0.12
300,27,6.16400e-01,5.99250e-01,8.60627e-03,8.81176e-03,0.12
300,28,6.26000e-01,5.96750e-01,8.65928e-03,8.78906e-03,0.13
300,29,6.25000e-01,6.03875e-01,8.60714e-03,8.76108e-03,0.12
300,30,6.28000e-01,6.01875e-01,8.65550e-03,8.73577e-03,0.12
300,31,6.23000e-01,6.01625e-01,8.45781e-03,8.71641e-03,0.14
300,32,6.24800e-01,6.02750e-01,8.56909e-03,8.68573e-03,0.12
300,33,6.25600e-01,6.04250e-01,8.47065e-03,8.66278e-03,0.12
300,34,6.25400e-01,5.99750e-01,8.36287e-03,8.65155e-03,0.12
300,35,6.33400e-01,6.06250e-01,8.36873e-03,8.63197e-03,0.12
300,36,6.31200e-01,6.05750e-01,8.32556e-03,8.60556e-03,0.15
300,37,6.31600e-01,6.07625e-01,8.42234e-03,8.60584e-03,0.12
300,38,6.30200e-01,6.07625e-01,8.40386e-03,8.56126e-03,0.12
300,39,6.33000e-01,6.16000e-01,8.26108e-03,8.54657e-03,0.12
300,40,6.34400e-01,6.07875e-01,8.24193e-03,8.54764e-03,0.12
300,41,6.32800e-01,6.09250e-01,8.18265e-03,8.51723e-03,0.14
300,42,6.35800e-01,6.12750e-01,8.25801e-03,8.50132e-03,0.15
300,43,6.36400e-01,6.13250e-01,8.25107e-03,8.48007e-03,0.15
300,44,6.39000e-01,6.09750e-01,8.15650e-03,8.48130e-03,0.15
300,45,6.39000e-01,6.08250e-01,8.19143e-03,8.49419e-03,0.12
300,46,6.39400e-01,6.12625e-01,8.21948e-03,8.45748e-03,0.12
300,47,6.37600e-01,6.14750e-01,8.18762e-03,8.44292e-03,0.12
300,48,6.41600e-01,6.13875e-01,8.13124e-03,8.41390e-03,0.12
300,49,6.41600e-01,6.17500e-01,8.18839e-03,8.41888e-03,0.12
300,50,6.40000e-01,6.17000e-01,8.17107e-03,8.40582e-03,0.12
300,51,6.42200e-01,6.13625e-01,8.03777e-03,8.40543e-03,0.12
300,52,6.42400e-01,6.18125e-01,8.13532e-03,8.37720e-03,0.12
300,53,6.42000e-01,6.17375e-01,8.03661e-03,8.36970e-03,0.12
300,54,6.44800e-01,6.18625e-01,7.93411e-03,8.35579e-03,0.12
