epoch,loss,loss_L2,loss_PKT,cross_mse
1,1.711645e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,6.093626e-02,0.000000e+00,0.000000e+00,0.000000e+00
3,5.429130e-02,0.000000e+00,0.000000e+00,0.000000e+00
4,6.067167e-02,0.000000e+00,0.000000e+00,0.000000e+00
5,6.094932e-02,0.000000e+00,0.000000e+00,0.000000e+00
6,5.926721e-02,0.000000e+00,0.000000e+00,0.000000e+00
7,5.844994e-02,0.000000e+00,0.000000e+00,0.000000e+00
8,5.647281e-02,0.000000e+00,0.000000e+00,0.000000e+00
9,5.401151e-02,0.000000e+00,0.000000e+00,0.000000e+00
10,5.265415e-02,0.000000e+00,0.000000e+00,0.000000e+00
11,5.009269e-02,0.000000e+00,0.000000e+00,0.000000e+00
12,4.829889e-02,0.000000e+00,0.000000e+00,0.000000e+00
13,4.651951e-02,0.000000e+00,0.000000e+00,0.000000e+00
14,4.320803e-02,0.000000e+00,0.000000e+00,0.000000e+00
15,4.195921e-02,0.000000e+00,0.000000e+00,0.000000e+00
16,4.134366e-02,0.000000e+00,0.000000e+00,0.000000e+00
17,4.028436e-02,0.000000e+00,0.000000e+00,0.000000e+00
18,3.939581e-02,0.000000e+00,0.000000e+00,0.000000e+00
19,3.950688e-02,0.000000e+00,0.000000e+00,0.000000e+00
20,3.854342e-02,0.000000e+00,0.000000e+00,0.000000e+00
21,3.889388e-02,0.000000e+00,0.000000e+00,0.000000e+00
22,3.849175e-02,0.000000e+00,0.000000e+00,0.000000e+00
23,3.897295e-02,0.000000e+00,0.000000e+00,0.000000e+00
24,3.983332e-02,0.000000e+00,0.000000e+00,0.000000e+00
25,4.127707e-02,0.000000e+00,0.000000e+00,0.000000e+00
26,4.250252e-02,0.000000e+00,0.000000e+00,0.000000e+00
27,4.426475e-02,0.000000e+00,0.000000e+00,0.000000e+00
28,4.621747e-02,0.000000e+00,0.000000e+00,0.000000e+00
29,4.765630e-02,0.000000e+00,0.000000e+00,0.000000e+00
30,5.007376e-02,0.000000e+00,0.000000e+00,0.000000e+00
31,5.270651e-02,0.000000e+00,0.000000e+00,0.000000e+00
32,5.635815e-02,0.000000e+00,0.000000e+00,0.000000e+00
33,5.921641e-02,0.000000e+00,0.000000e+00,0.000000e+00
34,6.310331e-02,0.000000e+00,0.000000e+00,0.000000e+00
35,6.656734e-02,0.000000e+00,0.000000e+00,0.000000e+00
36,6.989188e-02,0.000000e+00,0.000000e+00,0.000000e+00
37,7.339840e-02,0.000000e+00,0.000000e+00,0.000000e+00
38,7.751321e-02,0.000000e+00,0.000000e+00,0.000000e+00
39,8.103611e-02,0.000000e+00,0.000000e+00,0.000000e+00
40,8.450020e-02,0.000000e+00,0.000000e+00,0.000000e+00
41,8.732857e-02,0.000000e+00,0.000000e+00,0.000000e+00
42,9.080870e-02,0.000000e+00,0.000000e+00,0.000000e+00
43,9.319603e-02,0.000000e+00,0.000000e+00,0.000000e+00
