pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,2.91240e-01,3.52000e-01,1.71311e-02,1.69217e-02,3.64
100,2,3.80600e-01,3.86700e-01,1.65508e-02,1.66082e-02,3.81
100,3,4.12160e-01,4.35000e-01,1.62714e-02,1.62480e-02,3.91
100,4,4.55320e-01,4.53500e-01,1.59494e-02,1.60832e-02,3.68
100,5,4.70040e-01,4.73800e-01,1.58152e-02,1.58964e-02,2.75
100,6,4.97100e-01,4.91800e-01,1.55964e-02,1.57442e-02,2.56
100,7,5.06860e-01,4.99000e-01,1.55062e-02,1.56750e-02,2.53
100,8,5.12660e-01,5.04400e-01,1.54503e-02,1.56264e-02,2.52
100,9,5.17280e-01,5.07800e-01,1.53994e-02,1.55803e-02,2.54
100,10,5.20940e-01,5.10200e-01,1.53603e-02,1.55446e-02,2.85
100,11,5.25060e-01,5.15900e-01,1.53236e-02,1.55131e-02,3.67
100,12,5.27080e-01,5.18700e-01,1.52938e-02,1.54780e-02,3.18
100,13,5.32300e-01,5.23900e-01,1.52674e-02,1.54516e-02,3.53
100,14,5.33220e-01,5.24600e-01,1.52430e-02,1.54265e-02,3.37
100,15,5.35680e-01,5.29500e-01,1.52215e-02,1.54106e-02,3.34
100,16,5.37740e-01,5.27700e-01,1.52021e-02,1.53907e-02,3.05
100,17,5.40100e-01,5.33800e-01,1.51836e-02,1.53713e-02,3.68
100,18,5.41780e-01,5.33600e-01,1.51676e-02,1.53588e-02,3.98
100,19,5.43760e-01,5.36500e-01,1.51510e-02,1.53416e-02,3.99
100,20,5.44740e-01,5.36600e-01,1.51382e-02,1.53270e-02,3.84
100,21,5.45820e-01,5.38400e-01,1.51257e-02,1.53209e-02,3.86
100,22,5.48020e-01,5.39500e-01,1.51135e-02,1.53079e-02,3.95
100,23,5.48460e-01,5.41600e-01,1.51016e-02,1.52934e-02,3.97
100,24,5.49760e-01,5.41400e-01,1.50915e-02,1.52809e-02,2.81
100,25,5.50000e-01,5.44100e-01,1.50826e-02,1.52723e-02,3.04
100,26,5.50740e-01,5.44500e-01,1.50727e-02,1.52625e-02,3.71
100,27,5.51780e-01,5.44700e-01,1.50654e-02,1.52587e-02,3.16
100,28,5.52820e-01,5.47100e-01,1.50568e-02,1.52484e-02,2.52
100,29,5.54980e-01,5.46300e-01,1.50463e-02,1.52434e-02,2.53
100,30,5.54660e-01,5.49100e-01,1.50400e-02,1.52306e-02,3.37
100,31,5.55680e-01,5.49400e-01,1.50322e-02,1.52246e-02,3.38
100,32,5.57680e-01,5.49200e-01,1.50236e-02,1.52177e-02,2.57
100,33,5.57360e-01,5.51000e-01,1.50204e-02,1.52145e-02,2.54
100,34,5.57320e-01,5.49700e-01,1.50141e-02,1.52013e-02,2.55
100,35,5.58460e-01,5.50200e-01,1.50076e-02,1.52006e-02,2.54
100,36,5.59180e-01,5.53300e-01,1.50007e-02,1.51911e-02,2.55
100,37,5.59520e-01,5.51400e-01,1.49957e-02,1.51898e-02,2.55
100,38,5.60640e-01,5.54000e-01,1.49898e-02,1.51876e-02,3.85
100,39,5.60960e-01,5.55000e-01,1.49849e-02,1.51793e-02,3.92
100,40,5.62020e-01,5.54100e-01,1.49801e-02,1.51736e-02,3.90
100,41,5.60700e-01,5.56400e-01,1.49765e-02,1.51703e-02,3.35
100,42,5.62120e-01,5.52900e-01,1.49703e-02,1.51671e-02,3.63
100,43,5.63660e-01,5.57700e-01,1.49658e-02,1.51526e-02,4.04
100,44,5.63160e-01,5.54000e-01,1.49616e-02,1.51545e-02,3.86
100,45,5.63540e-01,5.57900e-01,1.49579e-02,1.51543e-02,4.07
100,46,5.64300e-01,5.57700e-01,1.49518e-02,1.51453e-02,4.00
100,47,5.64540e-01,5.56600e-01,1.49491e-02,1.51401e-02,3.97
