pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,2.07200e-01,2.63500e-01,1.81355e-02,1.75373e-02,0.54
100,2,2.99000e-01,3.10375e-01,1.75852e-02,1.71529e-02,0.54
100,3,3.65800e-01,3.88500e-01,1.71914e-02,1.68326e-02,0.54
100,4,4.11800e-01,4.00375e-01,1.69544e-02,1.66449e-02,0.53
100,5,4.30200e-01,4.11625e-01,1.67703e-02,1.65122e-02,0.53
100,6,4.40000e-01,4.16625e-01,1.66424e-02,1.64043e-02,0.53
100,7,4.62400e-01,4.51250e-01,1.65589e-02,1.62855e-02,0.54
100,8,4.80000e-01,4.61750e-01,1.63951e-02,1.61938e-02,0.54
100,9,4.92000e-01,4.71875e-01,1.63424e-02,1.61160e-02,0.54
100,10,4.97000e-01,4.79750e-01,1.62461e-02,1.60524e-02,0.54
100,11,5.00000e-01,4.81750e-01,1.61513e-02,1.59942e-02,0.53
100,12,5.01600e-01,4.84250e-01,1.61171e-02,1.59492e-02,0.53
100,13,5.09200e-01,4.86000e-01,1.60848e-02,1.59096e-02,0.54
100,14,5.07800e-01,4.90250e-01,1.60333e-02,1.58679e-02,0.53
100,15,5.11000e-01,4.90625e-01,1.60319e-02,1.58318e-02,0.54
100,16,5.12800e-01,4.96000e-01,1.59684e-02,1.58025e-02,0.53
100,17,5.16400e-01,4.97500e-01,1.59148e-02,1.57678e-02,0.54
100,18,5.20400e-01,5.00375e-01,1.59150e-02,1.57424e-02,0.53
100,19,5.21200e-01,5.04750e-01,1.58855e-02,1.57189e-02,0.54
100,20,5.23600e-01,5.06625e-01,1.58684e-02,1.56951e-02,0.53
100,21,5.24200e-01,5.06125e-01,1.58469e-02,1.56724e-02,0.53
100,22,5.23800e-01,5.09750e-01,1.57962e-02,1.56528e-02,0.53
100,23,5.27600e-01,5.11000e-01,1.57958e-02,1.56346e-02,0.53
100,24,5.28000e-01,5.11750e-01,1.57528e-02,1.56194e-02,0.53
100,25,5.30800e-01,5.12500e-01,1.57193e-02,1.56020e-02,0.54
100,26,5.34000e-01,5.15125e-01,1.57322e-02,1.55839e-02,0.54
100,27,5.37600e-01,5.15625e-01,1.57230e-02,1.55701e-02,0.54
100,28,5.40800e-01,5.18250e-01,1.56913e-02,1.55573e-02,0.54
100,29,5.42600e-01,5.17000e-01,1.56739e-02,1.55441e-02,0.74
100,30,5.40200e-01,5.19500e-01,1.56648e-02,1.55302e-02,0.74
100,31,5.43600e-01,5.19875e-01,1.56316e-02,1.55180e-02,0.83
100,32,5.44800e-01,5.21500e-01,1.56164e-02,1.55042e-02,0.62
100,33,5.42400e-01,5.21125e-01,1.56220e-02,1.54985e-02,0.55
100,34,5.48000e-01,5.24125e-01,1.55967e-02,1.54849e-02,0.55
100,35,5.49000e-01,5.24250e-01,1.55798e-02,1.54723e-02,0.59
100,36,5.50000e-01,5.24750e-01,1.56182e-02,1.54648e-02,0.67
100,37,5.47600e-01,5.23500e-01,1.55367e-02,1.54580e-02,0.81
100,38,5.43400e-01,5.24750e-01,1.55589e-02,1.54460e-02,0.84
100,39,5.52000e-01,5.24875e-01,1.55870e-02,1.54391e-02,0.82
100,40,5.51200e-01,5.27000e-01,1.55715e-02,1.54308e-02,0.83
100,41,5.51800e-01,5.26875e-01,1.55486e-02,1.54210e-02,0.75
100,42,5.53200e-01,5.27875e-01,1.55146e-02,1.54153e-02,0.62
100,43,5.54600e-01,5.27375e-01,1.55020e-02,1.54054e-02,0.80
100,44,5.56400e-01,5.28750e-01,1.54729e-02,1.54004e-02,0.43
100,45,5.56600e-01,5.32875e-01,1.54832e-02,1.53894e-02,0.43
100,46,5.55600e-01,5.32250e-01,1.54856e-02,1.53839e-02,0.43
100,47,5.62600e-01,5.34375e-01,1.54596e-02,1.53758e-02,0.43
100,48,5.60400e-01,5.32750e-01,1.54829e-02,1.53699e-02,0.44
100,49,5.60600e-01,5.32875e-01,1.54470e-02,1.53651e-02,0.44
100,50,5.63400e-01,5.33125e-01,1.54151e-02,1.53586e-02,0.43
100,51,5.60400e-01,5.33750e-01,1.54819e-02,1.53538e-02,0.44
100,52,5.61200e-01,5.33750e-01,1.54698e-02,1.53476e-02,0.44
100,53,5.63600e-01,5.35125e-01,1.54169e-02,1.53417e-02,0.44
100,54,5.66600e-01,5.35500e-01,1.54405e-02,1.53352e-02,0.71
100,55,5.61400e-01,5.36125e-01,1.54309e-02,1.53317e-02,0.75
100,56,5.64600e-01,5.35750e-01,1.54123e-02,1.53281e-02,0.60
100,57,5.68200e-01,5.37000e-01,1.54171e-02,1.53192e-02,0.46
100,58,5.67800e-01,5.38500e-01,1.54098e-02,1.53150e-02,0.45
100,59,5.67200e-01,5.39750e-01,1.53739e-02,1.53075e-02,0.44
100,60,5.68000e-01,5.38375e-01,1.54122e-02,1.53052e-02,0.44
100,61,5.65800e-01,5.38125e-01,1.53684e-02,1.53067e-02,0.44
100,62,5.67200e-01,5.36125e-01,1.53935e-02,1.53060e-02,0.44
100,63,5.64200e-01,5.38875e-01,1.54073e-02,1.52955e-02,0.43
