pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,4.00860e-01,5.12000e-01,1.38031e-02,1.16484e-02,0.37
300,2,5.27800e-01,5.39800e-01,1.09556e-02,1.06539e-02,0.52
300,3,5.52540e-01,5.59700e-01,1.02943e-02,1.01894e-02,0.33
300,4,5.66420e-01,5.65600e-01,9.93554e-03,9.93552e-03,0.30
300,5,5.73040e-01,5.73500e-01,9.70577e-03,9.72573e-03,0.43
300,6,5.79840e-01,5.80300e-01,9.53052e-03,9.57781e-03,0.31
300,7,5.86500e-01,5.80700e-01,9.39316e-03,9.47726e-03,0.46
300,8,5.90200e-01,5.87200e-01,9.28745e-03,9.37164e-03,0.39
300,9,5.94540e-01,5.92300e-01,9.18656e-03,9.30127e-03,0.30
300,10,5.98300e-01,5.96300e-01,9.10171e-03,9.22286e-03,0.30
300,11,5.99320e-01,5.98300e-01,9.03037e-03,9.14125e-03,0.30
300,12,6.04120e-01,5.97600e-01,8.96745e-03,9.09414e-03,0.30
300,13,6.05800e-01,6.01000e-01,8.90882e-03,9.04304e-03,0.30
300,14,6.07720e-01,6.02400e-01,8.85485e-03,9.00709e-03,0.33
300,15,6.09440e-01,6.07100e-01,8.80991e-03,8.92275e-03,0.52
300,16,6.11620e-01,6.06700e-01,8.75851e-03,8.88965e-03,0.51
300,17,6.13640e-01,6.09300e-01,8.72402e-03,8.86679e-03,0.49
300,18,6.15140e-01,6.08800e-01,8.68404e-03,8.83478e-03,0.55
300,19,6.15180e-01,6.08200e-01,8.64938e-03,8.79326e-03,0.54
300,20,6.18780e-01,6.12300e-01,8.61199e-03,8.76387e-03,0.52
300,21,6.20040e-01,6.15800e-01,8.58006e-03,8.72334e-03,0.52
300,22,6.21060e-01,6.12700e-01,8.55204e-03,8.70757e-03,0.54
300,23,6.22900e-01,6.13900e-01,8.52762e-03,8.69572e-03,0.51
300,24,6.23760e-01,6.15400e-01,8.49760e-03,8.65410e-03,0.50
300,25,6.24660e-01,6.16800e-01,8.47204e-03,8.62480e-03,0.52
300,26,6.25580e-01,6.18000e-01,8.45151e-03,8.62442e-03,0.52
300,27,6.26120e-01,6.14500e-01,8.42890e-03,8.63046e-03,0.51
300,28,6.27780e-01,6.19600e-01,8.40529e-03,8.56529e-03,0.51
300,29,6.29260e-01,6.19700e-01,8.38460e-03,8.55236e-03,0.52
300,30,6.28620e-01,6.20200e-01,8.36388e-03,8.54046e-03,0.54
300,31,6.29160e-01,6.19900e-01,8.34284e-03,8.52455e-03,0.53
300,32,6.30980e-01,6.23200e-01,8.33366e-03,8.49267e-03,0.40
300,33,6.32500e-01,6.21600e-01,8.30660e-03,8.50135e-03,0.36
300,34,6.32260e-01,6.23900e-01,8.29184e-03,8.48243e-03,0.37
300,35,6.34620e-01,6.25300e-01,8.27868e-03,8.44899e-03,0.48
300,36,6.32320e-01,6.24700e-01,8.26301e-03,8.43724e-03,0.51
300,37,6.33680e-01,6.24700e-01,8.24859e-03,8.45100e-03,0.39
300,38,6.35340e-01,6.25000e-01,8.23105e-03,8.41981e-03,0.37
300,39,6.36240e-01,6.30500e-01,8.22035e-03,8.39309e-03,0.47
300,40,6.36080e-01,6.29800e-01,8.20608e-03,8.37822e-03,0.50
300,41,6.36800e-01,6.26800e-01,8.19548e-03,8.37540e-03,0.54
300,42,6.37760e-01,6.26500e-01,8.17533e-03,8.37896e-03,0.52
300,43,6.38540e-01,6.32200e-01,8.16909e-03,8.34997e-03,0.49
300,44,6.38600e-01,6.31700e-01,8.15142e-03,8.34819e-03,0.47
300,45,6.38760e-01,6.30800e-01,8.14358e-03,8.34630e-03,0.30
300,46,6.39500e-01,6.34200e-01,8.13236e-03,8.30822e-03,0.30
300,47,6.41220e-01,6.36300e-01,8.12077e-03,8.31178e-03,0.31
300,48,6.40820e-01,6.28900e-01,8.11147e-03,8.34296e-03,0.30
300,49,6.41200e-01,6.32600e-01,8.10287e-03,8.28832e-03,0.40
300,50,6.42160e-01,6.35900e-01,8.09125e-03,8.28404e-03,0.33
300,51,6.42660e-01,6.36400e-01,8.08500e-03,8.25431e-03,0.32
300,52,6.42380e-01,6.33200e-01,8.06944e-03,8.28053e-03,0.30
300,53,6.43080e-01,6.32600e-01,8.06499e-03,8.27296e-03,0.30
300,54,6.43460e-01,6.37100e-01,8.05269e-03,8.23566e-03,0.30
300,55,6.44220e-01,6.34600e-01,8.04172e-03,8.25419e-03,0.30
300,56,6.43840e-01,6.38200e-01,8.03632e-03,8.21948e-03,0.30
300,57,6.44860e-01,6.36600e-01,8.03110e-03,8.21947e-03,0.41
300,58,6.44980e-01,6.39100e-01,8.01879e-03,8.20808e-03,0.56
300,59,6.46320e-01,6.37800e-01,8.01039e-03,8.19845e-03,0.43
300,60,6.46020e-01,6.35300e-01,8.00096e-03,8.22356e-03,0.30
300,61,6.45000e-01,6.42700e-01,8.00104e-03,8.19314e-03,0.44
300,62,6.47700e-01,6.35200e-01,7.98795e-03,8.20137e-03,0.34
300,63,6.46360e-01,6.40500e-01,7.98448e-03,8.17106e-03,0.30
300,64,6.47320e-01,6.39800e-01,7.97172e-03,8.15434e-03,0.42
300,65,6.46980e-01,6.39300e-01,7.97032e-03,8.17462e-03,0.43
300,66,6.48400e-01,6.38100e-01,7.96158e-03,8.17923e-03,0.32
300,67,6.48700e-01,6.40900e-01,7.95249e-03,8.15797e-03,0.32
300,68,6.49280e-01,6.39700e-01,7.94874e-03,8.14542e-03,0.40
300,69,6.48860e-01,6.37700e-01,7.94043e-03,8.13428e-03,0.52
300,70,6.50660e-01,6.41800e-01,7.93443e-03,8.13629e-03,0.50
300,71,6.49920e-01,6.39200e-01,7.92598e-03,8.13597e-03,0.52
300,72,6.48860e-01,6.41300e-01,7.92526e-03,8.11594e-03,0.42
300,73,6.50060e-01,6.44500e-01,7.91588e-03,8.11170e-03,0.46
