pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,7.11600e-02,1.14600e-01,3.57017e-02,3.58241e-02,3.35
100,2,1.20240e-01,1.28000e-01,3.53942e-02,3.56835e-02,3.36
100,3,1.30680e-01,1.34800e-01,3.52903e-02,3.56022e-02,3.17
100,4,1.37920e-01,1.40900e-01,3.52225e-02,3.55488e-02,2.73
100,5,1.44400e-01,1.45300e-01,3.51708e-02,3.55094e-02,2.73
100,6,1.48160e-01,1.46500e-01,3.51329e-02,3.54812e-02,2.71
100,7,1.51400e-01,1.49200e-01,3.51046e-02,3.54607e-02,2.87
100,8,1.52840e-01,1.50400e-01,3.50802e-02,3.54406e-02,2.74
100,9,1.55920e-01,1.51300e-01,3.50602e-02,3.54294e-02,2.73
100,10,1.57480e-01,1.51700e-01,3.50426e-02,3.54149e-02,2.73
100,11,1.59420e-01,1.53500e-01,3.50246e-02,3.53999e-02,2.76
100,12,1.62940e-01,1.57000e-01,3.50039e-02,3.53814e-02,2.71
100,13,1.65100e-01,1.58300e-01,3.49885e-02,3.53694e-02,3.06
100,14,1.67140e-01,1.58600e-01,3.49743e-02,3.53540e-02,2.80
100,15,1.68580e-01,1.60500e-01,3.49603e-02,3.53454e-02,2.72
100,16,1.71260e-01,1.60600e-01,3.49456e-02,3.53376e-02,3.30
100,17,1.73560e-01,1.63200e-01,3.49248e-02,3.53125e-02,2.99
100,18,1.74440e-01,1.64200e-01,3.49091e-02,3.53119e-02,3.02
100,19,1.76360e-01,1.65100e-01,3.48984e-02,3.52957e-02,2.73
100,20,1.78580e-01,1.65700e-01,3.48859e-02,3.52861e-02,2.72
100,21,1.79720e-01,1.66600e-01,3.48750e-02,3.52799e-02,2.74
100,22,1.80560e-01,1.67500e-01,3.48659e-02,3.52744e-02,2.72
100,23,1.81520e-01,1.68400e-01,3.48574e-02,3.52670e-02,3.18
100,24,1.81800e-01,1.70100e-01,3.48493e-02,3.52577e-02,2.90
100,25,1.83240e-01,1.70900e-01,3.48416e-02,3.52521e-02,2.93
100,26,1.84060e-01,1.71200e-01,3.48342e-02,3.52460e-02,2.86
100,27,1.84900e-01,1.71900e-01,3.48278e-02,3.52382e-02,2.72
100,28,1.85860e-01,1.72800e-01,3.48218e-02,3.52338e-02,2.90
100,29,1.86380e-01,1.73300e-01,3.48150e-02,3.52318e-02,2.76
100,30,1.88060e-01,1.72700e-01,3.48053e-02,3.52276e-02,2.73
100,31,1.88640e-01,1.75000e-01,3.47981e-02,3.52140e-02,2.70
100,32,1.89800e-01,1.75500e-01,3.47902e-02,3.52106e-02,2.81
100,33,1.90780e-01,1.77100e-01,3.47844e-02,3.52002e-02,2.91
100,34,1.91400e-01,1.78200e-01,3.47787e-02,3.51965e-02,3.28
100,35,1.91920e-01,1.77600e-01,3.47721e-02,3.51972e-02,3.23
100,36,1.92720e-01,1.77700e-01,3.47669e-02,3.51914e-02,3.20
100,37,1.93300e-01,1.77700e-01,3.47631e-02,3.51881e-02,2.72
100,38,1.93940e-01,1.78500e-01,3.47580e-02,3.51807e-02,2.73
100,39,1.94460e-01,1.79100e-01,3.47532e-02,3.51790e-02,3.11
100,40,1.95080e-01,1.79600e-01,3.47481e-02,3.51746e-02,3.66
100,41,1.95560e-01,1.79100e-01,3.47440e-02,3.51687e-02,3.71
100,42,1.96200e-01,1.81800e-01,3.47406e-02,3.51682e-02,3.69
100,43,1.96640e-01,1.81300e-01,3.47360e-02,3.51628e-02,3.66
100,44,1.97260e-01,1.81600e-01,3.47325e-02,3.51584e-02,3.73
100,45,1.97600e-01,1.81600e-01,3.47286e-02,3.51584e-02,3.76
100,46,1.97800e-01,1.82700e-01,3.47241e-02,3.51540e-02,3.73
100,47,1.98660e-01,1.81300e-01,3.47218e-02,3.51519e-02,3.72
100,48,1.99220e-01,1.84100e-01,3.47162e-02,3.51398e-02,3.74
100,49,1.99880e-01,1.82800e-01,3.47144e-02,3.51449e-02,3.60
100,50,1.99920e-01,1.84200e-01,3.47120e-02,3.51393e-02,3.23
100,51,1.99640e-01,1.83500e-01,3.47085e-02,3.51389e-02,3.13
100,52,2.00500e-01,1.84900e-01,3.47046e-02,3.51325e-02,3.56
100,53,2.00280e-01,1.85600e-01,3.47030e-02,3.51324e-02,3.71
100,54,2.01380e-01,1.86400e-01,3.46989e-02,3.51310e-02,3.71
100,55,2.01560e-01,1.87200e-01,3.46966e-02,3.51208e-02,3.16
100,56,2.02860e-01,1.89100e-01,3.46878e-02,3.51153e-02,3.12
100,57,2.04480e-01,1.88200e-01,3.46806e-02,3.51106e-02,3.17
100,58,2.04340e-01,1.88900e-01,3.46778e-02,3.51108e-02,3.39
100,59,2.04920e-01,1.87800e-01,3.46741e-02,3.51083e-02,3.75
100,60,2.04900e-01,1.89600e-01,3.46715e-02,3.51030e-02,3.26
100,61,2.05840e-01,1.89000e-01,3.46673e-02,3.51040e-02,3.31
100,62,2.05840e-01,1.89700e-01,3.46646e-02,3.50973e-02,3.13
100,63,2.06700e-01,1.88500e-01,3.46621e-02,3.50994e-02,3.58
100,64,2.05880e-01,1.90400e-01,3.46601e-02,3.50934e-02,3.65
100,65,2.06560e-01,1.90800e-01,3.46569e-02,3.50891e-02,3.52
100,66,2.07040e-01,1.89200e-01,3.46549e-02,3.50941e-02,3.74
100,67,2.08100e-01,1.89700e-01,3.46511e-02,3.50954e-02,3.27
100,68,2.07740e-01,1.90700e-01,3.46493e-02,3.50862e-02,3.12
100,69,2.08480e-01,1.92900e-01,3.46467e-02,3.50797e-02,3.14
100,70,2.08700e-01,1.92500e-01,3.46444e-02,3.50786e-02,3.13
100,71,2.09000e-01,1.92500e-01,3.46413e-02,3.50810e-02,3.15
100,72,2.08980e-01,1.93300e-01,3.46389e-02,3.50755e-02,3.28
100,73,2.09080e-01,1.93800e-01,3.46365e-02,3.50738e-02,3.59
100,74,2.10140e-01,1.93300e-01,3.46336e-02,3.50744e-02,3.13
100,75,2.09600e-01,1.94100e-01,3.46329e-02,3.50698e-02,3.36
100,76,2.09940e-01,1.91500e-01,3.46298e-02,3.50714e-02,3.11
100,77,2.10920e-01,1.94700e-01,3.46285e-02,3.50658e-02,3.14
100,78,2.11060e-01,1.93400e-01,3.46258e-02,3.50692e-02,3.13
100,79,2.11400e-01,1.94700e-01,3.46246e-02,3.50661e-02,3.13
100,80,2.11280e-01,1.94000e-01,3.46219e-02,3.50666e-02,3.50
100,81,2.11720e-01,1.94100e-01,3.46208e-02,3.50596e-02,3.72
100,82,2.12540e-01,1.95200e-01,3.46174e-02,3.50607e-02,3.73
100,83,2.11680e-01,1.94600e-01,3.46159e-02,3.50573e-02,3.71
100,84,2.12020e-01,1.95200e-01,3.46145e-02,3.50587e-02,3.51
100,85,2.12860e-01,1.95600e-01,3.46130e-02,3.50551e-02,3.15
100,86,2.13380e-01,1.96300e-01,3.46109e-02,3.50516e-02,3.23
100,87,2.13340e-01,1.96300e-01,3.46111e-02,3.50539e-02,3.12
100,88,2.13800e-01,1.95700e-01,3.46076e-02,3.50541e-02,3.25
100,89,2.13780e-01,1.96700e-01,3.46064e-02,3.50482e-02,3.44
100,90,2.13640e-01,1.94900e-01,3.46045e-02,3.50506e-02,3.53
100,91,2.14300e-01,1.94600e-01,3.46034e-02,3.50488e-02,3.26
100,92,2.14600e-01,1.97200e-01,3.46007e-02,3.50471e-02,3.43
100,93,2.14680e-01,1.96100e-01,3.46001e-02,3.50483e-02,3.12
100,94,2.14240e-01,1.97000e-01,3.45984e-02,3.50412e-02,3.52
100,95,2.14540e-01,1.96700e-01,3.45976e-02,3.50416e-02,3.72
100,96,2.14760e-01,1.96400e-01,3.45944e-02,3.50432e-02,3.69
100,97,2.14980e-01,1.95900e-01,3.45941e-02,3.50455e-02,3.40
100,98,2.15180e-01,1.97500e-01,3.45932e-02,3.50423e-02,3.13
100,99,2.15060e-01,1.95800e-01,3.45915e-02,3.50431e-02,3.42
100,100,2.15420e-01,1.97800e-01,3.45904e-02,3.50334e-02,3.26
100,101,2.15600e-01,1.97300e-01,3.45886e-02,3.50357e-02,3.33
100,102,2.15600e-01,1.96100e-01,3.45876e-02,3.50373e-02,3.33
100,103,2.16140e-01,1.95500e-01,3.45861e-02,3.50354e-02,3.38
100,104,2.15880e-01,1.96500e-01,3.45840e-02,3.50365e-02,3.13
100,105,2.16800e-01,1.95800e-01,3.45830e-02,3.50356e-02,3.13
100,106,2.16900e-01,1.97900e-01,3.45813e-02,3.50327e-02,3.43
100,107,2.17140e-01,1.97800e-01,3.45810e-02,3.50312e-02,3.70
100,108,2.17460e-01,1.98500e-01,3.45782e-02,3.50313e-02,3.39
100,109,2.17480e-01,1.96800e-01,3.45779e-02,3.50320e-02,3.40
100,110,2.17500e-01,1.96400e-01,3.45765e-02,3.50317e-02,3.39
100,111,2.17780e-01,1.98600e-01,3.45761e-02,3.50285e-02,3.52
100,112,2.17220e-01,1.98400e-01,3.45752e-02,3.50298e-02,3.12
100,113,2.17740e-01,1.96900e-01,3.45731e-02,3.50326e-02,3.13
100,114,2.17800e-01,1.98800e-01,3.45716e-02,3.50284e-02,3.13
100,115,2.18120e-01,1.98200e-01,3.45696e-02,3.50270e-02,3.15
100,116,2.18780e-01,1.98900e-01,3.45683e-02,3.50273e-02,3.11
100,117,2.18540e-01,1.98500e-01,3.45683e-02,3.50245e-02,3.19
100,118,2.18600e-01,1.98100e-01,3.45672e-02,3.50213e-02,3.37
100,119,2.18700e-01,1.98200e-01,3.45663e-02,3.50274e-02,3.12
100,120,2.18740e-01,1.97500e-01,3.45643e-02,3.50250e-02,3.13
100,121,2.18920e-01,1.98000e-01,3.45638e-02,3.50208e-02,3.23
100,122,2.19460e-01,2.00700e-01,3.45615e-02,3.50200e-02,3.13
100,123,2.19480e-01,1.98400e-01,3.45620e-02,3.50222e-02,3.12
100,124,2.19440e-01,1.99800e-01,3.45607e-02,3.50192e-02,3.14
100,125,2.19060e-01,2.00100e-01,3.45597e-02,3.50149e-02,3.12
100,126,2.19840e-01,1.99500e-01,3.45589e-02,3.50197e-02,3.49
100,127,2.19280e-01,1.98500e-01,3.45576e-02,3.50197e-02,3.16
100,128,2.19480e-01,2.00300e-01,3.45571e-02,3.50161e-02,3.12
