epoch,loss,cross_mse,loss_itself
1,1.140020e-02,0.000000e+00,0.000000e+00
2,4.430352e-03,0.000000e+00,0.000000e+00
3,3.203797e-03,0.000000e+00,0.000000e+00
4,3.118682e-03,0.000000e+00,0.000000e+00
5,2.943920e-03,0.000000e+00,0.000000e+00
6,2.762800e-03,0.000000e+00,0.000000e+00
7,2.559774e-03,0.000000e+00,0.000000e+00
8,2.429381e-03,0.000000e+00,0.000000e+00
9,2.391410e-03,0.000000e+00,0.000000e+00
10,2.399016e-03,0.000000e+00,0.000000e+00
11,2.387697e-03,0.000000e+00,0.000000e+00
12,2.391001e-03,0.000000e+00,0.000000e+00
13,2.474497e-03,0.000000e+00,0.000000e+00
14,2.560187e-03,0.000000e+00,0.000000e+00
15,2.634048e-03,0.000000e+00,0.000000e+00
16,2.754935e-03,0.000000e+00,0.000000e+00
17,2.904495e-03,0.000000e+00,0.000000e+00
18,3.070655e-03,0.000000e+00,0.000000e+00
19,3.230536e-03,0.000000e+00,0.000000e+00
20,3.395178e-03,0.000000e+00,0.000000e+00
21,3.567098e-03,0.000000e+00,0.000000e+00
22,3.747873e-03,0.000000e+00,0.000000e+00
23,3.915580e-03,0.000000e+00,0.000000e+00
24,4.114968e-03,0.000000e+00,0.000000e+00
25,4.335770e-03,0.000000e+00,0.000000e+00
26,4.516092e-03,0.000000e+00,0.000000e+00
27,4.685629e-03,0.000000e+00,0.000000e+00
28,4.913075e-03,0.000000e+00,0.000000e+00
29,5.100799e-03,0.000000e+00,0.000000e+00
30,5.257864e-03,0.000000e+00,0.000000e+00
31,5.381825e-03,0.000000e+00,0.000000e+00
32,5.533967e-03,0.000000e+00,0.000000e+00
33,5.708592e-03,0.000000e+00,0.000000e+00
34,5.844981e-03,0.000000e+00,0.000000e+00
35,5.937673e-03,0.000000e+00,0.000000e+00
36,6.077714e-03,0.000000e+00,0.000000e+00
37,6.172728e-03,0.000000e+00,0.000000e+00
38,6.248542e-03,0.000000e+00,0.000000e+00
39,6.346662e-03,0.000000e+00,0.000000e+00
40,6.393161e-03,0.000000e+00,0.000000e+00
41,6.499353e-03,0.000000e+00,0.000000e+00
42,6.524586e-03,0.000000e+00,0.000000e+00
43,6.602172e-03,0.000000e+00,0.000000e+00
44,6.640158e-03,0.000000e+00,0.000000e+00
45,6.641618e-03,0.000000e+00,0.000000e+00
46,6.676352e-03,0.000000e+00,0.000000e+00
47,6.713770e-03,0.000000e+00,0.000000e+00
48,6.721772e-03,0.000000e+00,0.000000e+00
49,6.735473e-03,0.000000e+00,0.000000e+00
50,6.762889e-03,0.000000e+00,0.000000e+00
51,6.780225e-03,0.000000e+00,0.000000e+00
52,6.771751e-03,0.000000e+00,0.000000e+00
53,6.798217e-03,0.000000e+00,0.000000e+00
54,6.763716e-03,0.000000e+00,0.000000e+00
55,6.773804e-03,0.000000e+00,0.000000e+00
56,6.810570e-03,0.000000e+00,0.000000e+00
57,6.823305e-03,0.000000e+00,0.000000e+00
58,6.818700e-03,0.000000e+00,0.000000e+00
59,6.769955e-03,0.000000e+00,0.000000e+00
60,6.782455e-03,0.000000e+00,0.000000e+00
61,6.809125e-03,0.000000e+00,0.000000e+00
62,6.800867e-03,0.000000e+00,0.000000e+00
63,6.792843e-03,0.000000e+00,0.000000e+00
64,6.764389e-03,0.000000e+00,0.000000e+00
65,6.673442e-03,0.000000e+00,0.000000e+00
66,6.682252e-03,0.000000e+00,0.000000e+00
67,6.687377e-03,0.000000e+00,0.000000e+00
68,6.676344e-03,0.000000e+00,0.000000e+00
69,6.635171e-03,0.000000e+00,0.000000e+00
70,6.647568e-03,0.000000e+00,0.000000e+00
71,6.618884e-03,0.000000e+00,0.000000e+00
72,6.612503e-03,0.000000e+00,0.000000e+00
73,6.589645e-03,0.000000e+00,0.000000e+00
74,6.553609e-03,0.000000e+00,0.000000e+00
75,6.551763e-03,0.000000e+00,0.000000e+00
