pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
10,1,1.81600e-01,2.36250e-01,1.82027e-02,0.78
10,2,2.54000e-01,2.67625e-01,1.77311e-02,0.63
10,3,2.80400e-01,2.97750e-01,1.74899e-02,0.54
10,4,3.05800e-01,3.07625e-01,1.73787e-02,0.54
10,5,3.18200e-01,3.22375e-01,1.73121e-02,0.54
10,6,3.33000e-01,3.19750e-01,1.72066e-02,0.54
10,7,3.25200e-01,3.24250e-01,1.71685e-02,0.54
10,8,3.38400e-01,3.34500e-01,1.71628e-02,0.71
10,9,3.40000e-01,3.29500e-01,1.71056e-02,0.82
10,10,3.38800e-01,3.35500e-01,1.70846e-02,0.82
10,11,3.40200e-01,3.35750e-01,1.70699e-02,0.82
10,12,3.42200e-01,3.33625e-01,1.70379e-02,0.63
10,13,3.45600e-01,3.32375e-01,1.70123e-02,0.55
10,14,3.52400e-01,3.39250e-01,1.69952e-02,0.55
10,15,3.49800e-01,3.37125e-01,1.69367e-02,0.55
10,16,3.51000e-01,3.36125e-01,1.69788e-02,0.55
10,17,3.55400e-01,3.39625e-01,1.69794e-02,0.55
10,18,3.54400e-01,3.36500e-01,1.69463e-02,0.55
10,19,3.60800e-01,3.36625e-01,1.69035e-02,0.55
10,20,3.52200e-01,3.38375e-01,1.69606e-02,0.55
10,21,3.56000e-01,3.38125e-01,1.69481e-02,0.55
10,22,3.58200e-01,3.41375e-01,1.69201e-02,0.55
10,23,3.56800e-01,3.43125e-01,1.68907e-02,0.55
10,24,3.59600e-01,3.43000e-01,1.68901e-02,0.55
10,25,3.62400e-01,3.39375e-01,1.68979e-02,0.55
10,26,3.57800e-01,3.41875e-01,1.68387e-02,0.55
10,27,3.64200e-01,3.42750e-01,1.68776e-02,0.71
10,28,3.58600e-01,3.40125e-01,1.68291e-02,0.81
10,29,3.64600e-01,3.45500e-01,1.68286e-02,0.83
10,30,3.64000e-01,3.42250e-01,1.68449e-02,0.74
10,31,3.61600e-01,3.45750e-01,1.68178e-02,0.73
10,32,3.64000e-01,3.46125e-01,1.68485e-02,0.74
10,33,3.61800e-01,3.45875e-01,1.68512e-02,0.72
10,34,3.64400e-01,3.46000e-01,1.68154e-02,0.74
10,35,3.67400e-01,3.41500e-01,1.67837e-02,0.74
10,36,3.65600e-01,3.46750e-01,1.67966e-02,0.73
10,37,3.69600e-01,3.45625e-01,1.68337e-02,0.73
10,38,3.69800e-01,3.46750e-01,1.67833e-02,0.67
10,39,3.64600e-01,3.45750e-01,1.68078e-02,0.54
10,40,3.66400e-01,3.51000e-01,1.67861e-02,0.54
10,41,3.69600e-01,3.42750e-01,1.67858e-02,0.54
10,42,3.69000e-01,3.49375e-01,1.67898e-02,0.54
10,43,3.67600e-01,3.47375e-01,1.67552e-02,0.54
10,44,3.71600e-01,3.51000e-01,1.68167e-02,0.54
10,45,3.67600e-01,3.48625e-01,1.68047e-02,0.54
10,46,3.70200e-01,3.48625e-01,1.67872e-02,0.54
10,47,3.71800e-01,3.45125e-01,1.67147e-02,0.54
10,48,3.73200e-01,3.47375e-01,1.67820e-02,0.54
10,49,3.69000e-01,3.46750e-01,1.67835e-02,0.54
10,50,3.73000e-01,3.46750e-01,1.67876e-02,0.54
10,51,3.76000e-01,3.47000e-01,1.67519e-02,0.54
10,52,3.71200e-01,3.51375e-01,1.67625e-02,0.54
10,53,3.74000e-01,3.48250e-01,1.67474e-02,0.54
10,54,3.73000e-01,3.50250e-01,1.68156e-02,0.54
10,55,3.70000e-01,3.50875e-01,1.67794e-02,0.56
10,56,3.77000e-01,3.51000e-01,1.67467e-02,0.55
10,57,3.76400e-01,3.49375e-01,1.67575e-02,0.68
10,58,3.74000e-01,3.50500e-01,1.67894e-02,0.82
10,59,3.77800e-01,3.50750e-01,1.67000e-02,0.83
10,60,3.73400e-01,3.50625e-01,1.67523e-02,0.76
10,61,3.74200e-01,3.51250e-01,1.67394e-02,0.79
10,62,3.73800e-01,3.47625e-01,1.67472e-02,0.82
10,63,3.71600e-01,3.50375e-01,1.67493e-02,0.82
10,64,3.79200e-01,3.49375e-01,1.67333e-02,0.83
10,65,3.77000e-01,3.51125e-01,1.66877e-02,0.76
10,66,3.75400e-01,3.50750e-01,1.67158e-02,0.72
10,67,3.77800e-01,3.49500e-01,1.67654e-02,0.74
10,68,3.77600e-01,3.52000e-01,1.67188e-02,0.60
10,69,3.75800e-01,3.53250e-01,1.67398e-02,0.54
10,70,3.77200e-01,3.54000e-01,1.66906e-02,0.54
10,71,3.73600e-01,3.51000e-01,1.67324e-02,0.54
10,72,3.76600e-01,3.52750e-01,1.66935e-02,0.54
10,73,3.78800e-01,3.53250e-01,1.67559e-02,0.54
10,74,3.77600e-01,3.51375e-01,1.67509e-02,0.54
10,75,3.77200e-01,3.50000e-01,1.67166e-02,0.54
10,76,3.77600e-01,3.54000e-01,1.67361e-02,0.54
10,77,3.79800e-01,3.51625e-01,1.67115e-02,0.54
10,78,3.77200e-01,3.51875e-01,1.66698e-02,0.54
10,79,3.76000e-01,3.52000e-01,1.67118e-02,0.54
10,80,3.75800e-01,3.51750e-01,1.67038e-02,0.54
10,81,3.75200e-01,3.52000e-01,1.67371e-02,0.54
10,82,3.83400e-01,3.55125e-01,1.66622e-02,0.54
10,83,3.82400e-01,3.52625e-01,1.66872e-02,0.74
10,84,3.76600e-01,3.53000e-01,1.67275e-02,0.83
10,85,3.79400e-01,3.55750e-01,1.67302e-02,0.77
10,86,3.82400e-01,3.54750e-01,1.67129e-02,0.85
10,87,3.80600e-01,3.55625e-01,1.66978e-02,0.84
10,88,3.81200e-01,3.56250e-01,1.66874e-02,0.84
10,89,3.79200e-01,3.53625e-01,1.67041e-02,0.84
10,90,3.79800e-01,3.54875e-01,1.66547e-02,0.85
10,91,3.78200e-01,3.54500e-01,1.67099e-02,0.84
10,92,3.81600e-01,3.56250e-01,1.66393e-02,0.84
10,93,3.82200e-01,3.55875e-01,1.66375e-02,0.88
10,94,3.82000e-01,3.54500e-01,1.67100e-02,0.84
10,95,3.87200e-01,3.55000e-01,1.66175e-02,0.86
10,96,3.79800e-01,3.55500e-01,1.66494e-02,0.85
10,97,3.83400e-01,3.55250e-01,1.66593e-02,0.84
10,98,3.82000e-01,3.56500e-01,1.66970e-02,0.83
10,99,3.82200e-01,3.53875e-01,1.66811e-02,0.83
10,100,3.79400e-01,3.54500e-01,1.66571e-02,0.84
10,101,3.82000e-01,3.54125e-01,1.66769e-02,0.76
10,102,3.86000e-01,3.56500e-01,1.66530e-02,0.76
10,103,3.84600e-01,3.53000e-01,1.66462e-02,0.76
10,104,3.85600e-01,3.56250e-01,1.66750e-02,0.76
10,105,3.86400e-01,3.56250e-01,1.66816e-02,0.75
