epoch,loss,cross_mse,loss_itself
1,1.403913e-01,0.000000e+00,0.000000e+00
2,5.090585e-02,0.000000e+00,0.000000e+00
3,4.972874e-02,0.000000e+00,0.000000e+00
4,4.974871e-02,0.000000e+00,0.000000e+00
5,4.621462e-02,0.000000e+00,0.000000e+00
6,4.534258e-02,0.000000e+00,0.000000e+00
7,4.287086e-02,0.000000e+00,0.000000e+00
8,4.217823e-02,0.000000e+00,0.000000e+00
9,4.072168e-02,0.000000e+00,0.000000e+00
10,3.992828e-02,0.000000e+00,0.000000e+00
11,3.982798e-02,0.000000e+00,0.000000e+00
12,4.066054e-02,0.000000e+00,0.000000e+00
13,4.115808e-02,0.000000e+00,0.000000e+00
14,4.165849e-02,0.000000e+00,0.000000e+00
15,4.354523e-02,0.000000e+00,0.000000e+00
16,4.527714e-02,0.000000e+00,0.000000e+00
17,4.891650e-02,0.000000e+00,0.000000e+00
18,5.163283e-02,0.000000e+00,0.000000e+00
19,5.433510e-02,0.000000e+00,0.000000e+00
20,5.667085e-02,0.000000e+00,0.000000e+00
21,6.124769e-02,0.000000e+00,0.000000e+00
22,6.448300e-02,0.000000e+00,0.000000e+00
23,6.803454e-02,0.000000e+00,0.000000e+00
24,7.123305e-02,0.000000e+00,0.000000e+00
25,7.560298e-02,0.000000e+00,0.000000e+00
26,8.024810e-02,0.000000e+00,0.000000e+00
27,8.440016e-02,0.000000e+00,0.000000e+00
28,8.756122e-02,0.000000e+00,0.000000e+00
29,9.119602e-02,0.000000e+00,0.000000e+00
30,9.406628e-02,0.000000e+00,0.000000e+00
31,9.715665e-02,0.000000e+00,0.000000e+00
32,1.012801e-01,0.000000e+00,0.000000e+00
33,1.036488e-01,0.000000e+00,0.000000e+00
34,1.069209e-01,0.000000e+00,0.000000e+00
35,1.097172e-01,0.000000e+00,0.000000e+00
36,1.121454e-01,0.000000e+00,0.000000e+00
37,1.146152e-01,0.000000e+00,0.000000e+00
38,1.166877e-01,0.000000e+00,0.000000e+00
39,1.187851e-01,0.000000e+00,0.000000e+00
40,1.210932e-01,0.000000e+00,0.000000e+00
41,1.216523e-01,0.000000e+00,0.000000e+00
42,1.241654e-01,0.000000e+00,0.000000e+00
43,1.241859e-01,0.000000e+00,0.000000e+00
44,1.255224e-01,0.000000e+00,0.000000e+00
45,1.272339e-01,0.000000e+00,0.000000e+00
46,1.275742e-01,0.000000e+00,0.000000e+00
47,1.287437e-01,0.000000e+00,0.000000e+00
48,1.292343e-01,0.000000e+00,0.000000e+00
49,1.303304e-01,0.000000e+00,0.000000e+00
50,1.306861e-01,0.000000e+00,0.000000e+00
51,1.307851e-01,0.000000e+00,0.000000e+00
52,1.315752e-01,0.000000e+00,0.000000e+00
53,1.314349e-01,0.000000e+00,0.000000e+00
54,1.323048e-01,0.000000e+00,0.000000e+00
55,1.324093e-01,0.000000e+00,0.000000e+00
56,1.310981e-01,0.000000e+00,0.000000e+00
57,1.315861e-01,0.000000e+00,0.000000e+00
58,1.317054e-01,0.000000e+00,0.000000e+00
59,1.321567e-01,0.000000e+00,0.000000e+00
60,1.320458e-01,0.000000e+00,0.000000e+00
61,1.317549e-01,0.000000e+00,0.000000e+00
62,1.306723e-01,0.000000e+00,0.000000e+00
63,1.310143e-01,0.000000e+00,0.000000e+00
64,1.307824e-01,0.000000e+00,0.000000e+00
65,1.308428e-01,0.000000e+00,0.000000e+00
66,1.305280e-01,0.000000e+00,0.000000e+00
67,1.300126e-01,0.000000e+00,0.000000e+00
68,1.297550e-01,0.000000e+00,0.000000e+00
69,1.293508e-01,0.000000e+00,0.000000e+00
70,1.284347e-01,0.000000e+00,0.000000e+00
71,1.282820e-01,0.000000e+00,0.000000e+00
72,1.275799e-01,0.000000e+00,0.000000e+00
73,1.276052e-01,0.000000e+00,0.000000e+00
74,1.279303e-01,0.000000e+00,0.000000e+00
75,1.277564e-01,0.000000e+00,0.000000e+00
