pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
10,1,1.50200e-01,1.97000e-01,1.82804e-02,0.49
10,2,2.41600e-01,2.85625e-01,1.78085e-02,0.79
10,3,2.97400e-01,3.01250e-01,1.74981e-02,0.80
10,4,3.13600e-01,3.30875e-01,1.73125e-02,0.80
10,5,3.43600e-01,3.38750e-01,1.71617e-02,0.81
10,6,3.48200e-01,3.47250e-01,1.70899e-02,0.80
10,7,3.52200e-01,3.49500e-01,1.70118e-02,0.79
10,8,3.61800e-01,3.48625e-01,1.69368e-02,0.74
10,9,3.66800e-01,3.59750e-01,1.69014e-02,0.78
10,10,3.67800e-01,3.55250e-01,1.68868e-02,0.74
10,11,3.71200e-01,3.64625e-01,1.68399e-02,0.72
10,12,3.74800e-01,3.63250e-01,1.68240e-02,0.58
10,13,3.81800e-01,3.61250e-01,1.68025e-02,0.49
10,14,3.77000e-01,3.68000e-01,1.67972e-02,0.48
10,15,3.76800e-01,3.62625e-01,1.67347e-02,0.67
10,16,3.79000e-01,3.71875e-01,1.67371e-02,0.69
10,17,3.82800e-01,3.72250e-01,1.67246e-02,0.69
10,18,3.83000e-01,3.68875e-01,1.67255e-02,0.70
10,19,3.86400e-01,3.70875e-01,1.66737e-02,0.68
10,20,3.87000e-01,3.69250e-01,1.66934e-02,0.67
10,21,3.87800e-01,3.72500e-01,1.66658e-02,0.68
10,22,3.86800e-01,3.73750e-01,1.66545e-02,0.64
10,23,3.92800e-01,3.77375e-01,1.66620e-02,0.48
10,24,3.97200e-01,3.73375e-01,1.66341e-02,0.41
10,25,3.90000e-01,3.74500e-01,1.66153e-02,0.41
10,26,4.00600e-01,3.78375e-01,1.66060e-02,0.41
10,27,3.97400e-01,3.78125e-01,1.65689e-02,0.61
10,28,3.96600e-01,3.75375e-01,1.66175e-02,0.66
10,29,4.04000e-01,3.79500e-01,1.65877e-02,0.68
10,30,4.01600e-01,3.77750e-01,1.66181e-02,0.70
10,31,4.02800e-01,3.78750e-01,1.65819e-02,0.71
10,32,4.00800e-01,3.79500e-01,1.66276e-02,0.69
10,33,4.06400e-01,3.79500e-01,1.65515e-02,0.68
10,34,4.00000e-01,3.81375e-01,1.65876e-02,0.66
10,35,4.04400e-01,3.79500e-01,1.65351e-02,0.70
10,36,4.08200e-01,3.77750e-01,1.65179e-02,0.43
10,37,4.04600e-01,3.84250e-01,1.65818e-02,0.42
10,38,4.07400e-01,3.81375e-01,1.64938e-02,0.42
10,39,4.06000e-01,3.81375e-01,1.65331e-02,0.41
10,40,4.09800e-01,3.81125e-01,1.65362e-02,0.42
10,41,4.08800e-01,3.83250e-01,1.65415e-02,0.60
10,42,4.12400e-01,3.82750e-01,1.65168e-02,0.70
10,43,4.12400e-01,3.83625e-01,1.64801e-02,0.67
10,44,4.08400e-01,3.81750e-01,1.65035e-02,0.68
10,45,4.12200e-01,3.85500e-01,1.65034e-02,0.69
10,46,4.11400e-01,3.84625e-01,1.65187e-02,0.66
10,47,4.13800e-01,3.83625e-01,1.65049e-02,0.64
10,48,4.14800e-01,3.85250e-01,1.64994e-02,0.73
10,49,4.14200e-01,3.85250e-01,1.64702e-02,0.79
10,50,4.12200e-01,3.85875e-01,1.64738e-02,0.75
10,51,4.13400e-01,3.84000e-01,1.65123e-02,0.73
10,52,4.12000e-01,3.83250e-01,1.65023e-02,0.73
10,53,4.16400e-01,3.84750e-01,1.64313e-02,0.74
10,54,4.17800e-01,3.90250e-01,1.64461e-02,0.74
10,55,4.18200e-01,3.89750e-01,1.64635e-02,0.79
10,56,4.20600e-01,3.88625e-01,1.64390e-02,0.79
10,57,4.21800e-01,3.87000e-01,1.64678e-02,0.79
10,58,4.19000e-01,3.91125e-01,1.64610e-02,0.79
10,59,4.17200e-01,3.90125e-01,1.64358e-02,0.79
10,60,4.14800e-01,3.89250e-01,1.64437e-02,0.79
10,61,4.16800e-01,3.89000e-01,1.64240e-02,0.79
10,62,4.21400e-01,3.90500e-01,1.64221e-02,0.61
10,63,4.19400e-01,3.89750e-01,1.64376e-02,0.53
10,64,4.20000e-01,3.89750e-01,1.64391e-02,0.53
10,65,4.23000e-01,3.89125e-01,1.63888e-02,0.54
10,66,4.20400e-01,3.88125e-01,1.64231e-02,0.80
10,67,4.25000e-01,3.89625e-01,1.64023e-02,0.81
10,68,4.22200e-01,3.90000e-01,1.64019e-02,0.62
10,69,4.22800e-01,3.89750e-01,1.63994e-02,0.53
10,70,4.24200e-01,3.91500e-01,1.64074e-02,0.48
10,71,4.18600e-01,3.92625e-01,1.64148e-02,0.48
10,72,4.21200e-01,3.91750e-01,1.63945e-02,0.48
10,73,4.23400e-01,3.89375e-01,1.63691e-02,0.48
10,74,4.25400e-01,3.91875e-01,1.63526e-02,0.50
10,75,4.21000e-01,3.91125e-01,1.63453e-02,0.48
10,76,4.25800e-01,3.89750e-01,1.64139e-02,0.48
10,77,4.23600e-01,3.90375e-01,1.63883e-02,0.67
10,78,4.24000e-01,3.90500e-01,1.63989e-02,0.74
10,79,4.26800e-01,3.91500e-01,1.63902e-02,0.74
10,80,4.26600e-01,3.92375e-01,1.63264e-02,0.72
10,81,4.25200e-01,3.94875e-01,1.63866e-02,0.72
10,82,4.23600e-01,3.92000e-01,1.63602e-02,0.75
10,83,4.26600e-01,3.95875e-01,1.63524e-02,0.78
10,84,4.27600e-01,3.93750e-01,1.63446e-02,0.78
10,85,4.29800e-01,3.92375e-01,1.63457e-02,0.78
10,86,4.28600e-01,3.93625e-01,1.63874e-02,0.78
10,87,4.26800e-01,3.94125e-01,1.63688e-02,0.78
10,88,4.27200e-01,3.92750e-01,1.63856e-02,0.72
10,89,4.27000e-01,3.94625e-01,1.63611e-02,0.72
10,90,4.30000e-01,3.93875e-01,1.63597e-02,0.74
10,91,4.29600e-01,3.95125e-01,1.63619e-02,0.79
10,92,4.31600e-01,3.95250e-01,1.63736e-02,0.79
10,93,4.33000e-01,3.97000e-01,1.63475e-02,0.79
10,94,4.31200e-01,3.95250e-01,1.63769e-02,0.79
10,95,4.34400e-01,3.96500e-01,1.62994e-02,0.75
10,96,4.30400e-01,3.96875e-01,1.63313e-02,0.74
10,97,4.30200e-01,3.97625e-01,1.62896e-02,0.73
10,98,4.34800e-01,3.97125e-01,1.62887e-02,0.54
10,99,4.28400e-01,3.95250e-01,1.63097e-02,0.74
10,100,4.32200e-01,3.96875e-01,1.63163e-02,0.74
10,101,4.34800e-01,3.99000e-01,1.63440e-02,0.74
10,102,4.31400e-01,3.94375e-01,1.63305e-02,0.74
10,103,4.34600e-01,3.98375e-01,1.63129e-02,0.73
10,104,4.33600e-01,3.97250e-01,1.63030e-02,0.72
10,105,4.33000e-01,3.95875e-01,1.63755e-02,0.64
10,106,4.32400e-01,3.98125e-01,1.63088e-02,0.49
10,107,4.35000e-01,3.96125e-01,1.63488e-02,0.45
10,108,4.36800e-01,3.97500e-01,1.62874e-02,0.63
10,109,4.35600e-01,3.96875e-01,1.63303e-02,0.54
10,110,4.33800e-01,3.98125e-01,1.63455e-02,0.48
10,111,4.35400e-01,3.99125e-01,1.63078e-02,0.48
10,112,4.36400e-01,3.98250e-01,1.63268e-02,0.48
10,113,4.36000e-01,3.99750e-01,1.63059e-02,0.48
10,114,4.36000e-01,3.97375e-01,1.63033e-02,0.48
10,115,4.39600e-01,3.97875e-01,1.62578e-02,0.48
10,116,4.38000e-01,3.99500e-01,1.62697e-02,0.48
10,117,4.34600e-01,3.97500e-01,1.63229e-02,0.48
10,118,4.39200e-01,3.99500e-01,1.63034e-02,0.48
10,119,4.36600e-01,4.00000e-01,1.62920e-02,0.48
10,120,4.36600e-01,3.99000e-01,1.62799e-02,0.48
10,121,4.38200e-01,4.01375e-01,1.62646e-02,0.48
10,122,4.37200e-01,3.97000e-01,1.62661e-02,0.48
10,123,4.36600e-01,4.01625e-01,1.62529e-02,0.48
10,124,4.42800e-01,4.00625e-01,1.62514e-02,0.50
10,125,4.38200e-01,4.00125e-01,1.62545e-02,0.48
10,126,4.42600e-01,4.00125e-01,1.63057e-02,0.48
10,127,4.39600e-01,3.99375e-01,1.62436e-02,0.48
10,128,4.38600e-01,4.01375e-01,1.62850e-02,0.48
10,129,4.40200e-01,3.99875e-01,1.63034e-02,0.48
10,130,4.42200e-01,4.02000e-01,1.62608e-02,0.48
10,131,4.38400e-01,3.99750e-01,1.62402e-02,0.48
10,132,4.41600e-01,4.00750e-01,1.62881e-02,0.48
10,133,4.41800e-01,4.01750e-01,1.62088e-02,0.48
10,134,4.43200e-01,3.98250e-01,1.62802e-02,0.49
10,135,4.38000e-01,4.00125e-01,1.62904e-02,0.64
10,136,4.39200e-01,4.00125e-01,1.62296e-02,0.68
10,137,4.41800e-01,4.02375e-01,1.62571e-02,0.69
10,138,4.40800e-01,4.02625e-01,1.62638e-02,0.74
10,139,4.44200e-01,4.02000e-01,1.62282e-02,0.74
10,140,4.41200e-01,4.03750e-01,1.62883e-02,0.76
10,141,4.43800e-01,4.01250e-01,1.62207e-02,0.80
10,142,4.46000e-01,4.02125e-01,1.62064e-02,0.80
10,143,4.41400e-01,3.99875e-01,1.62921e-02,0.79
10,144,4.42600e-01,4.04750e-01,1.62383e-02,0.70
10,145,4.42400e-01,4.01625e-01,1.62626e-02,0.79
10,146,4.44200e-01,4.03875e-01,1.62614e-02,0.79
10,147,4.37600e-01,4.05250e-01,1.62835e-02,0.80
10,148,4.46600e-01,4.01125e-01,1.62008e-02,0.78
10,149,4.46400e-01,4.04500e-01,1.62026e-02,0.49
10,150,4.43800e-01,4.03750e-01,1.62015e-02,0.48
10,151,4.43600e-01,4.03625e-01,1.61909e-02,0.67
10,152,4.47000e-01,4.04375e-01,1.62077e-02,0.75
10,153,4.44000e-01,4.03250e-01,1.62493e-02,0.75
10,154,4.41800e-01,4.03375e-01,1.62683e-02,0.79
10,155,4.43800e-01,4.03625e-01,1.62338e-02,0.80
10,156,4.47400e-01,4.01375e-01,1.61806e-02,0.79
10,157,4.43600e-01,4.04250e-01,1.62296e-02,0.76
10,158,4.45000e-01,4.03500e-01,1.62158e-02,0.56
10,159,4.44400e-01,4.02000e-01,1.62314e-02,0.53
10,160,4.43400e-01,4.03000e-01,1.61638e-02,0.53
10,161,4.47400e-01,4.06125e-01,1.62173e-02,0.53
10,162,4.46400e-01,4.03750e-01,1.62054e-02,0.53
10,163,4.46600e-01,4.03375e-01,1.62373e-02,0.53
10,164,4.48000e-01,4.04250e-01,1.61931e-02,0.53
10,165,4.44000e-01,4.03875e-01,1.62547e-02,0.53
10,166,4.46400e-01,4.04125e-01,1.62250e-02,0.53
10,167,4.48400e-01,4.06125e-01,1.62273e-02,0.53
10,168,4.45600e-01,4.04750e-01,1.62636e-02,0.53
10,169,4.51800e-01,4.05125e-01,1.61923e-02,0.53
