epoch,loss,loss_L2,loss_PKT,cross_mse
1,1.674207e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,6.040062e-02,0.000000e+00,0.000000e+00,0.000000e+00
3,5.042730e-02,0.000000e+00,0.000000e+00,0.000000e+00
4,5.041393e-02,0.000000e+00,0.000000e+00,0.000000e+00
5,4.689569e-02,0.000000e+00,0.000000e+00,0.000000e+00
6,4.243039e-02,0.000000e+00,0.000000e+00,0.000000e+00
7,3.928247e-02,0.000000e+00,0.000000e+00,0.000000e+00
8,3.718966e-02,0.000000e+00,0.000000e+00,0.000000e+00
9,3.462238e-02,0.000000e+00,0.000000e+00,0.000000e+00
10,3.379044e-02,0.000000e+00,0.000000e+00,0.000000e+00
11,3.317349e-02,0.000000e+00,0.000000e+00,0.000000e+00
12,3.162515e-02,0.000000e+00,0.000000e+00,0.000000e+00
13,3.186012e-02,0.000000e+00,0.000000e+00,0.000000e+00
14,3.152967e-02,0.000000e+00,0.000000e+00,0.000000e+00
15,3.274659e-02,0.000000e+00,0.000000e+00,0.000000e+00
16,3.472452e-02,0.000000e+00,0.000000e+00,0.000000e+00
17,3.673640e-02,0.000000e+00,0.000000e+00,0.000000e+00
18,3.799780e-02,0.000000e+00,0.000000e+00,0.000000e+00
19,4.120566e-02,0.000000e+00,0.000000e+00,0.000000e+00
20,4.303835e-02,0.000000e+00,0.000000e+00,0.000000e+00
21,4.627267e-02,0.000000e+00,0.000000e+00,0.000000e+00
22,4.935554e-02,0.000000e+00,0.000000e+00,0.000000e+00
23,5.267687e-02,0.000000e+00,0.000000e+00,0.000000e+00
24,5.642321e-02,0.000000e+00,0.000000e+00,0.000000e+00
25,6.046950e-02,0.000000e+00,0.000000e+00,0.000000e+00
26,6.461069e-02,0.000000e+00,0.000000e+00,0.000000e+00
27,6.793481e-02,0.000000e+00,0.000000e+00,0.000000e+00
28,7.093170e-02,0.000000e+00,0.000000e+00,0.000000e+00
29,7.467121e-02,0.000000e+00,0.000000e+00,0.000000e+00
30,7.769955e-02,0.000000e+00,0.000000e+00,0.000000e+00
31,8.047195e-02,0.000000e+00,0.000000e+00,0.000000e+00
32,8.473231e-02,0.000000e+00,0.000000e+00,0.000000e+00
33,8.703390e-02,0.000000e+00,0.000000e+00,0.000000e+00
34,9.027314e-02,0.000000e+00,0.000000e+00,0.000000e+00
35,9.323299e-02,0.000000e+00,0.000000e+00,0.000000e+00
36,9.551474e-02,0.000000e+00,0.000000e+00,0.000000e+00
37,9.757917e-02,0.000000e+00,0.000000e+00,0.000000e+00
38,1.000878e-01,0.000000e+00,0.000000e+00,0.000000e+00
39,1.019100e-01,0.000000e+00,0.000000e+00,0.000000e+00
40,1.042593e-01,0.000000e+00,0.000000e+00,0.000000e+00
41,1.051723e-01,0.000000e+00,0.000000e+00,0.000000e+00
42,1.070793e-01,0.000000e+00,0.000000e+00,0.000000e+00
43,1.077192e-01,0.000000e+00,0.000000e+00,0.000000e+00
44,1.093835e-01,0.000000e+00,0.000000e+00,0.000000e+00
45,1.104911e-01,0.000000e+00,0.000000e+00,0.000000e+00
46,1.108644e-01,0.000000e+00,0.000000e+00,0.000000e+00
47,1.117721e-01,0.000000e+00,0.000000e+00,0.000000e+00
48,1.124009e-01,0.000000e+00,0.000000e+00,0.000000e+00
49,1.135239e-01,0.000000e+00,0.000000e+00,0.000000e+00
50,1.138201e-01,0.000000e+00,0.000000e+00,0.000000e+00
51,1.144221e-01,0.000000e+00,0.000000e+00,0.000000e+00
52,1.151447e-01,0.000000e+00,0.000000e+00,0.000000e+00
53,1.149246e-01,0.000000e+00,0.000000e+00,0.000000e+00
54,1.158242e-01,0.000000e+00,0.000000e+00,0.000000e+00
55,1.161540e-01,0.000000e+00,0.000000e+00,0.000000e+00
56,1.145841e-01,0.000000e+00,0.000000e+00,0.000000e+00
57,1.155196e-01,0.000000e+00,0.000000e+00,0.000000e+00
58,1.154066e-01,0.000000e+00,0.000000e+00,0.000000e+00
59,1.159496e-01,0.000000e+00,0.000000e+00,0.000000e+00
60,1.156318e-01,0.000000e+00,0.000000e+00,0.000000e+00
61,1.152046e-01,0.000000e+00,0.000000e+00,0.000000e+00
62,1.140289e-01,0.000000e+00,0.000000e+00,0.000000e+00
63,1.142810e-01,0.000000e+00,0.000000e+00,0.000000e+00
64,1.140021e-01,0.000000e+00,0.000000e+00,0.000000e+00
65,1.141070e-01,0.000000e+00,0.000000e+00,0.000000e+00
66,1.136680e-01,0.000000e+00,0.000000e+00,0.000000e+00
67,1.132306e-01,0.000000e+00,0.000000e+00,0.000000e+00
68,1.128835e-01,0.000000e+00,0.000000e+00,0.000000e+00
69,1.123560e-01,0.000000e+00,0.000000e+00,0.000000e+00
70,1.114832e-01,0.000000e+00,0.000000e+00,0.000000e+00
71,1.112875e-01,0.000000e+00,0.000000e+00,0.000000e+00
72,1.108631e-01,0.000000e+00,0.000000e+00,0.000000e+00
73,1.109676e-01,0.000000e+00,0.000000e+00,0.000000e+00
74,1.110610e-01,0.000000e+00,0.000000e+00,0.000000e+00
75,1.109157e-01,0.000000e+00,0.000000e+00,0.000000e+00
