epoch,knn_accuracy_train,knn_accuracy_test
20,5.931490e-01,3.739960e-01
40,5.647035e-01,3.352159e-01
60,5.440705e-01,3.315763e-01
80,5.476763e-01,3.190261e-01
100,5.651042e-01,3.319528e-01
120,5.450721e-01,3.387299e-01
140,5.707131e-01,3.442520e-01
160,5.745192e-01,3.496486e-01
180,5.669071e-01,3.498996e-01
200,5.699119e-01,3.456325e-01
220,5.649038e-01,3.461345e-01
240,5.823317e-01,3.492721e-01
260,5.687099e-01,3.408635e-01
280,5.564904e-01,3.437500e-01
300,5.681090e-01,3.406124e-01
320,5.847356e-01,3.433735e-01
340,5.769231e-01,3.581827e-01
360,5.773237e-01,3.654618e-01
380,5.919471e-01,3.673444e-01
400,5.993590e-01,3.880522e-01
420,6.147837e-01,3.903112e-01
440,6.067708e-01,4.102661e-01
460,6.258013e-01,4.122741e-01
480,6.398237e-01,4.252008e-01
500,6.296074e-01,4.275853e-01
