pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,1.70800e-01,2.67000e-01,1.84036e-02,1.60950e-02,0.05
100,2,3.43400e-01,3.90625e-01,1.51471e-02,1.40330e-02,0.09
100,3,4.39200e-01,4.67625e-01,1.35754e-02,1.28694e-02,0.09
100,4,4.95000e-01,5.00250e-01,1.25167e-02,1.21095e-02,0.10
100,5,5.15000e-01,5.20000e-01,1.18332e-02,1.15774e-02,0.11
100,6,5.34800e-01,5.25625e-01,1.14138e-02,1.11694e-02,0.10
100,7,5.45800e-01,5.38875e-01,1.10541e-02,1.08567e-02,0.10
100,8,5.53600e-01,5.40750e-01,1.07267e-02,1.05986e-02,0.11
100,9,5.54800e-01,5.41250e-01,1.05596e-02,1.03972e-02,0.10
100,10,5.62000e-01,5.52000e-01,1.02675e-02,1.02331e-02,0.10
100,11,5.65000e-01,5.53250e-01,1.01004e-02,1.00835e-02,0.10
100,12,5.70800e-01,5.56250e-01,9.90968e-03,9.94572e-03,0.08
100,13,5.66600e-01,5.60000e-01,9.85079e-03,9.84173e-03,0.05
100,14,5.71800e-01,5.60750e-01,9.65320e-03,9.73968e-03,0.07
100,15,5.75800e-01,5.61125e-01,9.59694e-03,9.66108e-03,0.10
100,16,5.76800e-01,5.64125e-01,9.51836e-03,9.57495e-03,0.06
100,17,5.85400e-01,5.67750e-01,9.47818e-03,9.50283e-03,0.05
100,18,5.83000e-01,5.69500e-01,9.28172e-03,9.44509e-03,0.05
100,19,5.88000e-01,5.72875e-01,9.28710e-03,9.38038e-03,0.05
100,20,5.91200e-01,5.71500e-01,9.24886e-03,9.32714e-03,0.05
100,21,5.93000e-01,5.71250e-01,9.22118e-03,9.29244e-03,0.05
100,22,5.93400e-01,5.77625e-01,9.08880e-03,9.22591e-03,0.05
100,23,5.94400e-01,5.75875e-01,9.04479e-03,9.19619e-03,0.05
100,24,6.01200e-01,5.74625e-01,9.04716e-03,9.15194e-03,0.05
100,25,6.02200e-01,5.74500e-01,8.95617e-03,9.12474e-03,0.10
100,26,5.99000e-01,5.79500e-01,8.92370e-03,9.08636e-03,0.10
100,27,6.03400e-01,5.82750e-01,8.91161e-03,9.05597e-03,0.08
100,28,5.98600e-01,5.79125e-01,8.87482e-03,9.04053e-03,0.10
100,29,5.98800e-01,5.81250e-01,8.85514e-03,9.00296e-03,0.10
100,30,6.01600e-01,5.82500e-01,8.86467e-03,8.98112e-03,0.11
100,31,6.04000e-01,5.81500e-01,8.76820e-03,8.97003e-03,0.10
100,32,6.03200e-01,5.85125e-01,8.73765e-03,8.93382e-03,0.11
100,33,6.07600e-01,5.82375e-01,8.72613e-03,8.93106e-03,0.11
100,34,6.07600e-01,5.85250e-01,8.71540e-03,8.89898e-03,0.11
100,35,6.05800e-01,5.82375e-01,8.62705e-03,8.91776e-03,0.11
100,36,6.12800e-01,5.86625e-01,8.58476e-03,8.86826e-03,0.11
100,37,6.07800e-01,5.88250e-01,8.77172e-03,8.84797e-03,0.09
100,38,6.07000e-01,5.88750e-01,8.53068e-03,8.83044e-03,0.11
100,39,6.10000e-01,5.89750e-01,8.60613e-03,8.81511e-03,0.11
100,40,6.14800e-01,5.90000e-01,8.56282e-03,8.79244e-03,0.07
100,41,6.09600e-01,5.88750e-01,8.49258e-03,8.80772e-03,0.05
100,42,6.10200e-01,5.91750e-01,8.53522e-03,8.76567e-03,0.05
100,43,6.09400e-01,5.91000e-01,8.42681e-03,8.76377e-03,0.05
100,44,6.15400e-01,5.93125e-01,8.38017e-03,8.73687e-03,0.08
100,45,6.13600e-01,5.92750e-01,8.50470e-03,8.73464e-03,0.09
100,46,6.15600e-01,5.90125e-01,8.48681e-03,8.74305e-03,0.09
100,47,6.16600e-01,5.91000e-01,8.35173e-03,8.72312e-03,0.11
100,48,6.19000e-01,5.92625e-01,8.38363e-03,8.70402e-03,0.11
100,49,6.16800e-01,5.94875e-01,8.37404e-03,8.70205e-03,0.11
100,50,6.15400e-01,5.95000e-01,8.52491e-03,8.68245e-03,0.11
100,51,6.15600e-01,5.94625e-01,8.47603e-03,8.67536e-03,0.11
100,52,6.19000e-01,5.93875e-01,8.37034e-03,8.67036e-03,0.05
100,53,6.21400e-01,5.96375e-01,8.39832e-03,8.65590e-03,0.05
100,54,6.18400e-01,5.94000e-01,8.28857e-03,8.66439e-03,0.05
100,55,6.21600e-01,5.98125e-01,8.30311e-03,8.63452e-03,0.05
100,56,6.19600e-01,5.97125e-01,8.29985e-03,8.62563e-03,0.05
100,57,6.21600e-01,5.98375e-01,8.25965e-03,8.61899e-03,0.05
100,58,6.23400e-01,5.96375e-01,8.18089e-03,8.61448e-03,0.05
100,59,6.19600e-01,5.97750e-01,8.18192e-03,8.60109e-03,0.05
100,60,6.19800e-01,5.99500e-01,8.30510e-03,8.59709e-03,0.05
100,61,6.22800e-01,5.98625e-01,8.17184e-03,8.58953e-03,0.09
100,62,6.23400e-01,5.98875e-01,8.18551e-03,8.58655e-03,0.10
100,63,6.25000e-01,6.00125e-01,8.27192e-03,8.57434e-03,0.10
100,64,6.24000e-01,5.98875e-01,8.14185e-03,8.57278e-03,0.10
100,65,6.22600e-01,5.99125e-01,8.17163e-03,8.55733e-03,0.09
100,66,6.23400e-01,6.00875e-01,8.14796e-03,8.55049e-03,0.07
100,67,6.21800e-01,5.99875e-01,8.15759e-03,8.54827e-03,0.05
