epoch,knn_accuracy_train,knn_accuracy_test
20,5.811298e-01,3.545432e-01
40,5.574920e-01,3.345884e-01
60,5.661058e-01,3.495231e-01
80,5.631010e-01,3.455070e-01
100,5.743189e-01,3.463855e-01
120,5.635016e-01,3.457580e-01
140,5.883413e-01,3.546687e-01
160,5.767228e-01,3.575552e-01
180,5.729167e-01,3.546687e-01
200,5.671074e-01,3.437500e-01
220,5.502804e-01,3.372239e-01
240,5.622997e-01,3.264307e-01
260,5.494792e-01,3.319528e-01
280,5.562901e-01,3.220382e-01
300,5.480769e-01,3.242972e-01
320,5.548878e-01,3.204066e-01
340,5.679087e-01,3.284388e-01
360,5.620994e-01,3.481426e-01
380,5.779247e-01,3.460090e-01
400,5.811298e-01,3.545432e-01
420,5.837340e-01,3.590612e-01
440,5.797276e-01,3.729920e-01
460,5.945513e-01,3.738705e-01
480,5.999599e-01,3.872992e-01
500,6.053686e-01,3.861697e-01
