epoch,knn_accuracy_train,knn_accuracy_test
20,5.508814e-01,3.258032e-01
40,5.304487e-01,3.185241e-01
60,5.300481e-01,3.123745e-01
80,5.400641e-01,3.237952e-01
100,5.546875e-01,3.181476e-01
120,5.542869e-01,3.352159e-01
140,5.588942e-01,3.275602e-01
160,5.580929e-01,3.352159e-01
180,5.566907e-01,3.301958e-01
200,5.538862e-01,3.301958e-01
220,5.410657e-01,3.303213e-01
240,5.480769e-01,3.271837e-01
260,5.647035e-01,3.209086e-01
280,5.374599e-01,3.185241e-01
300,5.504808e-01,3.152610e-01
320,5.616987e-01,3.232932e-01
340,5.663061e-01,3.342118e-01
360,5.606971e-01,3.369729e-01
380,5.711138e-01,3.483936e-01
400,5.673077e-01,3.575552e-01
420,5.823317e-01,3.536647e-01
440,5.831330e-01,3.743725e-01
460,5.961538e-01,3.760040e-01
480,6.017628e-01,3.787651e-01
500,6.047676e-01,3.791416e-01
