pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,2.33000e-01,3.06125e-01,1.70082e-02,1.53706e-02,0.08
100,2,3.65800e-01,3.88125e-01,1.49589e-02,1.40195e-02,0.05
100,3,4.29000e-01,4.56875e-01,1.38091e-02,1.31803e-02,0.05
100,4,4.68000e-01,4.71375e-01,1.30553e-02,1.26225e-02,0.05
100,5,4.85200e-01,4.89750e-01,1.25552e-02,1.21941e-02,0.07
100,6,4.95600e-01,4.98125e-01,1.21769e-02,1.18651e-02,0.06
100,7,5.05200e-01,5.04000e-01,1.18451e-02,1.15963e-02,0.05
100,8,5.16600e-01,5.05750e-01,1.15776e-02,1.13889e-02,0.05
100,9,5.21600e-01,5.08500e-01,1.14013e-02,1.11965e-02,0.05
100,10,5.25800e-01,5.15625e-01,1.11464e-02,1.10272e-02,0.05
100,11,5.30600e-01,5.17250e-01,1.10462e-02,1.08945e-02,0.05
100,12,5.29400e-01,5.22750e-01,1.08995e-02,1.07683e-02,0.05
100,13,5.39000e-01,5.24625e-01,1.07194e-02,1.06523e-02,0.05
100,14,5.43200e-01,5.27500e-01,1.05808e-02,1.05511e-02,0.05
100,15,5.49200e-01,5.31000e-01,1.05186e-02,1.04601e-02,0.05
100,16,5.46200e-01,5.30875e-01,1.04471e-02,1.03974e-02,0.05
100,17,5.47800e-01,5.34750e-01,1.03687e-02,1.03036e-02,0.05
100,18,5.47800e-01,5.37000e-01,1.03116e-02,1.02363e-02,0.05
100,19,5.54800e-01,5.36500e-01,1.02210e-02,1.01787e-02,0.05
100,20,5.57400e-01,5.41000e-01,1.01369e-02,1.01155e-02,0.05
100,21,5.56200e-01,5.41125e-01,1.01292e-02,1.00766e-02,0.05
100,22,5.62000e-01,5.40375e-01,9.97673e-03,1.00262e-02,0.05
100,23,5.61200e-01,5.42500e-01,9.98088e-03,9.98145e-03,0.05
100,24,5.60400e-01,5.46625e-01,9.90347e-03,9.93022e-03,0.06
100,25,5.63600e-01,5.48000e-01,9.82186e-03,9.89173e-03,0.07
100,26,5.66400e-01,5.47750e-01,9.79640e-03,9.85861e-03,0.10
