epoch,knn_accuracy_train,knn_accuracy_test
20,6.045673e-01,4.019309e-01
40,6.101763e-01,4.153963e-01
60,6.101763e-01,4.004065e-01
80,6.069712e-01,3.899898e-01
100,5.917468e-01,3.816057e-01
120,5.937500e-01,3.945630e-01
140,6.145833e-01,4.011687e-01
160,6.258013e-01,4.001524e-01
180,6.133814e-01,4.062500e-01
200,6.117788e-01,4.136179e-01
220,6.233974e-01,4.217480e-01
240,6.217949e-01,4.204776e-01
260,6.262019e-01,4.291159e-01
280,6.149840e-01,4.209858e-01
300,6.358173e-01,4.316565e-01
320,6.466346e-01,4.408028e-01
340,6.534455e-01,4.301321e-01
360,6.522436e-01,4.390244e-01
380,6.646635e-01,4.545224e-01
400,6.710737e-01,4.753557e-01
420,6.678686e-01,4.728150e-01
440,6.638622e-01,4.827236e-01
460,6.558494e-01,4.705285e-01
480,6.686699e-01,4.786585e-01
500,6.646635e-01,4.865346e-01
