pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,2.05800e-01,3.06125e-01,1.82935e-02,1.55529e-02,0.19
100,2,3.75800e-01,4.26875e-01,1.44647e-02,1.32038e-02,0.14
100,3,4.78600e-01,4.84750e-01,1.26377e-02,1.19407e-02,0.15
100,4,5.24800e-01,5.27250e-01,1.15875e-02,1.11401e-02,0.14
100,5,5.58200e-01,5.49000e-01,1.08100e-02,1.05939e-02,0.14
100,6,5.69600e-01,5.61125e-01,1.03882e-02,1.01722e-02,0.14
100,7,5.84200e-01,5.68625e-01,9.99976e-03,9.87348e-03,0.14
100,8,5.93200e-01,5.77375e-01,9.64220e-03,9.62395e-03,0.14
100,9,6.04200e-01,5.83125e-01,9.36201e-03,9.41211e-03,0.14
100,10,6.09000e-01,5.85125e-01,9.20448e-03,9.24093e-03,0.14
100,11,6.17200e-01,5.93500e-01,9.10048e-03,9.08891e-03,0.15
100,12,6.22000e-01,5.95500e-01,8.95850e-03,8.97146e-03,0.15
100,13,6.19000e-01,5.98125e-01,8.81485e-03,8.87472e-03,0.14
100,14,6.33600e-01,6.02000e-01,8.56951e-03,8.76341e-03,0.14
100,15,6.35600e-01,6.02750e-01,8.54570e-03,8.70566e-03,0.14
100,16,6.36000e-01,6.08125e-01,8.49415e-03,8.60431e-03,0.14
100,17,6.40600e-01,6.07875e-01,8.40107e-03,8.56433e-03,0.14
100,18,6.44000e-01,6.12125e-01,8.27136e-03,8.47959e-03,0.14
100,19,6.42200e-01,6.12750e-01,8.22347e-03,8.42688e-03,0.15
100,20,6.45800e-01,6.14000e-01,8.15855e-03,8.37196e-03,0.15
100,21,6.46800e-01,6.15125e-01,8.09390e-03,8.32321e-03,0.15
100,22,6.49800e-01,6.17625e-01,8.07066e-03,8.28919e-03,0.25
100,23,6.50200e-01,6.16000e-01,8.04702e-03,8.26660e-03,0.14
100,24,6.53200e-01,6.20125e-01,7.91868e-03,8.21218e-03,0.14
100,25,6.54000e-01,6.21000e-01,8.08799e-03,8.18742e-03,0.14
100,26,6.53400e-01,6.20750e-01,7.84162e-03,8.15465e-03,0.15
100,27,6.56600e-01,6.25000e-01,7.81754e-03,8.12343e-03,0.15
100,28,6.57000e-01,6.23875e-01,7.75643e-03,8.09338e-03,0.14
100,29,6.59200e-01,6.26000e-01,7.72797e-03,8.06875e-03,0.15
100,30,6.59800e-01,6.26500e-01,7.79282e-03,8.03963e-03,0.14
100,31,6.63400e-01,6.24750e-01,7.89764e-03,8.03892e-03,0.15
100,32,6.59000e-01,6.27875e-01,7.74823e-03,8.00346e-03,0.15
100,33,6.60800e-01,6.26875e-01,7.58429e-03,7.99057e-03,0.14
100,34,6.65200e-01,6.28125e-01,7.58587e-03,7.96352e-03,0.14
100,35,6.65800e-01,6.30625e-01,7.57879e-03,7.95461e-03,0.14
100,36,6.66400e-01,6.28125e-01,7.58948e-03,7.93082e-03,0.15
