epoch,knn_accuracy_train,knn_accuracy_test
20,5.737179e-01,3.610264e-01
40,6.077724e-01,3.831301e-01
60,5.917468e-01,3.823679e-01
80,5.885417e-01,3.722053e-01
100,5.781250e-01,3.849085e-01
120,5.765224e-01,3.739837e-01
140,5.853365e-01,3.851626e-01
160,5.765224e-01,3.821138e-01
180,5.845353e-01,3.803354e-01
200,5.973558e-01,3.955793e-01
220,5.953526e-01,3.727134e-01
240,6.073718e-01,3.920224e-01
260,6.097756e-01,3.927846e-01
280,6.053686e-01,3.854167e-01
300,5.965545e-01,3.930386e-01
320,5.973558e-01,3.869411e-01
340,6.149840e-01,4.090447e-01
360,6.193910e-01,4.049797e-01
380,6.314103e-01,4.288618e-01
400,6.346154e-01,4.220020e-01
420,6.518429e-01,4.423272e-01
440,6.426282e-01,4.428354e-01
460,6.446314e-01,4.507114e-01
480,6.562500e-01,4.654472e-01
500,6.514423e-01,4.664634e-01
