pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,1.75600e-01,3.11250e-01,1.84344e-02,1.56289e-02,0.18
100,2,3.83200e-01,4.24750e-01,1.46824e-02,1.35386e-02,0.15
100,3,4.75800e-01,4.90750e-01,1.29847e-02,1.23547e-02,0.15
100,4,5.19000e-01,5.15250e-01,1.19782e-02,1.15874e-02,0.15
100,5,5.45200e-01,5.32375e-01,1.13632e-02,1.10453e-02,0.19
100,6,5.62400e-01,5.51750e-01,1.08880e-02,1.06410e-02,0.15
100,7,5.74800e-01,5.58500e-01,1.04505e-02,1.03279e-02,0.15
100,8,5.87200e-01,5.70250e-01,1.00901e-02,1.00611e-02,0.15
100,9,5.92400e-01,5.75750e-01,9.91432e-03,9.84238e-03,0.16
100,10,5.99200e-01,5.83000e-01,9.70926e-03,9.66832e-03,0.15
100,11,6.02000e-01,5.83125e-01,9.54032e-03,9.51956e-03,0.15
100,12,6.07600e-01,5.87250e-01,9.36088e-03,9.38478e-03,0.15
100,13,6.12000e-01,5.91250e-01,9.21967e-03,9.27183e-03,0.15
100,14,6.13200e-01,5.92375e-01,9.07277e-03,9.17262e-03,0.16
100,15,6.17800e-01,5.93750e-01,8.93560e-03,9.07829e-03,0.13
100,16,6.18400e-01,5.95625e-01,8.82386e-03,9.00079e-03,0.15
100,17,6.22200e-01,5.97625e-01,8.91478e-03,8.92863e-03,0.13
100,18,6.22600e-01,6.00875e-01,8.73788e-03,8.86783e-03,0.16
100,19,6.25400e-01,6.04750e-01,8.67728e-03,8.80967e-03,0.13
100,20,6.26000e-01,6.02625e-01,8.51591e-03,8.75799e-03,0.15
100,21,6.31400e-01,6.06375e-01,8.61038e-03,8.71237e-03,0.14
100,22,6.25600e-01,6.07125e-01,8.48107e-03,8.66892e-03,0.13
100,23,6.26600e-01,6.07125e-01,8.37882e-03,8.63400e-03,0.15
100,24,6.31600e-01,6.09750e-01,8.28259e-03,8.59408e-03,0.13
100,25,6.33800e-01,6.11250e-01,8.34256e-03,8.55963e-03,0.14
100,26,6.34000e-01,6.13250e-01,8.28558e-03,8.51710e-03,0.14
100,27,6.35800e-01,6.14125e-01,8.16003e-03,8.48903e-03,0.13
100,28,6.38200e-01,6.14250e-01,8.24600e-03,8.46667e-03,0.15
100,29,6.36400e-01,6.16500e-01,8.16824e-03,8.43216e-03,0.13
